window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2008-09,Restricted Area,484,279,0.5764,0.5958,-1.9360,40.0662,32.7348,7,445,0,143,1.1529,1.1917,2,True
2008-09,In The Paint (Non-RA),130,47,0.3615,0.4123,-5.0754,10.7616,12.7689,7,445,0,143,0.7231,0.8246,2,True
2008-09,Left Baseline,69,30,0.4348,0.3988,3.5964,5.7119,5.7851,7,445,0,143,0.8696,0.7976,2,True
2008-09,Left Mid-Range,176,77,0.4375,0.3980,3.9509,14.5695,7.6024,7,445,0,143,0.8750,0.7970,2,True
2008-09,Center Mid-Range,91,43,0.4725,0.4159,5.6672,7.5331,5.6785,7,445,0,143,0.9451,0.8321,2,True
2008-09,Right Mid-Range,133,60,0.4511,0.4076,4.3521,11.0099,7.8199,7,445,0,143,0.9023,0.8155,2,True
2008-09,Right Baseline,53,22,0.4151,0.3844,3.0707,4.3874,5.2650,7,445,0,143,0.8302,0.7692,2,True
2008-09,Left Corner 3,4,0,0.0000,0.3937,-39.3746,0.3311,3.3904,7,445,0,143,0.0000,1.1812,3,False
2008-09,Left Wing 3,22,7,0.3182,0.3629,-4.4764,1.8212,5.6896,7,445,0,143,0.9545,1.0888,3,True
2008-09,Top of Key 3,13,2,0.1538,0.3551,-20.1254,1.0762,4.4089,7,445,0,143,0.4615,1.0653,3,False
2008-09,Right Wing 3,20,4,0.2000,0.3631,-16.3111,1.6556,5.6469,7,445,0,143,0.6000,1.0891,3,True
2008-09,Right Corner 3,6,3,0.5000,0.3948,10.5250,0.4967,2.9860,7,445,0,143,1.5000,1.1836,3,False
2009-10,Restricted Area,436,243,0.5573,0.6059,-4.8544,31.7553,33.2205,2,475,0,10,1.1147,1.2118,2,True
2009-10,In The Paint (Non-RA),223,125,0.5605,0.4231,13.7470,16.2418,13.1495,2,475,0,10,1.1211,0.8461,2,True
2009-10,Left Baseline,64,24,0.3750,0.4045,-2.9458,4.6613,5.6482,2,475,0,10,0.7500,0.8089,2,True
2009-10,Left Mid-Range,191,90,0.4712,0.3899,8.1330,13.9111,7.3515,2,475,0,10,0.9424,0.7797,2,True
2009-10,Center Mid-Range,165,72,0.4364,0.4026,3.3751,12.0175,5.6383,2,475,0,10,0.8727,0.8052,2,True
2009-10,Right Mid-Range,168,70,0.4167,0.3951,2.1557,12.2360,7.5097,2,475,0,10,0.8333,0.7902,2,True
2009-10,Right Baseline,66,32,0.4848,0.4144,7.0481,4.8070,5.2850,2,475,0,10,0.9697,0.8287,2,True
2009-10,Left Corner 3,9,4,0.4444,0.3915,5.2939,0.6555,3.1164,2,475,0,10,1.3333,1.1745,3,False
2009-10,Left Wing 3,25,8,0.3200,0.3416,-2.1580,1.8208,5.7323,2,475,0,10,0.9600,1.0247,3,True
2009-10,Top of Key 3,9,1,0.1111,0.3385,-22.7389,0.6555,4.5585,2,475,0,10,0.3333,1.0155,3,False
2009-10,Right Wing 3,10,3,0.3000,0.3555,-5.5542,0.7283,5.7507,2,475,0,10,0.9000,1.0666,3,False
2009-10,Right Corner 3,5,0,0.0000,0.3904,-39.0378,0.3642,2.8030,2,475,0,10,0.0000,1.1710,3,False
2010-11,Restricted Area,542,315,0.5812,0.6199,-3.8718,33.9386,31.5016,9,469,0,16,1.1624,1.2398,2,True
2010-11,In The Paint (Non-RA),223,88,0.3946,0.3899,0.4762,13.9637,15.3098,9,469,0,16,0.7892,0.7797,2,True
2010-11,Left Baseline,48,16,0.3333,0.3964,-6.3038,3.0056,5.4635,9,469,0,16,0.6667,0.7927,2,True
2010-11,Left Mid-Range,100,38,0.3800,0.3959,-1.5902,6.2617,7.1100,9,469,0,16,0.7600,0.7918,2,True
2010-11,Center Mid-Range,79,30,0.3797,0.4050,-2.5205,4.9468,5.7013,9,469,0,16,0.7595,0.8099,2,True
2010-11,Right Mid-Range,143,63,0.4406,0.4029,3.7613,8.9543,7.5771,9,469,0,16,0.8811,0.8059,2,True
2010-11,Right Baseline,77,33,0.4286,0.4017,2.6845,4.8215,5.1602,9,469,0,16,0.8571,0.8035,2,True
2010-11,Left Corner 3,9,5,0.5556,0.3916,16.3989,0.5636,3.2409,9,469,0,16,1.6667,1.1747,3,False
