loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
21,7,True,2PT,Restricted Area,2,0021000011,20101027,Center(C)
13,156,True,2PT,Mid-Range,15,0021000011,20101027,Center(C)
147,26,True,2PT,Mid-Range,14,0021000011,20101027,Right Side(R)
-199,142,False,3PT,Above the Break 3,24,0021000011,20101027,Left Side Center(LC)
200,39,False,2PT,Mid-Range,20,0021000011,20101027,Right Side(R)
-138,108,True,2PT,Mid-Range,17,0021000011,20101027,Left Side Center(LC)
181,432,False,3PT,Backcourt,46,0021000011,20101027,Back Court(BC)
29,-51,False,2PT,In The Paint (Non-RA),5,0021000011,20101027,Center(C)
0,219,False,2PT,Mid-Range,21,0021000035,20101030,Center(C)
42,34,False,2PT,In The Paint (Non-RA),5,0021000035,20101030,Center(C)
99,261,False,3PT,Above the Break 3,27,0021000035,20101030,Right Side Center(RC)
159,88,True,2PT,Mid-Range,18,0021000035,20101030,Right Side(R)
-23,74,True,2PT,In The Paint (Non-RA),7,0021000035,20101030,Center(C)
-8,14,True,2PT,Restricted Area,1,0021000044,20101101,Center(C)
176,23,False,2PT,Mid-Range,17,0021000044,20101101,Right Side(R)
-209,14,False,2PT,Mid-Range,20,0021000044,20101101,Left Side(L)
-13,12,True,2PT,Restricted Area,1,0021000044,20101101,Center(C)
-86,241,False,3PT,Above the Break 3,25,0021000044,20101101,Left Side Center(LC)
-34,198,False,2PT,Mid-Range,20,0021000066,20101104,Center(C)
-13,55,False,2PT,In The Paint (Non-RA),5,0021000066,20101104,Center(C)
73,172,False,2PT,Mid-Range,18,0021000066,20101104,Right Side Center(RC)
0,77,False,2PT,In The Paint (Non-RA),7,0021000066,20101104,Center(C)
-149,214,False,3PT,Above the Break 3,26,0021000066,20101104,Left Side Center(LC)
144,126,True,2PT,Mid-Range,19,0021000066,20101104,Right Side Center(RC)
187,-2,False,2PT,Mid-Range,18,0021000066,20101104,Right Side(R)
