loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
147,17,False,2PT,Mid-Range,14,0021000266,20101201,Right Side(R)
83,134,True,2PT,Mid-Range,15,0021000345,20101211,Right Side(R)
-15,4,True,2PT,Restricted Area,1,0021000395,20101218,Center(C)
-49,160,False,2PT,Mid-Range,16,0021000395,20101218,Center(C)
-139,74,False,2PT,Mid-Range,15,0021000395,20101218,Left Side(L)
-17,17,False,2PT,Restricted Area,2,0021000395,20101218,Center(C)
-10,9,False,2PT,Restricted Area,1,0021000417,20101221,Center(C)
173,3,True,2PT,Mid-Range,17,0021000417,20101221,Right Side(R)
130,104,False,2PT,Mid-Range,16,0021000417,20101221,Right Side Center(RC)
9,14,True,2PT,Restricted Area,1,0021000417,20101221,Center(C)
13,22,True,2PT,Restricted Area,2,0021000417,20101221,Center(C)
-168,0,False,2PT,Mid-Range,16,0021000417,20101221,Left Side(L)
45,197,True,2PT,Mid-Range,20,0021000417,20101221,Center(C)
105,127,True,2PT,Mid-Range,16,0021000417,20101221,Right Side Center(RC)
-75,167,True,2PT,Mid-Range,18,0021000417,20101221,Left Side Center(LC)
-106,118,False,2PT,Mid-Range,15,0021000417,20101221,Left Side(L)
192,-35,True,2PT,Mid-Range,19,0021000423,20101222,Right Side(R)
105,132,True,2PT,Mid-Range,16,0021000423,20101222,Right Side Center(RC)
174,93,False,2PT,Mid-Range,19,0021000423,20101222,Right Side(R)
64,-5,False,2PT,In The Paint (Non-RA),6,0021000423,20101222,Center(C)
7,227,True,2PT,Mid-Range,22,0021000433,20101225,Center(C)
65,172,False,2PT,Mid-Range,18,0021000433,20101225,Right Side Center(RC)
-17,22,True,2PT,Restricted Area,2,0021000433,20101225,Center(C)
-10,216,False,2PT,Mid-Range,21,0021000433,20101225,Center(C)
2,179,False,2PT,Mid-Range,17,0021000433,20101225,Center(C)
-153,19,False,2PT,Mid-Range,15,0021000440,20101226,Left Side(L)
-171,61,False,2PT,Mid-Range,18,0021000440,20101226,Left Side(L)
-183,15,False,2PT,Mid-Range,18,0021000440,20101226,Left Side(L)
1,1,True,2PT,Restricted Area,0,0021000440,20101226,Center(C)
-158,4,True,2PT,Mid-Range,15,0021000458,20101228,Left Side(L)
-52,156,False,2PT,Mid-Range,16,0021000458,20101228,Left Side Center(LC)
-78,154,False,2PT,Mid-Range,17,0021000458,20101228,Left Side Center(LC)
40,189,False,2PT,Mid-Range,19,0021000458,20101228,Center(C)
-123,-2,False,2PT,Mid-Range,12,0021000479,20101231,Left Side(L)
-30,39,True,2PT,In The Paint (Non-RA),4,0021000479,20101231,Center(C)
26,9,True,2PT,Restricted Area,2,0021000479,20101231,Center(C)
-177,4,False,2PT,Mid-Range,17,0021000479,20101231,Left Side(L)
-86,140,False,2PT,Mid-Range,16,0021000485,20110101,Left Side Center(LC)
192,-16,True,2PT,Mid-Range,19,0021000485,20110101,Right Side(R)
37,195,True,2PT,Mid-Range,19,0021000485,20110101,Center(C)
75,151,False,2PT,Mid-Range,16,0021000485,20110101,Right Side Center(RC)
1,14,False,2PT,Restricted Area,1,0021000507,20110104,Center(C)
-131,82,True,2PT,Mid-Range,15,0021000507,20110104,Left Side(L)
-30,17,True,2PT,Restricted Area,3,0021000513,20110105,Center(C)
170,0,True,2PT,Mid-Range,17,0021000513,20110105,Right Side(R)
1,189,False,2PT,Mid-Range,18,0021000513,20110105,Center(C)
61,60,True,2PT,In The Paint (Non-RA),8,0021000513,20110105,Right Side(R)
6,201,False,2PT,Mid-Range,20,0021000526,20110107,Center(C)
47,138,False,2PT,In The Paint (Non-RA),14,0021000526,20110107,Center(C)
