loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
37,192,True,2PT,Mid-Range,19,0021000011,20101027,Center(C)
-70,165,False,2PT,Mid-Range,17,0021000011,20101027,Left Side Center(LC)
-157,78,True,2PT,Mid-Range,17,0021000011,20101027,Left Side(L)
143,184,False,2PT,Mid-Range,23,0021000011,20101027,Right Side Center(RC)
181,187,False,3PT,Above the Break 3,26,0021000011,20101027,Right Side Center(RC)
-155,156,False,2PT,Mid-Range,21,0021000035,20101030,Left Side Center(LC)
-160,7,False,2PT,Mid-Range,16,0021000035,20101030,Left Side(L)
-26,22,False,2PT,Restricted Area,3,0021000035,20101030,Center(C)
-152,-2,False,2PT,Mid-Range,15,0021000035,20101030,Left Side(L)
231,52,True,3PT,Right Corner 3,23,0021000035,20101030,Right Side(R)
138,142,False,2PT,Mid-Range,19,0021000044,20101101,Right Side Center(RC)
-180,55,True,2PT,Mid-Range,18,0021000044,20101101,Left Side(L)
-179,93,True,2PT,Mid-Range,20,0021000044,20101101,Left Side(L)
62,183,True,2PT,Mid-Range,19,0021000044,20101101,Right Side Center(RC)
-240,56,False,3PT,Left Corner 3,24,0021000044,20101101,Left Side(L)
230,-3,True,3PT,Right Corner 3,23,0021000044,20101101,Right Side(R)
-133,22,False,2PT,Mid-Range,13,0021000044,20101101,Left Side(L)
0,190,False,2PT,Mid-Range,19,0021000066,20101104,Center(C)
233,-8,True,3PT,Right Corner 3,23,0021000066,20101104,Right Side(R)
155,142,True,2PT,Mid-Range,21,0021000066,20101104,Right Side Center(RC)
122,225,True,3PT,Above the Break 3,25,0021000066,20101104,Right Side Center(RC)
-157,143,True,2PT,Mid-Range,21,0021000066,20101104,Left Side Center(LC)
234,-11,False,3PT,Right Corner 3,23,0021000066,20101104,Right Side(R)
-210,63,True,2PT,Mid-Range,21,0021000066,20101104,Left Side(L)
170,194,True,3PT,Above the Break 3,25,0021000066,20101104,Right Side Center(RC)
154,200,False,3PT,Above the Break 3,25,0021000066,20101104,Right Side Center(RC)
228,22,True,3PT,Right Corner 3,22,0021000066,20101104,Right Side(R)
152,50,False,2PT,Mid-Range,16,0021000073,20101105,Right Side(R)
