loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-172,41,True,2PT,Mid-Range,17,0021000011,20101027,Left Side(L)
135,107,True,2PT,Mid-Range,17,0021000011,20101027,Right Side Center(RC)
-136,205,False,3PT,Above the Break 3,24,0021000011,20101027,Left Side Center(LC)
17,6,True,2PT,Restricted Area,1,0021000011,20101027,Center(C)
51,20,False,2PT,In The Paint (Non-RA),5,0021000011,20101027,Center(C)
-125,108,False,2PT,Mid-Range,16,0021000011,20101027,Left Side Center(LC)
89,228,False,3PT,Above the Break 3,24,0021000011,20101027,Right Side Center(RC)
51,44,False,2PT,In The Paint (Non-RA),6,0021000011,20101027,Center(C)
-223,42,True,3PT,Left Corner 3,22,0021000011,20101027,Left Side(L)
-122,116,False,2PT,Mid-Range,16,0021000011,20101027,Left Side Center(LC)
0,9,True,2PT,Restricted Area,0,0021000011,20101027,Center(C)
1,27,False,2PT,Restricted Area,2,0021000011,20101027,Center(C)
-226,77,False,3PT,Left Corner 3,23,0021000011,20101027,Left Side(L)
-231,19,False,3PT,Left Corner 3,23,0021000035,20101030,Left Side(L)
15,15,False,2PT,Restricted Area,2,0021000035,20101030,Center(C)
1,14,True,2PT,Restricted Area,1,0021000035,20101030,Center(C)
121,149,False,2PT,Mid-Range,19,0021000035,20101030,Right Side Center(RC)
-8,71,False,2PT,In The Paint (Non-RA),7,0021000035,20101030,Center(C)
1,75,True,2PT,In The Paint (Non-RA),7,0021000035,20101030,Center(C)
-1,9,False,2PT,Restricted Area,0,0021000035,20101030,Center(C)
51,26,False,2PT,In The Paint (Non-RA),5,0021000035,20101030,Center(C)
72,189,False,2PT,Mid-Range,20,0021000035,20101030,Right Side Center(RC)
22,24,False,2PT,Restricted Area,3,0021000035,20101030,Center(C)
-7,23,True,2PT,Restricted Area,2,0021000044,20101101,Center(C)
-10,23,True,2PT,Restricted Area,2,0021000044,20101101,Center(C)
144,135,True,2PT,Mid-Range,19,0021000044,20101101,Right Side Center(RC)
-146,167,True,2PT,Mid-Range,22,0021000044,20101101,Left Side Center(LC)
-100,151,True,2PT,Mid-Range,18,0021000044,20101101,Left Side Center(LC)
143,119,False,2PT,Mid-Range,18,0021000044,20101101,Right Side Center(RC)
17,25,True,2PT,Restricted Area,3,0021000044,20101101,Center(C)
23,14,True,2PT,Restricted Area,2,0021000044,20101101,Center(C)
-235,4,False,3PT,Left Corner 3,23,0021000044,20101101,Left Side(L)
-139,148,False,2PT,Mid-Range,20,0021000044,20101101,Left Side Center(LC)
176,0,True,2PT,Mid-Range,17,0021000044,20101101,Right Side(R)
133,168,True,2PT,Mid-Range,21,0021000044,20101101,Right Side Center(RC)
230,-3,False,3PT,Right Corner 3,23,0021000044,20101101,Right Side(R)
13,7,True,2PT,Restricted Area,1,0021000044,20101101,Center(C)
-239,7,True,3PT,Left Corner 3,23,0021000044,20101101,Left Side(L)
40,72,True,2PT,In The Paint (Non-RA),8,0021000044,20101101,Center(C)
-172,175,True,3PT,Above the Break 3,24,0021000044,20101101,Left Side Center(LC)
-68,184,False,2PT,Mid-Range,19,0021000044,20101101,Left Side Center(LC)
230,14,True,3PT,Right Corner 3,23,0021000044,20101101,Right Side(R)
-37,25,True,2PT,In The Paint (Non-RA),4,0021000066,20101104,Center(C)
-11,64,False,2PT,In The Paint (Non-RA),6,0021000066,20101104,Center(C)
147,121,False,2PT,Mid-Range,19,0021000066,20101104,Right Side Center(RC)
108,148,False,2PT,Mid-Range,18,0021000066,20101104,Right Side Center(RC)
20,12,False,2PT,Restricted Area,2,0021000066,20101104,Center(C)
225,71,False,3PT,Right Corner 3,23,0021000066,20101104,Right Side(R)
-229,31,True,3PT,Left Corner 3,23,0021000066,20101104,Left Side(L)
34,56,False,2PT,In The Paint (Non-RA),6,0021000066,20101104,Center(C)
21,20,False,2PT,Restricted Area,2,0021000066,20101104,Center(C)
-234,1,True,3PT,Left Corner 3,23,0021000066,20101104,Left Side(L)
-3,16,True,2PT,Restricted Area,1,0021000066,20101104,Center(C)
-12,33,False,2PT,Restricted Area,3,0021000066,20101104,Center(C)
-49,242,True,3PT,Above the Break 3,24,0021000066,20101104,Center(C)
-164,30,False,2PT,Mid-Range,16,0021000073,20101105,Left Side(L)
0,17,False,2PT,Restricted Area,1,0021000073,20101105,Center(C)
7,3,False,2PT,Restricted Area,0,0021000073,20101105,Center(C)
-163,123,False,2PT,Mid-Range,20,0021000073,20101105,Left Side Center(LC)
-122,219,False,3PT,Above the Break 3,25,0021000073,20101105,Left Side Center(LC)
105,178,False,2PT,Mid-Range,20,0021000073,20101105,Right Side Center(RC)
195,17,True,2PT,Mid-Range,19,0021000073,20101105,Right Side(R)
146,138,True,2PT,Mid-Range,20,0021000073,20101105,Right Side Center(RC)
-23,137,False,2PT,In The Paint (Non-RA),13,0021000073,20101105,Center(C)
-11,6,True,2PT,Restricted Area,1,0021000073,20101105,Center(C)
-18,105,False,2PT,In The Paint (Non-RA),10,0021000073,20101105,Center(C)
17,6,True,2PT,Restricted Area,1,0021000073,20101105,Center(C)
-158,89,False,2PT,Mid-Range,18,0021000073,20101105,Left Side(L)
-2,9,True,2PT,Restricted Area,0,0021000073,20101105,Center(C)
144,201,True,3PT,Above the Break 3,24,0021000073,20101105,Right Side Center(RC)
193,151,True,3PT,Above the Break 3,24,0021000073,20101105,Right Side Center(RC)
136,194,False,2PT,Mid-Range,23,0021000073,20101105,Right Side Center(RC)
-15,-5,True,2PT,Restricted Area,1,0021000073,20101105,Center(C)
233,4,False,3PT,Right Corner 3,23,0021000073,20101105,Right Side(R)
65,175,True,2PT,Mid-Range,18,0021000098,20101108,Right Side Center(RC)
-157,7,False,2PT,Mid-Range,15,0021000098,20101108,Left Side(L)
-16,25,True,2PT,Restricted Area,2,0021000098,20101108,Center(C)
0,187,False,2PT,Mid-Range,18,0021000098,20101108,Center(C)
166,186,True,3PT,Above the Break 3,24,0021000098,20101108,Right Side Center(RC)
34,91,False,2PT,In The Paint (Non-RA),9,0021000098,20101108,Center(C)
147,203,False,3PT,Above the Break 3,25,0021000098,20101108,Right Side Center(RC)
1,33,True,2PT,Restricted Area,3,0021000098,20101108,Center(C)
24,22,False,2PT,Restricted Area,3,0021000098,20101108,Center(C)
159,187,False,3PT,Above the Break 3,24,0021000098,20101108,Right Side Center(RC)
-155,105,False,2PT,Mid-Range,18,0021000098,20101108,Left Side(L)
0,19,False,2PT,Restricted Area,1,0021000098,20101108,Center(C)
-13,17,True,2PT,Restricted Area,2,0021000098,20101108,Center(C)
56,86,False,2PT,In The Paint (Non-RA),10,0021000098,20101108,Right Side(R)
144,194,False,3PT,Above the Break 3,24,0021000098,20101108,Right Side Center(RC)
1,22,True,2PT,Restricted Area,2,0021000098,20101108,Center(C)
228,-2,False,3PT,Right Corner 3,22,0021000098,20101108,Right Side(R)
14,12,False,2PT,Restricted Area,1,0021000098,20101108,Center(C)
18,14,False,2PT,Restricted Area,2,0021000119,20101111,Center(C)
9,26,False,2PT,Restricted Area,2,0021000119,20101111,Center(C)
-131,157,False,2PT,Mid-Range,20,0021000119,20101111,Left Side Center(LC)
21,74,False,2PT,In The Paint (Non-RA),7,0021000119,20101111,Center(C)
20,15,False,2PT,Restricted Area,2,0021000119,20101111,Center(C)
29,7,True,2PT,Restricted Area,2,0021000119,20101111,Center(C)
17,20,True,2PT,Restricted Area,2,0021000119,20101111,Center(C)
177,6,False,2PT,Mid-Range,17,0021000119,20101111,Right Side(R)
23,6,True,2PT,Restricted Area,2,0021000119,20101111,Center(C)
