loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
6,26,True,2PT,Restricted Area,2,0021000035,20101030,Center(C)
0,14,False,2PT,Restricted Area,1,0021000035,20101030,Center(C)
-7,23,True,2PT,Restricted Area,2,0021000044,20101101,Center(C)
15,19,False,2PT,Restricted Area,2,0021000044,20101101,Center(C)
13,15,True,2PT,Restricted Area,1,0021000044,20101101,Center(C)
17,26,True,2PT,Restricted Area,3,0021000066,20101104,Center(C)
-18,22,True,2PT,Restricted Area,2,0021000066,20101104,Center(C)
4,30,True,2PT,Restricted Area,3,0021000066,20101104,Center(C)
-5,0,False,2PT,Restricted Area,0,0021000073,20101105,Center(C)
28,3,True,2PT,Restricted Area,2,0021000073,20101105,Center(C)
1,33,False,2PT,Restricted Area,3,0021000098,20101108,Center(C)
-2,9,True,2PT,Restricted Area,0,0021000098,20101108,Center(C)
18,11,True,2PT,Restricted Area,2,0021000119,20101111,Center(C)
-2,12,True,2PT,Restricted Area,1,0021000119,20101111,Center(C)
0,7,True,2PT,Restricted Area,0,0021000119,20101111,Center(C)
10,4,False,2PT,Restricted Area,1,0021000119,20101111,Center(C)
-4,26,True,2PT,Restricted Area,2,0021000134,20101113,Center(C)
9,31,False,2PT,Restricted Area,3,0021000134,20101113,Center(C)
7,0,True,2PT,Restricted Area,0,0021000156,20101116,Center(C)
6,0,True,2PT,Restricted Area,0,0021000156,20101116,Center(C)
53,11,False,2PT,In The Paint (Non-RA),5,0021000166,20101117,Center(C)
-16,4,False,2PT,Restricted Area,1,0021000166,20101117,Center(C)
17,31,False,2PT,Restricted Area,3,0021000166,20101117,Center(C)
12,9,True,2PT,Restricted Area,1,0021000166,20101117,Center(C)
-18,48,False,2PT,In The Paint (Non-RA),5,0021000208,20101123,Center(C)
0,39,False,2PT,Restricted Area,3,0021000208,20101123,Center(C)
-19,6,False,2PT,Restricted Area,1,0021000208,20101123,Center(C)
6,4,True,2PT,Restricted Area,0,0021000218,20101124,Center(C)
29,11,False,2PT,Restricted Area,3,0021000229,20101126,Center(C)
6,-3,False,2PT,Restricted Area,0,0021000229,20101126,Center(C)
31,12,False,2PT,Restricted Area,3,0021000229,20101126,Center(C)
20,20,False,2PT,Restricted Area,2,0021000241,20101127,Center(C)
-8,4,False,2PT,Restricted Area,0,0021000280,20101203,Center(C)
-7,3,True,2PT,Restricted Area,0,0021000280,20101203,Center(C)
7,146,True,2PT,Mid-Range,14,0021000290,20101204,Center(C)
17,20,True,2PT,Restricted Area,2,0021000305,20101206,Center(C)
2,0,False,2PT,Restricted Area,0,0021000317,20101208,Center(C)
37,39,False,2PT,In The Paint (Non-RA),5,0021000333,20101210,Center(C)
-1,19,False,2PT,Restricted Area,1,0021000333,20101210,Center(C)
0,39,False,2PT,Restricted Area,3,0021000345,20101211,Center(C)
18,9,True,2PT,Restricted Area,2,0021000345,20101211,Center(C)
18,4,True,2PT,Restricted Area,1,0021000370,20101215,Center(C)
-16,23,False,2PT,Restricted Area,2,0021000395,20101218,Center(C)
-5,7,True,2PT,Restricted Area,0,0021000417,20101221,Center(C)
-10,4,True,2PT,Restricted Area,1,0021000417,20101221,Center(C)
15,6,True,2PT,Restricted Area,1,0021000417,20101221,Center(C)
-5,-2,True,2PT,Restricted Area,0,0021000440,20101226,Center(C)
1,1,True,2PT,Restricted Area,0,0021000440,20101226,Center(C)
-2,17,False,2PT,Restricted Area,1,0021000485,20110101,Center(C)
-5,11,True,2PT,Restricted Area,1,0021000485,20110101,Center(C)
7,22,True,2PT,Restricted Area,2,0021000485,20110101,Center(C)
26,11,False,2PT,Restricted Area,2,0021000485,20110101,Center(C)
21,12,True,2PT,Restricted Area,2,0021000507,20110104,Center(C)
23,9,True,2PT,Restricted Area,2,0021000507,20110104,Center(C)
7,9,True,2PT,Restricted Area,1,0021000507,20110104,Center(C)
10,23,False,2PT,Restricted Area,2,0021000507,20110104,Center(C)
20,11,True,2PT,Restricted Area,2,0021000507,20110104,Center(C)
-10,4,True,2PT,Restricted Area,1,0021000507,20110104,Center(C)
0,17,True,2PT,Restricted Area,1,0021000513,20110105,Center(C)
