loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-18,17,True,2PT,Restricted Area,2,0021000011,20101027,Center(C)
-18,1,True,2PT,Restricted Area,1,0021000011,20101027,Center(C)
-13,22,False,2PT,Restricted Area,2,0021000011,20101027,Center(C)
17,12,True,2PT,Restricted Area,2,0021000011,20101027,Center(C)
130,123,False,2PT,Mid-Range,17,0021000011,20101027,Right Side Center(RC)
-40,12,True,2PT,In The Paint (Non-RA),4,0021000011,20101027,Center(C)
2,9,True,2PT,Restricted Area,0,0021000011,20101027,Center(C)
-15,7,True,2PT,Restricted Area,1,0021000011,20101027,Center(C)
1,3,True,2PT,Restricted Area,0,0021000011,20101027,Center(C)
-142,42,False,2PT,Mid-Range,14,0021000011,20101027,Left Side(L)
171,56,False,2PT,Mid-Range,17,0021000011,20101027,Right Side(R)
-15,7,True,2PT,Restricted Area,1,0021000011,20101027,Center(C)
4,4,True,2PT,Restricted Area,0,0021000035,20101030,Center(C)
20,187,False,2PT,Mid-Range,18,0021000035,20101030,Center(C)
3,4,False,2PT,Restricted Area,0,0021000035,20101030,Center(C)
151,102,True,2PT,Mid-Range,18,0021000035,20101030,Right Side(R)
-5,20,False,2PT,Restricted Area,2,0021000035,20101030,Center(C)
-29,1,True,2PT,Restricted Area,2,0021000035,20101030,Center(C)
17,160,True,2PT,Mid-Range,16,0021000035,20101030,Center(C)
24,0,True,2PT,Restricted Area,2,0021000035,20101030,Center(C)
97,151,False,2PT,Mid-Range,17,0021000044,20101101,Right Side Center(RC)
0,12,True,2PT,Restricted Area,1,0021000044,20101101,Center(C)
-166,55,True,2PT,Mid-Range,17,0021000044,20101101,Left Side(L)
17,37,True,2PT,In The Paint (Non-RA),4,0021000044,20101101,Center(C)
18,134,False,2PT,In The Paint (Non-RA),13,0021000044,20101101,Center(C)
-75,97,True,2PT,In The Paint (Non-RA),12,0021000044,20101101,Left Side(L)
-11,12,True,2PT,Restricted Area,1,0021000044,20101101,Center(C)
-5,170,False,2PT,Mid-Range,17,0021000044,20101101,Center(C)
-2,9,True,2PT,Restricted Area,0,0021000044,20101101,Center(C)
176,9,True,2PT,Mid-Range,17,0021000066,20101104,Right Side(R)
72,153,True,2PT,Mid-Range,16,0021000066,20101104,Right Side Center(RC)
4,20,True,2PT,Restricted Area,2,0021000066,20101104,Center(C)
7,22,False,2PT,Restricted Area,2,0021000066,20101104,Center(C)
0,12,True,2PT,Restricted Area,1,0021000066,20101104,Center(C)
-7,41,True,2PT,In The Paint (Non-RA),4,0021000066,20101104,Center(C)
17,23,False,2PT,Restricted Area,2,0021000066,20101104,Center(C)
21,23,False,2PT,Restricted Area,3,0021000066,20101104,Center(C)
6,19,True,2PT,Restricted Area,1,0021000066,20101104,Center(C)
9,19,False,2PT,Restricted Area,2,0021000066,20101104,Center(C)
-153,74,True,2PT,Mid-Range,16,0021000073,20101105,Left Side(L)
-81,200,True,2PT,Mid-Range,21,0021000073,20101105,Left Side Center(LC)
181,12,True,2PT,Mid-Range,18,0021000073,20101105,Right Side(R)
37,124,False,2PT,In The Paint (Non-RA),12,0021000073,20101105,Center(C)
15,12,True,2PT,Restricted Area,1,0021000073,20101105,Center(C)
69,154,False,2PT,Mid-Range,16,0021000073,20101105,Right Side Center(RC)
0,190,True,2PT,Mid-Range,19,0021000073,20101105,Center(C)
-18,1,True,2PT,Restricted Area,1,0021000073,20101105,Center(C)
-62,176,True,2PT,Mid-Range,18,0021000073,20101105,Left Side Center(LC)
13,75,True,2PT,In The Paint (Non-RA),7,0021000073,20101105,Center(C)
-210,12,False,2PT,Mid-Range,21,0021000073,20101105,Left Side(L)
174,-11,False,2PT,Mid-Range,17,0021000073,20101105,Right Side(R)
7,91,True,2PT,In The Paint (Non-RA),9,0021000073,20101105,Center(C)
