season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT
2010-11,201565,Derrick Rose,CHI,81,3025.8366666666666,711,1597,0.445
2010-11,2736,Luol Deng,CHI,82,3207.9183333333335,531,1155,0.46
2010-11,2430,Carlos Boozer,CHI,59,1881.7616666666668,431,845,0.51
2010-11,2594,Kyle Korver,CHI,82,1649.1233333333332,242,557,0.434
2010-11,201959,Taj Gibson,CHI,80,1742.2466666666667,234,502,0.466
2010-11,200758,Ronnie Brewer,CHI,81,1781.44,205,427,0.48
2010-11,201149,Joakim Noah,CHI,48,1575.5283333333334,211,402,0.525
2010-11,201228,C.J. Watson,CHI,82,1090.7333333333333,146,394,0.371
2010-11,2586,Keith Bogans,CHI,82,1461.3333333333333,124,307,0.404
2010-11,703,Kurt Thomas,CHI,52,1178.1533333333334,95,186,0.511
2010-11,201600,Omer Asik,CHI,82,989.4483333333334,78,141,0.553
2010-11,201949,James Johnson,TOR,13,122.67,17,41,0.415
2010-11,2243,Brian Scalabrine,CHI,18,87.97833333333334,10,19,0.526
2010-11,2446,Rasual Butler,CHI,6,25.721666666666668,6,11,0.545
2010-11,101249,John Lucas III,CHI,2,10.106666666666667,1,3,0.333
