loc_x,loc_y,shot_distance,shot_made,shot_type,shot_zone,shot_zone_area
-18,17,2,True,2PT,Restricted Area,Center(C)
-133,206,24,False,3PT,Above the Break 3,Left Side Center(LC)
-172,41,17,True,2PT,Mid-Range,Left Side(L)
-18,1,1,True,2PT,Restricted Area,Center(C)
-21,26,3,False,2PT,Restricted Area,Center(C)
135,107,17,True,2PT,Mid-Range,Right Side Center(RC)
-153,60,16,False,2PT,Mid-Range,Left Side(L)
-26,4,2,True,2PT,Restricted Area,Center(C)
23,4,2,True,2PT,Restricted Area,Center(C)
-13,22,2,False,2PT,Restricted Area,Center(C)
36,11,3,True,2PT,Restricted Area,Center(C)
146,4,14,True,2PT,Mid-Range,Right Side(R)
17,12,2,True,2PT,Restricted Area,Center(C)
26,12,2,False,2PT,Restricted Area,Center(C)
-136,205,24,False,3PT,Above the Break 3,Left Side Center(LC)
-23,4,2,True,2PT,Restricted Area,Center(C)
65,173,18,False,2PT,Mid-Range,Right Side Center(RC)
9,12,1,False,2PT,Restricted Area,Center(C)
17,6,1,True,2PT,Restricted Area,Center(C)
-133,121,17,True,2PT,Mid-Range,Left Side Center(LC)
-24,7,2,False,2PT,Restricted Area,Center(C)
51,20,5,False,2PT,In The Paint (Non-RA),Center(C)
-41,448,44,False,3PT,Backcourt,Back Court(BC)
13,3,1,False,2PT,Restricted Area,Center(C)
21,7,2,True,2PT,Restricted Area,Center(C)
13,156,15,True,2PT,Mid-Range,Center(C)
-41,15,4,False,2PT,In The Paint (Non-RA),Center(C)
147,26,14,True,2PT,Mid-Range,Right Side(R)
130,123,17,False,2PT,Mid-Range,Right Side Center(RC)
21,11,2,True,2PT,Restricted Area,Center(C)
24,7,2,True,2PT,Restricted Area,Center(C)
-40,12,4,True,2PT,In The Paint (Non-RA),Center(C)
37,192,19,True,2PT,Mid-Range,Center(C)
7,247,24,True,3PT,Above the Break 3,Center(C)
-70,165,17,False,2PT,Mid-Range,Left Side Center(LC)
163,41,16,False,2PT,Mid-Range,Right Side(R)
-19,3,1,True,2PT,Restricted Area,Center(C)
-26,7,2,False,2PT,Restricted Area,Center(C)
10,17,1,True,2PT,Restricted Area,Center(C)
-125,108,16,False,2PT,Mid-Range,Left Side Center(LC)
163,74,17,False,2PT,Mid-Range,Right Side(R)
89,58,10,True,2PT,Mid-Range,Right Side(R)
-34,48,5,False,2PT,In The Paint (Non-RA),Center(C)
-122,206,23,False,3PT,Above the Break 3,Left Side Center(LC)
-106,151,18,True,2PT,Mid-Range,Left Side Center(LC)
135,110,17,False,2PT,Mid-Range,Right Side Center(RC)
2,9,0,True,2PT,Restricted Area,Center(C)
-152,159,21,False,2PT,Mid-Range,Left Side Center(LC)
-21,12,2,False,2PT,Restricted Area,Center(C)
-15,7,1,True,2PT,Restricted Area,Center(C)
43,33,5,True,2PT,In The Paint (Non-RA),Center(C)
-103,222,24,False,3PT,Above the Break 3,Left Side Center(LC)
42,6,4,False,2PT,In The Paint (Non-RA),Center(C)
-4,11,1,False,2PT,Restricted Area,Center(C)
10,179,17,False,2PT,Mid-Range,Center(C)
89,228,24,False,3PT,Above the Break 3,Right Side Center(RC)
-54,33,6,False,2PT,In The Paint (Non-RA),Center(C)
-16,17,2,True,2PT,Restricted Area,Center(C)
1,3,0,True,2PT,Restricted Area,Center(C)
2,53,5,True,2PT,In The Paint (Non-RA),Center(C)
51,44,6,False,2PT,In The Paint (Non-RA),Center(C)
-223,42,22,True,3PT,Left Corner 3,Left Side(L)
-122,116,16,False,2PT,Mid-Range,Left Side Center(LC)
-199,142,24,False,3PT,Above the Break 3,Left Side Center(LC)
18,7,1,True,2PT,Restricted Area,Center(C)
200,39,20,False,2PT,Mid-Range,Right Side(R)
0,9,0,True,2PT,Restricted Area,Center(C)
-138,108,17,True,2PT,Mid-Range,Left Side Center(LC)
181,432,46,False,3PT,Backcourt,Back Court(BC)
226,17,22,False,3PT,Right Corner 3,Right Side(R)
29,-51,5,False,2PT,In The Paint (Non-RA),Center(C)
-142,42,14,False,2PT,Mid-Range,Left Side(L)
-93,216,23,True,2PT,Mid-Range,Left Side Center(LC)
-59,86,10,False,2PT,In The Paint (Non-RA),Left Side(L)
34,41,5,False,2PT,In The Paint (Non-RA),Center(C)
-41,37,5,True,2PT,In The Paint (Non-RA),Center(C)
162,41,16,False,2PT,Mid-Range,Right Side(R)
9,17,1,False,2PT,Restricted Area,Center(C)
103,48,11,False,2PT,Mid-Range,Right Side(R)
-157,78,17,True,2PT,Mid-Range,Left Side(L)
37,48,6,False,2PT,In The Paint (Non-RA),Center(C)
-10,7,1,False,2PT,Restricted Area,Center(C)
143,184,23,False,2PT,Mid-Range,Right Side Center(RC)
228,28,22,False,3PT,Right Corner 3,Right Side(R)
1,27,2,False,2PT,Restricted Area,Center(C)
160,47,16,True,2PT,Mid-Range,Right Side(R)
-21,11,2,False,2PT,Restricted Area,Center(C)
171,56,17,False,2PT,Mid-Range,Right Side(R)
-7,28,2,False,2PT,Restricted Area,Center(C)
-15,7,1,True,2PT,Restricted Area,Center(C)
4,11,1,True,2PT,Restricted Area,Center(C)
-226,77,23,False,3PT,Left Corner 3,Left Side(L)
181,187,26,False,3PT,Above the Break 3,Right Side Center(RC)
4,4,0,True,2PT,Restricted Area,Center(C)
-157,153,21,False,2PT,Mid-Range,Left Side Center(LC)
20,187,18,False,2PT,Mid-Range,Center(C)
-231,19,23,False,3PT,Left Corner 3,Left Side(L)
-205,1,20,True,2PT,Mid-Range,Left Side(L)
-81,242,25,False,3PT,Above the Break 3,Left Side Center(LC)
15,15,2,False,2PT,Restricted Area,Center(C)
1,14,1,True,2PT,Restricted Area,Center(C)
121,149,19,False,2PT,Mid-Range,Right Side Center(RC)
47,88,9,False,2PT,In The Paint (Non-RA),Center(C)
2,72,7,True,2PT,In The Paint (Non-RA),Center(C)
15,4,1,False,2PT,Restricted Area,Center(C)
13,15,1,True,2PT,Restricted Area,Center(C)
1,190,19,False,2PT,Mid-Range,Center(C)
0,3,0,False,2PT,Restricted Area,Center(C)
-2,17,1,True,2PT,Restricted Area,Center(C)
-229,-10,22,False,3PT,Left Corner 3,Left Side(L)
-8,71,7,False,2PT,In The Paint (Non-RA),Center(C)
9,30,3,True,2PT,Restricted Area,Center(C)
1,75,7,True,2PT,In The Paint (Non-RA),Center(C)
0,219,21,False,2PT,Mid-Range,Center(C)
0,14,1,True,2PT,Restricted Area,Center(C)
203,20,20,True,2PT,Mid-Range,Right Side(R)
-18,36,4,False,2PT,In The Paint (Non-RA),Center(C)
-1,9,0,False,2PT,Restricted Area,Center(C)
-155,156,21,False,2PT,Mid-Range,Left Side Center(LC)
42,34,5,False,2PT,In The Paint (Non-RA),Center(C)
3,4,0,False,2PT,Restricted Area,Center(C)
99,261,27,False,3PT,Above the Break 3,Right Side Center(RC)
151,102,18,True,2PT,Mid-Range,Right Side(R)
-4,149,14,False,2PT,Mid-Range,Center(C)
-34,72,7,False,2PT,In The Paint (Non-RA),Center(C)
-5,20,2,False,2PT,Restricted Area,Center(C)
51,26,5,False,2PT,In The Paint (Non-RA),Center(C)
-73,105,12,False,2PT,In The Paint (Non-RA),Left Side(L)
-10,31,3,True,2PT,Restricted Area,Center(C)
-13,19,2,True,2PT,Restricted Area,Center(C)
102,189,21,True,2PT,Mid-Range,Right Side Center(RC)
-243,45,24,False,3PT,Left Corner 3,Left Side(L)
6,26,2,True,2PT,Restricted Area,Center(C)
136,200,24,True,3PT,Above the Break 3,Right Side Center(RC)
23,143,14,False,2PT,Mid-Range,Center(C)
108,233,25,False,3PT,Above the Break 3,Right Side Center(RC)
-8,23,2,True,2PT,Restricted Area,Center(C)
-62,17,6,True,2PT,In The Paint (Non-RA),Center(C)
-133,211,24,True,3PT,Above the Break 3,Left Side Center(LC)
-146,194,24,False,3PT,Above the Break 3,Left Side Center(LC)
-13,386,38,False,3PT,Above the Break 3,Center(C)
72,189,20,False,2PT,Mid-Range,Right Side Center(RC)
-8,53,5,False,2PT,In The Paint (Non-RA),Center(C)
-68,153,16,True,2PT,Mid-Range,Left Side Center(LC)
-239,56,24,False,3PT,Left Corner 3,Left Side(L)
4,15,1,False,2PT,Restricted Area,Center(C)
-41,58,7,False,2PT,In The Paint (Non-RA),Center(C)
12,15,1,True,2PT,Restricted Area,Center(C)
42,44,6,False,2PT,In The Paint (Non-RA),Center(C)
0,14,1,False,2PT,Restricted Area,Center(C)
-150,110,18,True,2PT,Mid-Range,Left Side Center(LC)
22,24,3,False,2PT,Restricted Area,Center(C)
3,20,2,False,2PT,Restricted Area,Center(C)
-147,200,24,False,3PT,Above the Break 3,Left Side Center(LC)
-174,1,17,True,2PT,Mid-Range,Left Side(L)
-160,7,16,False,2PT,Mid-Range,Left Side(L)
6,25,2,False,2PT,Restricted Area,Center(C)
11,11,1,True,2PT,Restricted Area,Center(C)
-108,214,23,True,3PT,Above the Break 3,Left Side Center(LC)
40,14,4,True,2PT,In The Paint (Non-RA),Center(C)
-10,55,5,False,2PT,In The Paint (Non-RA),Center(C)
-209,137,24,False,3PT,Above the Break 3,Left Side Center(LC)
207,6,20,True,2PT,Mid-Range,Right Side(R)
159,88,18,True,2PT,Mid-Range,Right Side(R)
97,228,24,False,3PT,Above the Break 3,Right Side Center(RC)
-26,22,3,False,2PT,Restricted Area,Center(C)
-152,-2,15,False,2PT,Mid-Range,Left Side(L)
-23,74,7,True,2PT,In The Paint (Non-RA),Center(C)
231,52,23,True,3PT,Right Corner 3,Right Side(R)
-29,1,2,True,2PT,Restricted Area,Center(C)
-232,-16,23,True,3PT,Left Corner 3,Left Side(L)
114,219,24,False,3PT,Above the Break 3,Right Side Center(RC)
17,160,16,True,2PT,Mid-Range,Center(C)
0,22,2,False,2PT,Restricted Area,Center(C)
13,28,3,True,2PT,Restricted Area,Center(C)
24,0,2,True,2PT,Restricted Area,Center(C)
7,4,0,False,2PT,Restricted Area,Center(C)
13,11,1,True,2PT,Restricted Area,Center(C)
110,149,18,True,2PT,Mid-Range,Right Side Center(RC)
147,48,15,False,2PT,Mid-Range,Right Side(R)
146,209,25,False,3PT,Above the Break 3,Right Side Center(RC)
10,22,2,False,2PT,Restricted Area,Center(C)
-235,61,24,False,3PT,Left Corner 3,Left Side(L)
23,17,2,True,2PT,Restricted Area,Center(C)
97,151,17,False,2PT,Mid-Range,Right Side Center(RC)
-13,67,6,False,2PT,In The Paint (Non-RA),Center(C)
0,12,1,True,2PT,Restricted Area,Center(C)
-7,23,2,True,2PT,Restricted Area,Center(C)
13,17,2,True,2PT,Restricted Area,Center(C)
-10,23,2,True,2PT,Restricted Area,Center(C)
-166,55,17,True,2PT,Mid-Range,Left Side(L)
17,37,4,True,2PT,In The Paint (Non-RA),Center(C)
144,135,19,True,2PT,Mid-Range,Right Side Center(RC)
-157,200,25,False,3PT,Above the Break 3,Left Side Center(LC)
-146,167,22,True,2PT,Mid-Range,Left Side Center(LC)
-100,151,18,True,2PT,Mid-Range,Left Side Center(LC)
-54,86,10,True,2PT,In The Paint (Non-RA),Left Side(L)
143,119,18,False,2PT,Mid-Range,Right Side Center(RC)
17,25,3,True,2PT,Restricted Area,Center(C)
23,14,2,True,2PT,Restricted Area,Center(C)
