zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
Restricted Area,2312,1410,0.6099,0.6199,-1.0037,35.0994,31.5016,17,469,1,16,1.2197,1.2398,2,True
In The Paint (Non-RA),796,307,0.3857,0.3899,-0.4179,12.0844,15.3098,17,469,1,16,0.7714,0.7797,2,True
Left Baseline,330,124,0.3758,0.3964,-2.0614,5.0099,5.4635,17,469,1,16,0.7515,0.7927,2,True
Left Mid-Range,514,194,0.3774,0.3959,-1.8470,7.8032,7.1100,17,469,1,16,0.7549,0.7918,2,True
Center Mid-Range,382,160,0.4188,0.4050,1.3896,5.7993,5.7013,17,469,1,16,0.8377,0.8099,2,True
Right Mid-Range,504,200,0.3968,0.4029,-0.6121,7.6514,7.5771,17,469,1,16,0.7937,0.8059,2,True
Right Baseline,333,136,0.4084,0.4017,0.6682,5.0554,5.1602,17,469,1,16,0.8168,0.8035,2,True
Left Corner 3,208,78,0.3750,0.3916,-1.6566,3.1577,3.2409,17,469,1,16,1.1250,1.1747,3,True
Left Wing 3,394,149,0.3782,0.3557,2.2511,5.9815,5.7694,17,469,1,16,1.1345,1.0670,3,True
Top of Key 3,235,72,0.3064,0.3298,-2.3454,3.5676,4.3907,17,469,1,16,0.9191,0.9895,3,True
Right Wing 3,374,142,0.3797,0.3581,2.1592,5.6779,5.6017,17,469,1,16,1.1390,1.0743,3,True
Right Corner 3,188,70,0.3723,0.3972,-2.4866,2.8541,2.9390,17,469,1,16,1.1170,1.1908,3,True
