season,zone,fga,fgm,fg_pct,fga_share_pct
2010-11,Backcourt,469,14,2.9851,0.2348
2010-11,Center Mid-Range,11389,4612,40.4952,5.7013
2010-11,In The Paint (Non-RA),30583,11923,38.9857,15.3098
2010-11,Left Baseline,10914,4326,39.6372,5.4635
2010-11,Left Corner 3,6474,2535,39.1566,3.2409
2010-11,Left Mid-Range,14203,5623,39.5902,7.1100
2010-11,Left Wing 3,11525,4099,35.5662,5.7694
2010-11,Restricted Area,62928,39009,61.9899,31.5016
2010-11,Right Baseline,10308,4141,40.1727,5.1602
2010-11,Right Corner 3,5871,2332,39.7207,2.9390
2010-11,Right Mid-Range,15136,6099,40.2947,7.5771
2010-11,Right Wing 3,11190,4007,35.8088,5.6017
2010-11,Top of Key 3,8771,2893,32.9837,4.3907
