season,rank,player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2010-11,1,201565,Derrick Rose,Restricted Area,542,315,0.5812,0.6199,-3.8718,33.9386,31.5016,9,469,0,16,1.1624,1.2398,2,True
2010-11,1,201565,Derrick Rose,In The Paint (Non-RA),223,88,0.3946,0.3899,0.4762,13.9637,15.3098,9,469,0,16,0.7892,0.7797,2,True
2010-11,1,201565,Derrick Rose,Left Baseline,48,16,0.3333,0.3964,-6.3038,3.0056,5.4635,9,469,0,16,0.6667,0.7927,2,True
2010-11,1,201565,Derrick Rose,Left Mid-Range,100,38,0.3800,0.3959,-1.5902,6.2617,7.1100,9,469,0,16,0.7600,0.7918,2,True
2010-11,1,201565,Derrick Rose,Center Mid-Range,79,30,0.3797,0.4050,-2.5205,4.9468,5.7013,9,469,0,16,0.7595,0.8099,2,True
2010-11,1,201565,Derrick Rose,Right Mid-Range,143,63,0.4406,0.4029,3.7613,8.9543,7.5771,9,469,0,16,0.8811,0.8059,2,True
2010-11,1,201565,Derrick Rose,Right Baseline,77,33,0.4286,0.4017,2.6845,4.8215,5.1602,9,469,0,16,0.8571,0.8035,2,True
2010-11,1,201565,Derrick Rose,Left Corner 3,9,5,0.5556,0.3916,16.3989,0.5636,3.2409,9,469,0,16,1.6667,1.1747,3,False
2010-11,1,201565,Derrick Rose,Left Wing 3,170,62,0.3647,0.3557,0.9044,10.6450,5.7694,9,469,0,16,1.0941,1.0670,3,True
2010-11,1,201565,Derrick Rose,Top of Key 3,91,23,0.2527,0.3298,-7.7090,5.6982,4.3907,9,469,0,16,0.7582,0.9895,3,True
2010-11,1,201565,Derrick Rose,Right Wing 3,95,37,0.3895,0.3581,3.1386,5.9487,5.6017,9,469,0,16,1.1684,1.0743,3,True
2010-11,1,201565,Derrick Rose,Right Corner 3,11,1,0.0909,0.3972,-30.6298,0.6888,2.9390,9,469,0,16,0.2727,1.1908,3,False
2010-11,2,2736,Luol Deng,Restricted Area,353,235,0.6657,0.6199,4.5823,30.5628,31.5016,2,469,0,16,1.3314,1.2398,2,True
