loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
6,6,True,2PT,Restricted Area,0,0021400035,20141101,Center(C)
155,25,True,2PT,Mid-Range,15,0021400035,20141101,Right Side(R)
-191,151,False,3PT,Above the Break 3,24,0021400035,20141101,Left Side Center(LC)
0,1,True,2PT,Restricted Area,0,0021400035,20141101,Center(C)
-7,-5,True,2PT,Restricted Area,0,0021400035,20141101,Center(C)
6,3,True,2PT,Restricted Area,0,0021400035,20141101,Center(C)
-127,211,True,3PT,Above the Break 3,24,0021400035,20141101,Left Side Center(LC)
-114,183,False,2PT,Mid-Range,21,0021400035,20141101,Left Side Center(LC)
0,1,False,2PT,Restricted Area,0,0021400035,20141101,Center(C)
149,198,False,3PT,Above the Break 3,24,0021400035,20141101,Right Side Center(RC)
1,1,False,2PT,Restricted Area,0,0021400035,20141101,Center(C)
-19,3,False,2PT,Restricted Area,1,0021400035,20141101,Center(C)
201,7,True,2PT,Mid-Range,20,0021400053,20141104,Right Side(R)
0,331,False,3PT,Above the Break 3,33,0021400053,20141104,Center(C)
-71,165,False,2PT,Mid-Range,17,0021400053,20141104,Left Side Center(LC)
-8,34,False,2PT,Restricted Area,3,0021400053,20141104,Center(C)
-16,118,True,2PT,In The Paint (Non-RA),11,0021400053,20141104,Center(C)
9,7,True,2PT,Restricted Area,1,0021400053,20141104,Center(C)
-11,3,True,2PT,Restricted Area,1,0021400053,20141104,Center(C)
4,14,True,2PT,Restricted Area,1,0021400053,20141104,Center(C)
130,7,True,2PT,Mid-Range,13,0021400053,20141104,Right Side(R)
18,12,False,2PT,Restricted Area,2,0021400053,20141104,Center(C)
53,74,False,2PT,In The Paint (Non-RA),9,0021400053,20141104,Right Side(R)
-3,16,False,2PT,Restricted Area,1,0021400053,20141104,Center(C)
-163,134,False,2PT,Mid-Range,21,0021400053,20141104,Left Side Center(LC)
-239,4,False,3PT,Left Corner 3,23,0021400053,20141104,Left Side(L)
-5,22,True,2PT,Restricted Area,2,0021400053,20141104,Center(C)
102,28,True,2PT,Mid-Range,10,0021400062,20141105,Right Side(R)
168,0,True,2PT,Mid-Range,16,0021400062,20141105,Right Side(R)
-133,77,False,2PT,Mid-Range,15,0021400062,20141105,Left Side(L)
-26,165,False,2PT,Mid-Range,16,0021400062,20141105,Center(C)
0,1,True,2PT,Restricted Area,0,0021400062,20141105,Center(C)
-12,3,False,2PT,Restricted Area,1,0021400062,20141105,Center(C)
-2,20,True,2PT,Restricted Area,2,0021400062,20141105,Center(C)
95,135,True,2PT,Mid-Range,16,0021400062,20141105,Right Side Center(RC)
59,-6,True,2PT,In The Paint (Non-RA),5,0021400073,20141107,Center(C)
