window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2011-12,Restricted Area,34,18,0.5294,0.6048,-7.5437,43.0380,32.3185,0,304,0,5,1.0588,1.2097,2,True
2011-12,In The Paint (Non-RA),10,2,0.2000,0.3809,-18.0863,12.6582,14.8525,0,304,0,5,0.4000,0.7617,2,False
2011-12,Left Baseline,2,0,0.0000,0.3828,-38.2778,2.5316,5.2734,0,304,0,5,0.0000,0.7656,2,False
2011-12,Left Mid-Range,7,2,0.2857,0.3832,-9.7484,8.8608,6.9043,0,304,0,5,0.5714,0.7664,2,False
2011-12,Center Mid-Range,1,0,0.0000,0.4018,-40.1778,1.2658,5.8609,0,304,0,5,0.0000,0.8036,2,False
2011-12,Right Mid-Range,5,3,0.6000,0.3795,22.0464,6.3291,7.2144,0,304,0,5,1.2000,0.7591,2,False
2011-12,Right Baseline,9,5,0.5556,0.3919,16.3680,11.3924,5.0085,0,304,0,5,1.1111,0.7838,2,False
2011-12,Left Corner 3,2,1,0.5000,0.3762,12.3850,2.5316,3.1004,0,304,0,5,1.5000,1.1285,3,False
2011-12,Left Wing 3,1,0,0.0000,0.3421,-34.2091,1.2658,5.9024,0,304,0,5,0.0000,1.0263,3,False
2011-12,Top of Key 3,1,0,0.0000,0.3255,-32.5479,1.2658,4.5284,0,304,0,5,0.0000,0.9764,3,False
2011-12,Right Wing 3,6,1,0.1667,0.3550,-18.8380,7.5949,5.8757,0,304,0,5,0.5000,1.0651,3,False
2011-12,Right Corner 3,1,0,0.0000,0.3755,-37.5496,1.2658,2.9720,0,304,0,5,0.0000,1.1263,3,False
2012-13,Restricted Area,226,144,0.6372,0.6046,3.2526,44.1406,32.8085,3,420,0,12,1.2743,1.2093,2,True
2012-13,In The Paint (Non-RA),23,3,0.1304,0.3845,-25.4084,4.4922,14.5412,3,420,0,12,0.2609,0.7690,2,True
2012-13,Left Baseline,36,12,0.3333,0.3982,-6.4833,7.0312,4.9787,3,420,0,12,0.6667,0.7963,2,True
2012-13,Left Mid-Range,27,7,0.2593,0.3852,-12.5910,5.2734,6.4025,3,420,0,12,0.5185,0.7703,2,True
2012-13,Center Mid-Range,12,4,0.3333,0.4005,-6.7161,2.3438,5.6236,3,420,0,12,0.6667,0.8010,2,False
2012-13,Right Mid-Range,45,14,0.3111,0.3915,-8.0345,8.7891,6.6887,3,420,0,12,0.6222,0.7829,2,True
2012-13,Right Baseline,38,15,0.3947,0.3895,0.5228,7.4219,4.6245,3,420,0,12,0.7895,0.7790,2,True
2012-13,Left Corner 3,37,14,0.3784,0.3863,-0.7959,7.2266,3.5004,3,420,0,12,1.1351,1.1590,3,True
2012-13,Left Wing 3,16,7,0.4375,0.3494,8.8115,3.1250,6.1708,3,420,0,12,1.3125,1.0482,3,False
2012-13,Top of Key 3,6,2,0.3333,0.3389,-0.5523,1.1719,4.9703,3,420,0,12,1.0000,1.0166,3,False
2012-13,Right Wing 3,17,8,0.4706,0.3622,10.8433,3.3203,6.2710,3,420,0,12,1.4118,1.0865,3,False
2012-13,Right Corner 3,26,9,0.3462,0.3934,-4.7266,5.0781,3.2116,3,420,0,12,1.0385,1.1796,3,True
2013-14,Restricted Area,230,131,0.5696,0.6083,-3.8757,33.1890,32.3408,4,444,0,11,1.1391,1.2166,2,True
2013-14,In The Paint (Non-RA),37,9,0.2432,0.3932,-14.9946,5.3391,14.9177,4,444,0,11,0.4865,0.7864,2,True
2013-14,Left Baseline,28,11,0.3929,0.3940,-0.1095,4.0404,4.5687,4,444,0,11,0.7857,0.7879,2,True
2013-14,Left Mid-Range,48,17,0.3542,0.3960,-4.1875,6.9264,6.2628,4,444,0,11,0.7083,0.7921,2,True
2013-14,Center Mid-Range,29,10,0.3448,0.3978,-5.2936,4.1847,5.5632,4,444,0,11,0.6897,0.7955,2,True
2013-14,Right Mid-Range,50,18,0.3600,0.3925,-3.2548,7.2150,6.4034,4,444,0,11,0.7200,0.7851,2,True
2013-14,Right Baseline,31,11,0.3548,0.3920,-3.7194,4.4733,4.0088,4,444,0,11,0.7097,0.7841,2,True
2013-14,Left Corner 3,34,15,0.4412,0.3913,4.9921,4.9062,3.4959,4,444,0,11,1.3235,1.1738,3,True
2013-14,Left Wing 3,36,6,0.1667,0.3587,-19.2031,5.1948,6.6635,4,444,0,11,0.5000,1.0761,3,True
2013-14,Top of Key 3,30,7,0.2333,0.3505,-11.7181,4.3290,5.8547,4,444,0,11,0.7000,1.0515,3,True
2013-14,Right Wing 3,98,24,0.2449,0.3487,-10.3828,14.1414,6.5773,4,444,0,11,0.7347,1.0462,3,True
2013-14,Right Corner 3,38,16,0.4211,0.3892,3.1868,5.4834,3.1255,4,444,0,11,1.2632,1.1676,3,True
2014-15,Restricted Area,335,202,0.6030,0.6008,0.2159,36.7325,32.1742,2,427,0,10,1.2060,1.2017,2,True
2014-15,In The Paint (Non-RA),87,32,0.3678,0.3924,-2.4621,9.5395,14.8465,2,427,0,10,0.7356,0.7849,2,True
2014-15,Left Baseline,64,22,0.3438,0.3966,-5.2815,7.0175,4.4189,2,427,0,10,0.6875,0.7931,2,True
2014-15,Left Mid-Range,53,16,0.3019,0.3891,-8.7171,5.8114,5.9222,2,427,0,10,0.6038,0.7781,2,True
2014-15,Center Mid-Range,34,15,0.4412,0.4028,3.8413,3.7281,5.6337,2,427,0,10,0.8824,0.8055,2,True
2014-15,Right Mid-Range,79,28,0.3544,0.3899,-3.5473,8.6623,6.2350,2,427,0,10,0.7089,0.7798,2,True
2014-15,Right Baseline,67,33,0.4925,0.4031,8.9411,7.3465,3.9523,2,427,0,10,0.9851,0.8063,2,True
2014-15,Left Corner 3,22,12,0.5455,0.3798,16.5606,2.4123,3.5874,2,427,0,10,1.6364,1.1395,3,True
2014-15,Left Wing 3,46,19,0.4130,0.3413,7.1740,5.0439,6.8363,2,427,0,10,1.2391,1.0239,3,True
2014-15,Top of Key 3,27,8,0.2963,0.3372,-4.0900,2.9605,6.1708,2,427,0,10,0.8889,1.0116,3,True
2014-15,Right Wing 3,70,24,0.3429,0.3435,-0.0624,7.6754,6.6159,2,427,0,10,1.0286,1.0304,3,True
2014-15,Right Corner 3,26,10,0.3846,0.3919,-0.7255,2.8509,3.3992,2,427,0,10,1.1538,1.1753,3,True
2015-16,Restricted Area,353,230,0.6516,0.6025,4.9064,34.1063,32.4412,6,440,0,18,1.3031,1.2050,2,True
2015-16,In The Paint (Non-RA),102,38,0.3725,0.4000,-2.7497,9.8551,14.5382,6,440,0,18,0.7451,0.8001,2,True
2015-16,Left Baseline,75,31,0.4133,0.3968,1.6573,7.2464,4.0978,6,440,0,18,0.8267,0.7935,2,True
2015-16,Left Mid-Range,54,22,0.4074,0.3959,1.1524,5.2174,5.5625,6,440,0,18,0.8148,0.7918,2,True
2015-16,Center Mid-Range,50,12,0.2400,0.4047,-16.4655,4.8309,5.3528,6,440,0,18,0.4800,0.8093,2,True
2015-16,Right Mid-Range,96,43,0.4479,0.3966,5.1283,9.2754,5.6866,6,440,0,18,0.8958,0.7933,2,True
2015-16,Right Baseline,100,30,0.3000,0.3993,-9.9259,9.6618,3.8962,6,440,0,18,0.6000,0.7985,2,True
2015-16,Left Corner 3,17,3,0.1765,0.3737,-19.7258,1.6425,3.7827,6,440,0,18,0.5294,1.1211,3,False
2015-16,Left Wing 3,49,17,0.3469,0.3488,-0.1889,4.7343,7.3264,6,440,0,18,1.0408,1.0465,3,True
2015-16,Top of Key 3,41,12,0.2927,0.3433,-5.0617,3.9614,6.7087,6,440,0,18,0.8780,1.0299,3,True
2015-16,Right Wing 3,74,21,0.2838,0.3542,-7.0437,7.1498,6.8550,6,440,0,18,0.8514,1.0627,3,True
2015-16,Right Corner 3,18,10,0.5556,0.3808,17.4713,1.7391,3.5403,6,440,0,18,1.6667,1.1423,3,False
