season_end_year,season,player_id,player,age,games,offensive_rebounds,defensive_rebounds,rebounds,offensive_rebounds_per_game,defensive_rebounds_per_game,rebounds_per_game,team_games,team_offensive_rebounds,team_defensive_rebounds,team_rebounds,player_source_url,team_source_url,minimum_games,qualified,selected
2002,2001–02,2199,Tyson Chandler,19,71,114,229,343,1.6056338028169015,3.2253521126760565,4.830985915492958,82,924,2359,3283,https://stats.nba.com/stats/playercareerstats?PlayerID=2199&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2019,2018–19,1628976,Wendell Carter Jr.,20,44,87,220,307,1.9772727272727273,5.0,6.9772727272727275,82,718,2799,3517,https://stats.nba.com/stats/playercareerstats?PlayerID=1628976&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2000,1999–00,1882,Elton Brand,21,81,348,462,810,4.296296296296297,5.703703703703703,10.0,82,1032,2323,3355,https://stats.nba.com/stats/playercareerstats?PlayerID=1882&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2001,2000–01,1882,Elton Brand,22,74,285,461,746,3.8513513513513513,6.22972972972973,10.08108108108108,82,926,2260,3186,https://stats.nba.com/stats/playercareerstats?PlayerID=1882&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1987,1986–87,891,Charles Oakley,23,82,299,775,1074,3.6463414634146343,9.451219512195122,13.097560975609756,82,1248,2400,3648,https://stats.nba.com/stats/playercareerstats?PlayerID=891&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1988,1987–88,891,Charles Oakley,24,82,326,740,1066,3.975609756097561,9.024390243902438,13.0,82,1170,2459,3629,https://stats.nba.com/stats/playercareerstats?PlayerID=891&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2010,2009–10,201149,Joakim Noah,25,64,220,484,704,3.4375,7.5625,11.0,82,937,2715,3652,https://stats.nba.com/stats/playercareerstats?PlayerID=201149&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2011,2010–11,201149,Joakim Noah,26,48,182,316,498,3.7916666666666665,6.583333333333333,10.375,82,967,2654,3621,https://stats.nba.com/stats/playercareerstats?PlayerID=201149&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1984,1983–84,76881,David Greenwood,27,78,214,572,786,2.7435897435897436,7.333333333333333,10.076923076923077,82,1141,2300,3441,https://stats.nba.com/stats/playercareerstats?PlayerID=76881&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
1977,1976–77,600014,Artis Gilmore,28,82,313,757,1070,3.817073170731707,9.231707317073171,13.048780487804878,82,1292,2705,3997,https://stats.nba.com/stats/playercareerstats?PlayerID=600014&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
