season_end_year,season,player_id,player,age,games,offensive_rebounds,defensive_rebounds,rebounds,offensive_rebounds_per_game,defensive_rebounds_per_game,rebounds_per_game,team_games,team_offensive_rebounds,team_defensive_rebounds,team_rebounds,player_source_url,team_source_url,minimum_games,qualified,selected
2002,2001–02,2201,Eddy Curry,19,72,111,161,272,1.5416666666666667,2.236111111111111,3.7777777777777777,82,924,2359,3283,https://stats.nba.com/stats/playercareerstats?PlayerID=2201&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2002,2001–02,2199,Tyson Chandler,19,71,114,229,343,1.6056338028169015,3.2253521126760565,4.830985915492958,82,924,2359,3283,https://stats.nba.com/stats/playercareerstats?PlayerID=2199&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2021,2020–21,1630172,Patrick Williams,19,71,66,261,327,0.9295774647887324,3.676056338028169,4.605633802816901,72,693,2544,3237,https://stats.nba.com/stats/playercareerstats?PlayerID=1630172&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,36,True,False
2026,2025–26,1642855,Noa Essengue,19,2,0,0,0,0.0,0.0,0.0,82,849,2845,3694,https://stats.nba.com/stats/playercareerstats?PlayerID=1642855&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2000,1999–00,1897,Metta World Peace,20,72,62,246,308,0.8611111111111112,3.4166666666666665,4.277777777777778,82,1032,2323,3355,https://stats.nba.com/stats/playercareerstats?PlayerID=1897&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2001,2000–01,2053,Dalibor Bagaric,20,35,22,34,56,0.6285714285714286,0.9714285714285714,1.6,82,926,2260,3186,https://stats.nba.com/stats/playercareerstats?PlayerID=2053&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2003,2002–03,2201,Eddy Curry,20,81,116,237,353,1.4320987654320987,2.925925925925926,4.3580246913580245,82,985,2541,3526,https://stats.nba.com/stats/playercareerstats?PlayerID=2201&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2003,2002–03,2199,Tyson Chandler,20,75,169,345,514,2.2533333333333334,4.6,6.8533333333333335,82,985,2541,3526,https://stats.nba.com/stats/playercareerstats?PlayerID=2199&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2005,2004–05,2736,Luol Deng,20,61,92,230,322,1.5081967213114753,3.7704918032786887,5.278688524590164,82,1001,2591,3592,https://stats.nba.com/stats/playercareerstats?PlayerID=2736&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2007,2006–07,200748,Tyrus Thomas,20,72,89,180,269,1.2361111111111112,2.5,3.736111111111111,82,984,2597,3581,https://stats.nba.com/stats/playercareerstats?PlayerID=200748&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2009,2008–09,201565,Derrick Rose,20,81,96,221,317,1.1851851851851851,2.728395061728395,3.9135802469135803,82,970,2481,3451,https://stats.nba.com/stats/playercareerstats?PlayerID=201565&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2013,2012–13,203104,Marquis Teague,20,48,3,41,44,0.0625,0.8541666666666666,0.9166666666666666,82,1026,2514,3540,https://stats.nba.com/stats/playercareerstats?PlayerID=203104&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2019,2018–19,1628976,Wendell Carter Jr.,20,44,87,220,307,1.9772727272727273,5.0,6.9772727272727275,82,718,2799,3517,https://stats.nba.com/stats/playercareerstats?PlayerID=1628976&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2020,2019–20,1629632,Coby White,20,65,28,202,230,0.4307692307692308,3.1076923076923078,3.5384615384615383,65,680,2041,2721,https://stats.nba.com/stats/playercareerstats?PlayerID=1629632&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,33,True,False
2022,2021–22,1630172,Patrick Williams,20,17,17,52,69,1.0,3.0588235294117645,4.0588235294117645,82,711,2760,3471,https://stats.nba.com/stats/playercareerstats?PlayerID=1630172&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2023,2022–23,1631207,Dalen Terry,20,38,12,25,37,0.3157894736842105,0.6578947368421053,0.9736842105263158,82,694,2779,3473,https://stats.nba.com/stats/playercareerstats?PlayerID=1631207&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2024,2023–24,1641763,Julian Phillips,20,40,12,24,36,0.3,0.6,0.9,82,916,2677,3593,https://stats.nba.com/stats/playercareerstats?PlayerID=1641763&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2025,2024–25,1641824,Matas Buzelis,20,80,55,223,278,0.6875,2.7875,3.475,82,825,2935,3760,https://stats.nba.com/stats/playercareerstats?PlayerID=1641824&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1979,1978–79,78310,Reggie Theus,21,82,92,136,228,1.1219512195121952,1.6585365853658536,2.7804878048780486,82,1224,2544,3768,https://stats.nba.com/stats/playercareerstats?PlayerID=78310&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1984,1983–84,941,Ennis Whatley,21,80,63,134,197,0.7875,1.675,2.4625,82,1141,2300,3441,https://stats.nba.com/stats/playercareerstats?PlayerID=941&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1999,1998–99,1736,Corey Benjamin,21,31,15,25,40,0.4838709677419355,0.8064516129032258,1.2903225806451613,50,573,1394,1967,https://stats.nba.com/stats/playercareerstats?PlayerID=1736&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,25,True,False
2000,1999–00,1882,Elton Brand,21,81,348,462,810,4.296296296296297,5.703703703703703,10.0,82,1032,2323,3355,https://stats.nba.com/stats/playercareerstats?PlayerID=1882&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2001,2000–01,2037,Jamal Crawford,21,61,9,80,89,0.14754098360655737,1.3114754098360655,1.459016393442623,82,926,2260,3186,https://stats.nba.com/stats/playercareerstats?PlayerID=2037&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2001,2000–01,1897,Metta World Peace,21,76,59,235,294,0.7763157894736842,3.0921052631578947,3.8684210526315788,82,926,2260,3186,https://stats.nba.com/stats/playercareerstats?PlayerID=1897&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2002,2001–02,2053,Dalibor Bagaric,21,50,55,107,162,1.1,2.14,3.24,82,924,2359,3283,https://stats.nba.com/stats/playercareerstats?PlayerID=2053&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2003,2002–03,2398,Jay Williams,21,75,27,168,195,0.36,2.24,2.6,82,985,2541,3526,https://stats.nba.com/stats/playercareerstats?PlayerID=2398&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2004,2003–04,2201,Eddy Curry,21,73,143,308,451,1.9589041095890412,4.219178082191781,6.178082191780822,82,1048,2519,3567,https://stats.nba.com/stats/playercareerstats?PlayerID=2201&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2004,2003–04,2199,Tyson Chandler,21,35,82,188,270,2.342857142857143,5.371428571428571,7.714285714285714,82,1048,2519,3567,https://stats.nba.com/stats/playercareerstats?PlayerID=2199&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2006,2005–06,2736,Luol Deng,21,78,127,389,516,1.6282051282051282,4.987179487179487,6.615384615384615,82,906,2602,3508,https://stats.nba.com/stats/playercareerstats?PlayerID=2736&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2008,2007–08,200748,Tyrus Thomas,21,74,102,240,342,1.3783783783783783,3.2432432432432434,4.621621621621622,82,1050,2478,3528,https://stats.nba.com/stats/playercareerstats?PlayerID=200748&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2010,2009–10,201565,Derrick Rose,21,78,65,228,293,0.8333333333333334,2.923076923076923,3.7564102564102564,82,937,2715,3652,https://stats.nba.com/stats/playercareerstats?PlayerID=201565&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2014,2013–14,203104,Marquis Teague,21,19,1,18,19,0.05263157894736842,0.9473684210526315,1.0,82,937,2683,3620,https://stats.nba.com/stats/playercareerstats?PlayerID=203104&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2016,2015–16,1626171,Bobby Portis,21,62,123,214,337,1.9838709677419355,3.4516129032258065,5.435483870967742,82,907,2889,3796,https://stats.nba.com/stats/playercareerstats?PlayerID=1626171&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2018,2017–18,1628469,Antonio Blakeney,21,19,4,29,33,0.21052631578947367,1.5263157894736843,1.736842105263158,82,790,2872,3662,https://stats.nba.com/stats/playercareerstats?PlayerID=1628469&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2018,2017–18,1628374,Lauri Markkanen,21,68,79,429,508,1.161764705882353,6.3088235294117645,7.470588235294118,82,790,2872,3662,https://stats.nba.com/stats/playercareerstats?PlayerID=1628374&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2019,2018–19,1628959,Rawle Alkins,21,10,11,15,26,1.1,1.5,2.6,82,718,2799,3517,https://stats.nba.com/stats/playercareerstats?PlayerID=1628959&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
2020,2019–20,1629690,Adam Mokoka,21,11,7,3,10,0.6363636363636364,0.2727272727272727,0.9090909090909091,65,680,2041,2721,https://stats.nba.com/stats/playercareerstats?PlayerID=1629690&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,33,False,False
2020,2019–20,1629655,Daniel Gafford,21,43,52,54,106,1.2093023255813953,1.255813953488372,2.4651162790697674,65,680,2041,2721,https://stats.nba.com/stats/playercareerstats?PlayerID=1629655&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,33,True,False
2020,2019–20,1628976,Wendell Carter Jr.,21,43,139,266,405,3.2325581395348837,6.186046511627907,9.418604651162791,65,680,2041,2721,https://stats.nba.com/stats/playercareerstats?PlayerID=1628976&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,33,True,False
2021,2020–21,1629632,Coby White,21,69,28,256,284,0.4057971014492754,3.710144927536232,4.115942028985507,72,693,2544,3237,https://stats.nba.com/stats/playercareerstats?PlayerID=1629632&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,36,True,False
2021,2020–21,1629653,Devon Dotson,21,11,2,3,5,0.18181818181818182,0.2727272727272727,0.45454545454545453,72,693,2544,3237,https://stats.nba.com/stats/playercareerstats?PlayerID=1629653&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,36,False,False
2021,2020–21,1628972,Troy Brown Jr.,21,13,9,35,44,0.6923076923076923,2.6923076923076925,3.3846153846153846,72,693,2544,3237,https://stats.nba.com/stats/playercareerstats?PlayerID=1628972&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,36,False,False
2023,2022–23,1630172,Patrick Williams,21,82,78,249,327,0.9512195121951219,3.0365853658536586,3.9878048780487805,82,694,2779,3473,https://stats.nba.com/stats/playercareerstats?PlayerID=1630172&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2024,2023–24,1631207,Dalen Terry,21,59,29,84,113,0.4915254237288136,1.423728813559322,1.9152542372881356,82,916,2677,3593,https://stats.nba.com/stats/playercareerstats?PlayerID=1631207&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2025,2024–25,1641763,Julian Phillips,21,79,67,102,169,0.8481012658227848,1.2911392405063291,2.1392405063291138,82,825,2935,3760,https://stats.nba.com/stats/playercareerstats?PlayerID=1641763&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2026,2025–26,1641824,Matas Buzelis,21,77,77,371,448,1.0,4.818181818181818,5.818181818181818,82,849,2845,3694,https://stats.nba.com/stats/playercareerstats?PlayerID=1641824&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2026,2025–26,1642265,Rob Dillingham,21,30,14,76,90,0.4666666666666667,2.533333333333333,3.0,82,849,2845,3694,https://stats.nba.com/stats/playercareerstats?PlayerID=1642265&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
1977,1976–77,77869,Cliff Pondexter,22,78,77,159,236,0.9871794871794872,2.0384615384615383,3.0256410256410255,82,1292,2705,3997,https://stats.nba.com/stats/playercareerstats?PlayerID=77869&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1978,1977–78,76059,Tate Armstrong,22,66,24,44,68,0.36363636363636365,0.6666666666666666,1.0303030303030303,82,1248,2577,3825,https://stats.nba.com/stats/playercareerstats?PlayerID=76059&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1980,1979–80,78310,Reggie Theus,22,82,143,186,329,1.7439024390243902,2.268292682926829,4.012195121951219,82,1115,2465,3580,https://stats.nba.com/stats/playercareerstats?PlayerID=78310&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1981,1980–81,77373,Ronnie Lester,22,8,3,3,6,0.375,0.375,0.75,82,1227,2475,3702,https://stats.nba.com/stats/playercareerstats?PlayerID=77373&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,False,False
1982,1981–82,78615,Orlando Woolridge,22,75,82,145,227,1.0933333333333333,1.9333333333333333,3.026666666666667,82,1125,2525,3650,https://stats.nba.com/stats/playercareerstats?PlayerID=78615&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1983,1982–83,76497,Quintin Dailey,22,76,87,173,260,1.144736842105263,2.276315789473684,3.4210526315789473,82,1267,2527,3794,https://stats.nba.com/stats/playercareerstats?PlayerID=76497&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1985,1984–85,941,Ennis Whatley,22,70,34,67,101,0.4857142857142857,0.9571428571428572,1.4428571428571428,82,1074,2366,3440,https://stats.nba.com/stats/playercareerstats?PlayerID=941&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1985,1984–85,893,Michael Jordan,22,82,167,367,534,2.0365853658536586,4.475609756097561,6.512195121951219,82,1074,2366,3440,https://stats.nba.com/stats/playercareerstats?PlayerID=893&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1986,1985–86,891,Charles Oakley,22,77,255,409,664,3.311688311688312,5.311688311688312,8.623376623376624,82,1280,2278,3558,https://stats.nba.com/stats/playercareerstats?PlayerID=891&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1988,1987–88,270,Horace Grant,22,81,155,292,447,1.9135802469135803,3.6049382716049383,5.518518518518518,82,1170,2459,3629,https://stats.nba.com/stats/playercareerstats?PlayerID=270&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1988,1987–88,937,Scottie Pippen,22,79,115,183,298,1.4556962025316456,2.3164556962025316,3.7721518987341773,82,1170,2459,3629,https://stats.nba.com/stats/playercareerstats?PlayerID=937&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
1990,1989–90,769,B.J. Armstrong,22,81,19,83,102,0.2345679012345679,1.0246913580246915,1.2592592592592593,82,1075,2279,3354,https://stats.nba.com/stats/playercareerstats?PlayerID=769&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2000,1999–00,1736,Corey Benjamin,22,48,21,67,88,0.4375,1.3958333333333333,1.8333333333333333,82,1032,2323,3355,https://stats.nba.com/stats/playercareerstats?PlayerID=1736&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
2001,2000–01,1882,Elton Brand,22,74,285,461,746,3.8513513513513513,6.22972972972973,10.08108108108108,82,926,2260,3186,https://stats.nba.com/stats/playercareerstats?PlayerID=1882&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,True
2001,2000–01,2033,Marcus Fizer,22,72,76,237,313,1.0555555555555556,3.2916666666666665,4.347222222222222,82,926,2260,3186,https://stats.nba.com/stats/playercareerstats?PlayerID=2033&PerMode=Totals,https://stats.nba.com/stats/teamyearbyyearstats?TeamID=1610612741,41,True,False
