season_end_year,season,player_id,player,age,games,offensive_rebounds,defensive_rebounds,rebounds,offensive_rebounds_per_game,defensive_rebounds_per_game,rebounds_per_game,team_games,team_offensive_rebounds,team_defensive_rebounds,team_rebounds,player_source_url,team_source_url,minimum_games,qualified,selected,league_median,league_ratio,league_percentile,league_sample
2002,2001–02,2199,Tyson Chandler,19,71,114,229,343,1.6056338028169015,3.2253521126760565,4.830985915492958,82,924,2359,3283,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.5271033314511575,1.067125170731279,54.807692307692314,208
2019,2018–19,1628976,Wendell Carter Jr.,20,44,87,220,307,1.9772727272727273,5.0,6.9772727272727275,82,718,2799,3517,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.5344827586206895,1.5387141375734532,78.50877192982456,228
2020,2019–20,1628976,Wendell Carter Jr.,21,43,139,266,405,3.2325581395348837,6.186046511627907,9.418604651162791,65,680,2041,2721,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,33,True,True,4.5964912280701755,2.0490857447186226,90.41095890410958,219
2001,2000–01,1882,Elton Brand,22,74,285,461,746,3.8513513513513513,6.22972972972973,10.08108108108108,82,926,2260,3186,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.538056879829032,2.2214532228297847,94.5,200
2006,2005–06,2199,Tyson Chandler,23,79,265,449,714,3.3544303797468356,5.6835443037974684,9.037974683544304,82,906,2602,3508,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.503086419753086,2.007062232671936,90.56603773584906,212
2009,2008–09,201149,Joakim Noah,24,80,244,362,606,3.05,4.525,7.575,82,970,2481,3451,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.7611940298507465,1.590987460815047,81.95121951219512,205
2010,2009–10,201149,Joakim Noah,25,64,220,484,704,3.4375,7.5625,11.0,82,937,2715,3652,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.5496715927750415,2.417756925020301,96.75925925925925,216
2011,2010–11,201149,Joakim Noah,26,48,182,316,498,3.7916666666666665,6.583333333333333,10.375,82,967,2654,3621,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.12875,2.5128670905237662,96.78899082568807,218
2012,2011–12,201149,Joakim Noah,27,64,242,387,629,3.78125,6.046875,9.828125,66,915,2165,3080,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741,33,True,True,4.161967213114754,2.361413364581692,95.53571428571429,224
2013,2012–13,201149,Joakim Noah,28,66,260,473,733,3.939393939393939,7.166666666666667,11.106060606060606,82,1026,2514,3540,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.32051282051282,2.5705422174264903,97.1830985915493,213
2014,2013–14,201149,Joakim Noah,29,80,282,618,900,3.525,7.725,11.25,82,937,2683,3620,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.282051282051282,2.627245508982036,97.1291866028708,209
2015,2014–15,201149,Joakim Noah,30,67,219,427,646,3.2686567164179103,6.373134328358209,9.64179104477612,82,959,2792,3751,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.2560975609756095,2.265406491895822,93.42723004694837,213
2022,2021–22,202696,Nikola Vučević,31,73,142,662,804,1.9452054794520548,9.068493150684931,11.013698630136986,82,711,2760,3471,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.446153846153846,2.477129449684789,96.17021276595744,235
2023,2022–23,202696,Nikola Vučević,32,82,159,744,903,1.9390243902439024,9.073170731707316,11.01219512195122,82,694,2779,3473,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.463414634146342,2.4672131147540983,96.8609865470852,223
2024,2023–24,202696,Nikola Vučević,33,76,210,591,801,2.763157894736842,7.776315789473684,10.539473684210526,82,916,2677,3593,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.333333333333333,2.432186234817814,94.97716894977168,219
