season_end_year,season,player_id,player,age,games,offensive_rebounds,defensive_rebounds,rebounds,offensive_rebounds_per_game,defensive_rebounds_per_game,rebounds_per_game,team_games,team_offensive_rebounds,team_defensive_rebounds,team_rebounds,player_source_url,team_source_url,minimum_games,qualified,selected,league_median,league_ratio,league_percentile,league_sample
2002,2001–02,2201,Eddy Curry,19,72,111,161,272,1.5416666666666667,2.236111111111111,3.7777777777777777,82,924,2359,3283,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,41,True,False,4.5271033314511575,0.8344801302705886,37.019230769230774,208
2002,2001–02,2199,Tyson Chandler,19,71,114,229,343,1.6056338028169015,3.2253521126760565,4.830985915492958,82,924,2359,3283,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,41,True,True,4.5271033314511575,1.067125170731279,54.807692307692314,208
2021,2020–21,1630172,Patrick Williams,19,71,66,261,327,0.9295774647887324,3.676056338028169,4.605633802816901,72,693,2544,3237,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,36,True,False,4.553191489361702,1.011517704356983,50.21834061135371,229
2026,2025–26,1642855,Noa Essengue,19,2,0,0,0,0.0,0.0,0.0,82,849,2845,3694,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,41,False,False,4.339285714285714,0.0,0.0,231
2001,2000–01,2053,Dalibor Bagaric,20,35,22,34,56,0.6285714285714286,0.9714285714285714,1.6,82,926,2260,3186,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,41,False,False,4.538056879829032,0.3525738090925557,1.0,200
2003,2002–03,2201,Eddy Curry,20,81,116,237,353,1.432098765432099,2.925925925925926,4.3580246913580245,82,985,2541,3526,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,41,True,False,4.609756097560975,0.9453915997125873,43.84236453201971,203
2003,2002–03,2199,Tyson Chandler,20,75,169,345,514,2.2533333333333334,4.6,6.8533333333333335,82,985,2541,3526,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,41,True,False,4.609756097560975,1.4867019400352735,78.32512315270937,203
2005,2004–05,2736,Luol Deng,20,61,92,230,322,1.5081967213114753,3.7704918032786887,5.278688524590164,82,1001,2591,3592,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,41,True,False,4.746031746031746,1.1122320302648172,57.89473684210527,209
2007,2006–07,200748,Tyrus Thomas,20,72,89,180,269,1.2361111111111112,2.5,3.736111111111111,82,984,2597,3581,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,41,True,False,4.380952380952381,0.8528079710144927,40.63926940639269,219
2009,2008–09,201565,Derrick Rose,20,81,96,221,317,1.1851851851851851,2.728395061728395,3.91358024691358,82,970,2481,3451,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,41,True,False,4.7611940298507465,0.8219745346182127,39.02439024390244,205
