Rank,Season,EntityId,PG,SG,SF,PF,C,GamesPlayed,Minutes,OffPoss,Points,ORTG,LeagueORTG,rORTG
1,2011-12,200758-201149-201565-2430-2736,Derrick Rose,Ronnie Brewer,Luol Deng,Carlos Boozer,Joakim Noah,22,289.767,534,608,113.858,104.634,9.224
2,2021-22,1629750-1630245-201942-202696-203897,Ayo Dosunmu,Zach LaVine,DeMar DeRozan,Javonte Green,Nikola Vucevic,23,251.8,509,609,119.646,112.55,7.096
3,2010-11,201565-2430-2586-2736-703,Derrick Rose,Keith Bogans,Luol Deng,Carlos Boozer,Kurt Thomas,30,403.117,746,847,113.539,107.479,6.06
4,2009-10,1802-201565-201959-2550-2736,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,Brad Miller,38,290.8,574,647,112.718,107.776,4.942
5,2014-15,201149-201565-202710-2200-2399,Derrick Rose,Jimmy Butler,Mike Dunleavy,Pau Gasol,Joakim Noah,21,353.5,688,759,110.32,105.873,4.447
6,2008-09,200748-201149-201565-2422-2732,Derrick Rose,Ben Gordon,John Salmons,Tyrus Thomas,Joakim Noah,23,298.9,560,624,111.429,108.182,3.247
7,2022-23,1627936-201942-201976-202696-203897,Patrick Beverley,Alex Caruso,Zach LaVine,DeMar DeRozan,Nikola Vucevic,16,267.367,512,607,118.555,115.329,3.226
8,2016-17,200765-201577-201959-202710-2548,Rajon Rondo,Dwyane Wade,Jimmy Butler,Taj Gibson,Robin Lopez,28,390.483,765,840,109.804,109.282,0.522
9,2010-11,201149-201565-2430-2586-2736,Derrick Rose,Keith Bogans,Luol Deng,Carlos Boozer,Joakim Noah,29,419.733,783,831,106.13,107.479,-1.349
10,2012-13,1888-201149-2430-2550-2736,Kirk Hinrich,Richard Hamilton,Luol Deng,Carlos Boozer,Joakim Noah,25,428.95,802,834,103.99,105.904,-1.914
