Season,RowsReturned,RowsWithOffPoss,RowsSkippedMissingMetrics,LastRowOffPoss,SecondsSortedDescending
2000-01,419,406,51,1,True
2001-02,455,447,55,0,True
2002-03,306,297,32,0,True
2003-04,500,500,34,3,True
2004-05,398,384,42,0,True
2005-06,418,408,46,0,True
2006-07,392,377,29,0,True
2007-08,462,444,39,0,True
2008-09,355,344,38,0,True
2009-10,360,343,28,0,True
2010-11,191,183,18,0,True
2011-12,249,234,26,0,True
2012-13,230,212,25,0,True
2013-14,208,193,24,0,True
2014-15,300,281,30,0,True
2015-16,458,441,53,0,True
2016-17,475,455,61,0,True
2017-18,457,430,66,0,True
2018-19,500,500,39,2,True
2019-20,359,342,38,0,True
2020-21,500,500,42,1,True
2021-22,500,497,37,1,True
2022-23,321,302,21,0,True
2023-24,460,447,46,1,True
2024-25,500,500,15,3,True
2025-26,500,500,8,4,True
