Rank,Season,EntityId,PG,SG,SF,PF,C,GamesPlayed,Minutes,DefPoss,OpponentPoints,DRTG,LeagueDRTG,rDRTG
1,2004-05,213-2201-2550-2736-2768,Kirk Hinrich,Chris Duhon,Luol Deng,Antonio Davis,Eddy Curry,34,362.767,669,623,93.124,105.698,12.574
2,2019-20,1627739-1628374-1628976-203107-203897,Kris Dunn,Zach LaVine,Tomas Satoransky,Lauri Markkanen,Wendell Carter Jr.,21,316.75,640,641,100.156,111.204,11.048
3,2022-23,1627936-201942-201976-202696-203897,Patrick Beverley,Alex Caruso,Zach LaVine,DeMar DeRozan,Nikola Vucevic,16,267.367,512,537,104.883,115.329,10.446
4,2013-14,201149-202710-2399-2430-2550,Kirk Hinrich,Jimmy Butler,Mike Dunleavy,Carlos Boozer,Joakim Noah,42,681.4,1257,1220,97.056,106.808,9.752
5,2011-12,200758-201149-201565-2430-2736,Derrick Rose,Ronnie Brewer,Luol Deng,Carlos Boozer,Joakim Noah,22,289.767,526,507,96.388,104.634,8.246
6,2010-11,201149-201565-2430-2586-2736,Derrick Rose,Keith Bogans,Luol Deng,Carlos Boozer,Joakim Noah,29,419.733,778,783,100.643,107.479,6.836
7,2006-07,1112-2550-2736-2768-2804,Kirk Hinrich,Chris Duhon,Luol Deng,Andres Nocioni,Ben Wallace,36,349.8,665,669,100.602,106.508,5.906
8,2012-13,1888-201149-2430-2550-2736,Kirk Hinrich,Richard Hamilton,Luol Deng,Carlos Boozer,Joakim Noah,25,428.95,805,806,100.124,105.904,5.78
9,2009-10,201149-201565-201959-2550-2736,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,Joakim Noah,39,451.817,882,912,103.401,107.776,4.375
10,2023-24,1627936-1629632-1630245-201942-202696,Coby White,Ayo Dosunmu,DeMar DeRozan,Alex Caruso,Nikola Vucevic,30,433.367,880,982,111.591,115.727,4.136
