Season,RowsReturned,RowsWithDefPoss,RowsSkippedMissingMetrics,LastRowDefPoss,SecondsSortedDescending
2000-01,419,403,27,0,True
2001-02,455,439,32,0,True
2002-03,306,297,21,1,True
2003-04,500,500,21,2,True
2004-05,398,382,20,0,True
2005-06,418,407,42,0,True
2006-07,392,380,29,0,True
2007-08,462,452,32,1,True
2008-09,355,344,24,1,True
2009-10,360,349,26,0,True
2010-11,191,187,10,1,True
2011-12,249,235,31,1,True
2012-13,230,221,31,0,True
2013-14,208,201,20,1,True
2014-15,300,292,22,1,True
2015-16,458,444,37,1,True
2016-17,475,463,41,0,True
2017-18,457,440,44,0,True
2018-19,500,500,14,1,True
2019-20,359,346,35,1,True
2020-21,500,500,25,3,True
2021-22,500,497,32,2,True
2022-23,321,311,27,1,True
2023-24,460,450,33,0,True
2024-25,500,500,13,3,True
2025-26,500,500,4,5,True
