game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url,source_opponent,franchise
20001181,2001-04-18,CHI @ PHI,W,92,6,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI,PHI
20001170,2001-04-17,CHI @ NJN,W,100,6,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NJN,BKN
20001159,2001-04-15,CHI vs. IND,L,86,-7,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND,IND
20001143,2001-04-13,CHI vs. UTA,L,83,-11,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,UTA,UTA
20001126,2001-04-11,CHI @ WAS,W,113,4,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,WAS,WAS
20001118,2001-04-10,CHI @ MIL,L,84,-21,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIL,MIL
20001106,2001-04-08,CHI @ TOR,L,88,-12,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR,TOR
20001092,2001-04-06,CHI @ IND,L,93,-7,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND,IND
20001083,2001-04-05,CHI vs. LAL,L,88,-12,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,LAL,LAL
20001068,2001-04-03,CHI vs. DET,L,83,-27,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET,DET
20001050,2001-03-31,CHI vs. MIA,L,90,-7,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIA,MIA
20001033,2001-03-29,CHI vs. BOS,L,104,-2,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BOS,BOS
20001012,2001-03-26,CHI vs. DEN,L,104,-5,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DEN,DEN
20001004,2001-03-25,CHI @ BOS,L,98,-4,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BOS,BOS
20000994,2001-03-23,CHI vs. CHH,W,93,3,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHH,CHA
20000978,2001-03-21,CHI @ MIA,L,81,-28,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIA,MIA
20000971,2001-03-20,CHI vs. ORL,L,95,-8,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL,ORL
20000951,2001-03-17,CHI @ NYK,L,80,-21,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NYK,NYK
20000946,2001-03-16,CHI vs. SEA,L,80,-10,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,SEA,OKC
20000930,2001-03-14,CHI vs. PHI,L,67,-18,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI,PHI
20000914,2001-03-12,CHI @ CHH,L,94,-8,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHH,CHA
20000903,2001-03-10,CHI @ ATL,L,90,-3,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ATL,ATL
20000892,2001-03-09,CHI @ DET,L,75,-33,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET,DET
