Rank,Season,EntityId,PG,SG,SF,PF,C,GamesPlayed,Minutes,OffPoss,FG3M,FG3A,Fg3Pct
1,2005-06,2199-2550-2732-2736-970,Kirk Hinrich,Ben Gordon,Luol Deng,Othella Harrington,Tyson Chandler,31,186.133,345,30,56,53.571
2,2021-22,1628366-1629750-201942-202696-203897,Lonzo Ball,Zach LaVine,Javonte Green,DeMar DeRozan,Nikola Vucevic,13,152.383,314,52,103,50.485
3,2021-22,1627936-1628366-1628396-201942-203897,Lonzo Ball,Alex Caruso,Zach LaVine,DeMar DeRozan,Tony Bradley,5,67.85,134,24,51,47.059
4,2022-23,1629632-1630172-201942-202696-203897,Coby White,Zach LaVine,Patrick Williams,DeMar DeRozan,Nikola Vucevic,23,81.333,167,26,56,46.429
5,2017-18,1626166-1626245-1628021-1628374-203200,Cameron Payne,Justin Holiday,David Nwaba,Lauri Markkanen,Cristiano Felicio,6,67.067,142,24,52,46.154
6,2016-17,1627835-200765-201577-202703-202710,Rajon Rondo,Jimmy Butler,Paul Zipser,Nikola Mirotic,Robin Lopez,15,135.95,268,29,63,46.032
7,2005-06,2199-2550-2732-2736-2804,Kirk Hinrich,Ben Gordon,Luol Deng,Andres Nocioni,Tyson Chandler,35,136.65,264,26,57,45.614
8,2022-23,1629632-1630172-1630245-201942-203083,Coby White,Ayo Dosunmu,Patrick Williams,DeMar DeRozan,Andre Drummond,24,131.35,266,33,73,45.205
9,2024-25,1628366-1630172-1630581-202696-203897,Josh Giddey,Lonzo Ball,Zach LaVine,Patrick Williams,Nikola Vučević,13,78.517,164,28,62,45.161
10,2021-22,1629632-1629750-201942-202696-203897,Coby White,Zach LaVine,Javonte Green,DeMar DeRozan,Nikola Vucevic,11,105.417,215,32,71,45.07
