Season,RowsReturned,Truncated,SmallestRetainedOffPoss,LineupSecondsPlayed,QualifyingLineups
2000-01,419,False,0,238260,1
2001-02,455,False,0,237660,0
2002-03,306,False,0,239123,2
2003-04,500,True,2,234373,3
2004-05,398,False,0,237960,2
2005-06,418,False,0,238860,4
2006-07,392,False,0,237360,3
2007-08,462,False,0,237660,1
2008-09,355,False,0,239160,1
2009-10,360,False,0,238860,3
2010-11,191,False,0,237960,5
2011-12,249,False,0,191280,5
2012-13,230,False,0,237960,3
2013-14,208,False,0,239160,7
2014-15,300,False,0,238560,4
2015-16,458,False,0,238860,4
2016-17,475,False,0,237360,3
2017-18,457,False,0,238260,6
2018-19,500,True,1,236405,5
2019-20,359,False,0,188100,6
2020-21,500,True,1,206041,5
2021-22,500,True,0,236347,7
2022-23,321,False,0,238874,8
2023-24,460,False,0,239760,7
2024-25,500,True,3,227855,8
2025-26,500,True,4,207292,2
