season_end_year,season,player_id,player,games,minutes,points,team_games,team_points,player_source_url,team_source_url,minutes_per_game,points_per_game,points_per_36,qualified
2000,1999–00,54,Dickey Simpkins,69,1656.4533333333334,287,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,24.00657004830918,4.159420289855072,6.237422927700951,True
2000,1999–00,234,Khalid Reeves,3,47.45,11,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,15.816666666666668,3.6666666666666665,8.345626975763961,False
2000,1999–00,317,John Starks,4,82.755,30,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,20.68875,7.5,13.05057096247961,False
2000,1999–00,389,Toni Kukoc,24,869.32,432,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,36.22166666666667,18.0,17.889844936272027,False
2000,1999–00,697,Fred Hoiberg,31,845.3883333333333,279,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,27.27059139784946,9.0,11.88093045996613,False
2000,1999–00,713,Chris Carr,50,1089.6666666666667,492,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,21.793333333333337,9.84,16.25451208320587,True
2000,1999–00,753,Randy Brown,59,1622.8116666666667,379,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,27.505282485875707,6.423728813559322,8.407629967330363,True
2000,1999–00,765,Hersey Hawkins,61,1620.993333333333,480,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,26.57366120218579,7.868852459016393,10.660130208226233,True
2000,1999–00,769,B.J. Armstrong,27,583.2216666666667,201,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,21.600802469135804,7.444444444444445,12.406946472610471,False
2000,1999–00,781,Will Perdue,67,1013.59,168,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,15.128208955223881,2.5074626865671643,5.96690969721485,False
2000,1999–00,1074,Matt Maloney,51,1176.89,327,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,23.076274509803923,6.411764705882353,10.002634060957268,True
2000,1999–00,1512,Chris Anstey,73,1005.9016666666666,439,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,13.779474885844749,6.013698630136986,15.711277278594164,False
2000,1999–00,1600,Kornel David,26,443.17833333333334,168,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,17.045320512820513,6.461538461538462,13.64687653954202,False
2000,1999–00,1601,Rusty LaRue,4,128.645,37,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,32.16125,9.25,10.354075168098253,False
2000,1999–00,1736,Corey Benjamin,48,862.8316666666667,370,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,17.975659722222222,7.708333333333333,15.437541892103326,False
2000,1999–00,1882,Elton Brand,81,2996.6116666666667,1627,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,36.995205761316875,20.08641975308642,19.54607620718289,True
2000,1999–00,1897,Metta World Peace,72,2239.608333333333,866,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,31.105671296296293,12.027777777777779,13.920291122331658,True
2000,1999–00,1913,Michael Ruffin,71,970.2433333333332,159,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,13.665399061032863,2.23943661971831,5.899550971749356,False
2000,1999–00,1930,Lari Ketner,6,41.096666666666664,10,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,6.849444444444444,1.6666666666666667,8.759834536458756,False
2000,1999–00,2000,Dedric Willoughby,25,507.0933333333333,190,82,6952,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741,20.28373333333333,7.6,13.488641144299539,False
2001,2000–01,697,Fred Hoiberg,74,2245.1266666666666,673,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,30.33954954954955,9.094594594594595,10.791373315239824,True
2001,2000–01,1434,Dragan Tarlac,43,599.0566666666666,103,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,13.931550387596898,2.395348837209302,6.189731633623976,False
2001,2000–01,1500,Ron Mercer,61,2534.375,1202,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,41.54713114754098,19.704918032786885,17.07403205918619,True
2001,2000–01,1724,Bryce Drew,48,1303.49,302,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,27.156041666666667,6.291666666666667,8.340685390758656,False
2001,2000–01,1736,Corey Benjamin,65,856.49,307,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,13.176769230769231,4.723076923076923,12.903828415976834,False
2001,2000–01,1802,Brad Miller,57,1437.0666666666666,505,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,25.211695906432748,8.859649122807017,12.650770087214697,True
2001,2000–01,1864,Steve Goodrich,12,131.85166666666666,19,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,10.987638888888888,1.5833333333333333,5.187647735460303,False
2001,2000–01,1882,Elton Brand,74,2909.4883333333332,1490,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,39.317409909909905,20.135135135135137,18.436231341936985,True
2001,2000–01,1897,Metta World Peace,76,2363.1466666666665,907,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,31.094035087719295,11.93421052631579,13.817170326570224,True
2001,2000–01,1913,Michael Ruffin,45,879.1533333333333,119,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,19.53674074074074,2.6444444444444444,4.872870109878444,False
2001,2000–01,2033,Marcus Fizer,72,1581.3533333333332,683,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,21.96324074074074,9.48611111111111,15.548707225456678,True
