season_end_year_prev,season_prev,player_id,player_prev,games_prev,minutes_prev,points_prev,team_games_prev,team_points_prev,player_source_url_prev,team_source_url_prev,minutes_per_game_prev,points_per_game_prev,points_per_36_prev,qualified_prev,advanced_player_prev,advanced_games_prev,advanced_minutes_per_game_prev,possessions_prev,pace_prev,_merge_prev,points_per_100_prev,points_per_75_prev,join_year,season_end_year_cur,season_cur,player_cur,games_cur,minutes_cur,points_cur,team_games_cur,team_points_cur,player_source_url_cur,team_source_url_cur,minutes_per_game_cur,points_per_game_cur,points_per_36_cur,qualified_cur,advanced_player_cur,advanced_games_cur,advanced_minutes_per_game_cur,possessions_cur,pace_cur,_merge_cur,points_per_100_cur,points_per_75_cur,gain_points_per_36,gain_points_per_100,gain_points_per_75,gain_points_per_game,gain_minutes_per_game
2014,2013–14,202710,Jimmy Butler III,67,2590.4933333333333,878,82,7680,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,38.664079601990046,13.1044776119403,12.201536901594032,True,Jimmy Butler III,67,38.7,4912,91.09,both,17.87459283387622,13.405944625407166,2015,2015,2014–15,Jimmy Butler III,65,2513.473333333334,1301,82,8265,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,38.66882051282051,20.015384615384615,18.633975295805804,True,Jimmy Butler III,65,38.7,4934,94.13,both,26.368058370490477,19.77604377786786,6.432438394211772,8.493465536614256,6.370099152460693,6.910907003444315,0.004740910830463463
2005,2004–05,2804,Andres Nocioni,81,1895.4983333333332,677,82,7745,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,23.401213991769545,8.358024691358025,12.857832460944747,True,Andres Nocioni,81,23.4,3753,95.48,both,18.038902211564082,13.529176658673062,2006,2006,2005–06,Andres Nocioni,82,2239.08,1063,82,8020,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,27.305853658536584,12.96341463414634,17.090948067956482,True,Andres Nocioni,82,27.3,4459,95.74,both,23.839425880242207,17.879569410181656,4.233115607011735,5.8005236686781245,4.350392751508593,4.605389942788314,3.9046396667670393
2023,2022–23,1627936,Alex Caruso,67,1575.3766666666668,374,82,9276,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,23.51308457711443,5.582089552238806,8.54652749712767,True,Alex Caruso,67,23.5,3275,99.79,both,11.419847328244275,8.564885496183207,2024,2024,2023–24,Alex Caruso,71,2040.3433333333332,715,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,28.737230046948355,10.070422535211268,12.615523857912802,True,Alex Caruso,71,28.7,4213,99.21,both,16.971279373368144,12.728459530026107,4.068996360785132,5.551432045123869,4.163574033842901,4.488332982972462,5.224145469833925
2023,2022–23,1629632,Coby White,74,1730.2283333333332,715,82,9276,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,23.381463963963963,9.66216216216216,14.876649228377373,True,Coby White,74,23.4,3640,100.99,both,19.642857142857142,14.732142857142858,2024,2024,2023–24,Coby White,79,2881.3566666666666,1509,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,36.47286919831223,19.10126582278481,18.853618723587385,True,Coby White,79,36.5,5857,97.52,both,25.76404302543964,19.323032269079732,3.976969495210012,6.121185882582498,4.590889411936875,9.439103660622651,13.091405234348269
2009,2008–09,201565,Derrick Rose,81,3000.048333333333,1361,82,8378,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,37.03763374485597,16.80246913580247,16.33173687757253,True,Derrick Rose,81,37.0,5907,94.64,both,23.04046047062807,17.280345352971054,2010,2010,2009–10,Derrick Rose,78,2870.95,1619,82,7993,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,36.80705128205128,20.756410256410255,20.301293996760656,True,Derrick Rose,78,36.8,5644,94.48,both,28.685329553508147,21.51399716513111,3.9695571191881243,5.644869082880078,4.233651812160055,3.9539411206077872,-0.23058246280468353
2010,2009–10,201565,Derrick Rose,78,2870.95,1619,82,7993,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,36.80705128205128,20.756410256410255,20.301293996760656,True,Derrick Rose,78,36.8,5644,94.48,both,28.685329553508147,21.51399716513111,2011,2011,2010–11,Derrick Rose,81,3025.8366666666666,2026,82,8087,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,37.35600823045267,25.012345679012345,24.1044074861939,True,Derrick Rose,81,37.4,5808,92.07,both,34.88292011019284,26.16219008264463,3.803113489433244,6.197590556684695,4.648192917513523,4.255935422602089,0.5489569484013899
2006,2005–06,2732,Ben Gordon,80,2482.1066666666666,1350,82,8020,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,31.026333333333337,16.875,19.580141600146113,True,Ben Gordon,80,31.0,4886,94.39,both,27.62996316004912,20.72247237003684,2007,2007,2006–07,Ben Gordon,82,2703.7883333333334,1753,82,8100,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,32.973028455284556,21.37804878048781,23.34058447622564,True,Ben Gordon,82,33.0,5382,95.58,both,32.57153474544779,24.428651059085844,3.7604428760795265,4.941571585398673,3.706178689049004,4.503048780487809,1.946695121951219
2016,2015–16,201959,Taj Gibson,73,1935.5583333333336,627,82,8335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,26.51449771689498,8.58904109589041,11.661751346510696,True,Taj Gibson,73,26.5,3870,96.36,both,16.2015503875969,12.151162790697676,2017,2017,2016–17,Taj Gibson,55,1501.8216666666667,639,82,8435,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,27.30584848484849,11.61818181818182,15.317397871251911,True,Taj Gibson,55,27.3,3005,96.28,both,21.264559068219636,15.948419301164726,3.655646524741215,5.063008680622737,3.797256510467051,3.0291407222914106,0.7913507679535101
2013,2012–13,201959,Taj Gibson,65,1459.3766666666668,517,82,7641,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,22.45194871794872,7.953846153846154,12.753390146021246,True,Taj Gibson,65,22.5,2741,90.7,both,18.861729295877417,14.146296971908063,2014,2014,2013–14,Taj Gibson,82,2351.11,1069,82,7680,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,28.672073170731707,13.03658536585366,16.36843873744742,True,Taj Gibson,82,28.7,4462,91.32,both,23.957866427610934,17.9683998207082,3.6150485914261736,5.096137131733517,3.822102848800137,5.082739212007507,6.220124452782986
2004,2003–04,2550,Kirk Hinrich,76,2709.2683333333334,915,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,35.64826754385965,12.039473684210526,12.15826413158288,True,Kirk Hinrich,76,35.6,5236,93.02,both,17.475171886936593,13.106378915202445,2005,2005,2004–05,Kirk Hinrich,77,2797.4666666666667,1206,82,7745,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,36.33073593073593,15.662337662337665,15.51975596968686,True,Kirk Hinrich,77,36.3,5449,93.77,both,22.13250137639934,16.599376032299503,3.36149183810398,4.657329489462747,3.492997117097058,3.622863978127139,0.6824683868762804
