season_end_year_prev,season_prev,player_id,player_prev,games_prev,minutes_prev,points_prev,team_games_prev,team_points_prev,player_source_url_prev,team_source_url_prev,minutes_per_game_prev,points_per_game_prev,points_per_36_prev,qualified_prev,join_year,season_end_year_cur,season_cur,player_cur,games_cur,minutes_cur,points_cur,team_games_cur,team_points_cur,player_source_url_cur,team_source_url_cur,minutes_per_game_cur,points_per_game_cur,points_per_36_cur,qualified_cur,gain_per_36,percentage_increase,gain_per_game,gain_minutes_per_game,rank
2014,2013–14,202710,Jimmy Butler III,67,2590.4933333333333,878,82,7680,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,38.664079601990046,13.104477611940299,12.201536901594032,True,2015,2015,2014–15,Jimmy Butler III,65,2513.473333333334,1301,82,8265,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,38.66882051282052,20.015384615384615,18.633975295805797,True,6.432438394211765,52.71826365882989,6.910907003444317,0.004740910830470568,1
2025,2024–25,1630245,Ayo Dosunmu,46,1393.8833333333334,566,82,9660,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,30.3018115942029,12.304347826086957,14.618153121375533,True,2026,2026,2025–26,Ayo Dosunmu,45,1187.21,677,82,9537,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,26.382444444444445,15.044444444444444,20.528802823426354,True,5.91064970205082,40.433628331666036,2.7400966183574873,-3.919367149758454,2
2017,2016–17,1626171,Bobby Portis Jr.,64,1000.4516666666668,437,82,8435,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,15.63205729166667,6.828125,15.724897587922786,True,2018,2018,2017–18,Bobby Portis Jr.,73,1642.52,964,82,8440,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,22.500273972602738,13.205479452054794,21.12850985071719,True,5.403612262794404,34.36341783837465,6.377354452054794,6.868216680936069,3
2002,2001–02,2201,Eddy Curry,72,1150.7783333333334,483,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,15.983032407407409,6.708333333333333,15.109773530089056,True,2003,2003,2002–03,Eddy Curry,81,1576.3216666666667,849,82,7786,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,19.46076131687243,10.481481481481481,19.38944356746138,True,4.279670037372325,28.32385296080014,3.773148148148148,3.4777289094650197,4
2005,2004–05,2804,Andres Nocioni,81,1895.4983333333332,677,82,7745,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,23.401213991769545,8.358024691358025,12.857832460944747,True,2006,2006,2005–06,Andres Nocioni,82,2239.08,1063,82,8020,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,27.305853658536584,12.963414634146341,17.090948067956482,True,4.233115607011735,32.92246667445456,4.605389942788316,3.9046396667670393,5
2023,2022–23,1627936,Alex Caruso,67,1575.3766666666668,374,82,9276,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,23.51308457711443,5.582089552238806,8.54652749712767,True,2024,2024,2023–24,Alex Caruso,71,2040.3433333333332,715,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,28.737230046948355,10.070422535211268,12.615523857912802,True,4.068996360785132,47.60993704346761,4.488332982972462,5.224145469833925,6
2023,2022–23,1629632,Coby White,74,1730.2283333333332,715,82,9276,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,23.381463963963963,9.662162162162161,14.876649228377373,True,2024,2024,2023–24,Coby White,79,2881.3566666666666,1509,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,36.47286919831223,19.10126582278481,18.853618723587385,True,3.976969495210012,26.73296542896164,9.43910366062265,13.091405234348269,7
2009,2008–09,201565,Derrick Rose,81,3000.048333333333,1361,82,8378,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,37.03763374485597,16.80246913580247,16.33173687757253,True,2010,2010,2009–10,Derrick Rose,78,2870.95,1619,82,7993,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,36.80705128205128,20.756410256410255,20.301293996760656,True,3.9695571191881243,24.305786634606495,3.9539411206077872,-0.23058246280468353,8
2010,2009–10,201565,Derrick Rose,78,2870.95,1619,82,7993,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,36.80705128205128,20.756410256410255,20.301293996760656,True,2011,2011,2010–11,Derrick Rose,81,3025.8366666666666,2026,82,8087,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741,37.35600823045267,25.012345679012345,24.1044074861939,True,3.803113489433244,18.733355075987184,4.255935422602089,0.5489569484013899,9
2006,2005–06,2732,Ben Gordon,80,2482.1066666666666,1350,82,8020,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,31.026333333333334,16.875,19.580141600146113,True,2007,2007,2006–07,Ben Gordon,82,2703.7883333333334,1753,82,8100,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,32.973028455284556,21.378048780487806,23.34058447622564,True,3.7604428760795265,19.20539163032133,4.503048780487806,1.9466951219512225,10
2025,2024–25,1641824,Matas Buzelis,80,1511.295,688,82,9660,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,18.8911875,8.6,16.388593888023184,True,2026,2026,2025–26,Matas Buzelis,77,2248.2483333333334,1252,82,9537,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,29.198030303030304,16.25974025974026,20.047607433639076,True,3.659013545615892,22.32658622586228,7.659740259740259,10.306842803030303,11
2016,2015–16,201959,Taj Gibson,73,1935.5583333333336,627,82,8335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,26.51449771689498,8.58904109589041,11.661751346510695,True,2017,2017,2016–17,Taj Gibson,55,1501.8216666666667,639,82,8435,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,27.305848484848486,11.618181818181819,15.317397871251911,True,3.6556465247412167,31.34732010758419,3.029140722291409,0.7913507679535066,12
2013,2012–13,201959,Taj Gibson,65,1459.3766666666668,517,82,7641,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,22.45194871794872,7.953846153846154,12.753390146021246,True,2014,2014,2013–14,Taj Gibson,82,2351.11,1069,82,7680,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,28.672073170731707,13.036585365853659,16.36843873744742,True,3.6150485914261736,28.345785316965173,5.082739212007505,6.220124452782986,13
2004,2003–04,2550,Kirk Hinrich,76,2709.2683333333334,915,82,7355,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,35.64826754385965,12.039473684210526,12.15826413158288,True,2005,2005,2004–05,Kirk Hinrich,77,2797.4666666666667,1206,82,7745,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,36.33073593073593,15.662337662337663,15.519755969686859,True,3.3614918381039782,27.647794140053332,3.6228639781271372,0.6824683868762804,14
2024,2023–24,1629632,Coby White,79,2881.3566666666666,1509,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,36.47286919831223,19.10126582278481,18.853618723587385,True,2025,2025,2024–25,Coby White,74,2450.2566666666667,1509,82,9660,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,33.111576576576574,20.39189189189189,22.17073857568663,True,3.317119852099246,17.59407517851872,1.2906260691070806,-3.3612926217356573,15
2023,2022–23,1630245,Ayo Dosunmu,80,2097.616666666667,687,82,9276,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,26.220208333333336,8.5875,11.790524166315738,True,2024,2024,2023–24,Ayo Dosunmu,76,2212.4683333333332,924,82,9206,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741,29.11142543859649,12.157894736842104,15.034791458408822,True,3.2442672920930846,27.51588687941125,3.570394736842104,2.8912171052631557,16
2001,2000–01,1802,Brad Miller,57,1437.0666666666666,505,82,7181,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,25.211695906432748,8.859649122807017,12.650770087214697,True,2002,2002,2001–02,Brad Miller,48,1391.871666666667,608,82,7335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,28.997326388888894,12.666666666666666,15.725587727795784,True,3.0748176405810863,24.305379193386834,3.807017543859649,3.7856304824561455,17
2020,2019–20,201152,Thaddeus Young,64,1590.6616666666666,659,65,6945,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,24.854088541666666,10.296875,14.91454813877244,True,2021,2021,2020–21,Thaddeus Young,68,1652.195,823,72,7969,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,24.296985294117647,12.102941176470589,17.93250796667464,True,3.0179598279021977,20.23500678546601,1.8060661764705888,-0.5571032475490192,18
2016,2015–16,202710,Jimmy Butler III,67,2473.625,1399,82,8335,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,36.91977611940298,20.880597014925375,20.360402243670727,True,2017,2017,2016–17,Jimmy Butler III,76,2808.9566666666665,1816,82,8435,https://www.nba.com/stats/players/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,https://www.nba.com/stats/teams/traditional?PerMode=Totals&Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741,36.959956140350876,23.894736842105264,23.274121945633432,True,2.9137197019627052,14.310717770168168,3.014139827179889,0.040180020947893524,19
