season,season_end_year,player_id,player_name,games_played,team_games,three_pm,three_pa,three_pct,qualified
2010-11,2011,2243,Brian Scalabrine,18,82,0,5,0.0,False
2010-11,2011,201228,C.J. Watson,82,82,44,112,39.285714285714285,False
2010-11,2011,2430,Carlos Boozer,59,82,0,0,,False
2010-11,2011,201565,Derrick Rose,81,82,128,385,33.246753246753244,True
2010-11,2011,201949,James Johnson,13,82,2,9,22.22222222222222,False
2010-11,2011,201149,Joakim Noah,48,82,0,1,0.0,False
2010-11,2011,101249,John Lucas III,2,82,0,1,0.0,False
2010-11,2011,2586,Keith Bogans,82,82,90,237,37.9746835443038,True
2010-11,2011,703,Kurt Thomas,52,82,1,1,100.0,False
2010-11,2011,2594,Kyle Korver,82,82,120,289,41.522491349480966,True
2010-11,2011,2736,Luol Deng,82,82,115,333,34.53453453453454,True
2010-11,2011,201600,Omer Asik,82,82,0,0,,False
2010-11,2011,2446,Rasual Butler,6,82,4,7,57.14285714285714,False
2010-11,2011,200758,Ronnie Brewer,81,82,6,27,22.22222222222222,False
2010-11,2011,201959,Taj Gibson,80,82,1,8,12.5,False
2011-12,2012,2243,Brian Scalabrine,28,66,1,7,14.285714285714285,False
2011-12,2012,201228,C.J. Watson,49,66,68,173,39.30635838150289,True
2011-12,2012,2430,Carlos Boozer,66,66,0,1,0.0,False
2011-12,2012,201565,Derrick Rose,39,66,54,173,31.213872832369944,True
2011-12,2012,202710,Jimmy Butler III,42,66,2,11,18.181818181818183,False
2011-12,2012,201149,Joakim Noah,64,66,0,1,0.0,False
2011-12,2012,101249,John Lucas III,49,66,55,140,39.285714285714285,False
2011-12,2012,2594,Kyle Korver,65,66,118,271,43.542435424354245,True
2011-12,2012,2736,Luol Deng,54,66,79,215,36.74418604651163,True
2011-12,2012,2229,Mike James,11,66,6,10,60.0,False
2011-12,2012,201600,Omer Asik,66,66,0,0,,False
2011-12,2012,1888,Richard Hamilton,28,66,17,46,36.95652173913043,False
2011-12,2012,200758,Ronnie Brewer,66,66,19,69,27.536231884057973,False
2011-12,2012,201959,Taj Gibson,63,66,0,0,,False
2012-13,2013,2430,Carlos Boozer,79,82,0,2,0.0,False
2012-13,2013,201161,Daequan Cook,33,82,15,61,24.59016393442623,False
2012-13,2013,202710,Jimmy Butler III,82,82,40,105,38.095238095238095,False
2012-13,2013,201149,Joakim Noah,66,82,0,5,0.0,False
2012-13,2013,2550,Kirk Hinrich,60,82,71,182,39.010989010989015,True
2012-13,2013,200811,Lou Amundson,1,82,0,0,,False
2012-13,2013,2736,Luol Deng,75,82,75,233,32.18884120171674,True
2012-13,2013,202952,Malcolm Thomas,7,82,0,0,,False
2012-13,2013,201158,Marco Belinelli,73,82,79,221,35.74660633484163,True
2012-13,2013,203104,Marquis Teague,48,82,4,23,17.391304347826086,False
2012-13,2013,101126,Nate Robinson,82,82,141,348,40.51724137931034,True
2012-13,2013,1737,Nazr Mohammed,63,82,0,2,0.0,False
2012-13,2013,1888,Richard Hamilton,50,82,16,52,30.76923076923077,False
2012-13,2013,201959,Taj Gibson,65,82,0,4,0.0,False
2012-13,2013,2209,Vladimir Radmanovic,25,82,5,27,18.51851851851852,False
2013-14,2014,2430,Carlos Boozer,76,82,0,2,0.0,False
2013-14,2014,201858,Cartier Martin,6,82,3,5,60.0,False
2013-14,2014,201571,D.J. Augustin,61,82,132,321,41.1214953271028,True
2013-14,2014,201565,Derrick Rose,10,82,16,47,34.04255319148936,False
2013-14,2014,203513,Erik Murphy,24,82,0,3,0.0,False
2013-14,2014,202363,Jarvis Varnado,1,82,0,0,,False
2013-14,2014,202690,Jimmer Fredette,8,82,4,11,36.36363636363637,False
2013-14,2014,202710,Jimmy Butler III,67,82,68,240,28.333333333333332,True
2013-14,2014,201149,Joakim Noah,80,82,0,2,0.0,False
2013-14,2014,2550,Kirk Hinrich,73,82,85,242,35.12396694214876,True
2013-14,2014,200811,Lou Amundson,1,82,0,0,,False
2013-14,2014,2736,Luol Deng,23,82,17,62,27.419354838709676,False
2013-14,2014,203104,Marquis Teague,19,82,2,10,20.0,False
2013-14,2014,2399,Mike Dunleavy,82,82,123,324,37.96296296296296,True
2013-14,2014,2229,Mike James,11,82,1,5,20.0,False
2013-14,2014,1737,Nazr Mohammed,80,82,0,0,,False
2013-14,2014,200758,Ronnie Brewer,1,82,0,0,,False
2013-14,2014,201959,Taj Gibson,82,82,0,7,0.0,False
2013-14,2014,203503,Tony Snell,77,82,57,178,32.02247191011236,True
2013-14,2014,203129,Tornike Shengelia,9,82,0,0,,False
2014-15,2015,201166,Aaron Brooks,82,82,121,313,38.65814696485623,True
2014-15,2015,203946,Cameron Bairstow,18,82,0,0,,False
2014-15,2015,201565,Derrick Rose,51,82,76,271,28.044280442804425,True
2014-15,2015,203926,Doug McDermott,36,82,13,41,31.70731707317073,False
2014-15,2015,202734,E'Twaun Moore,56,82,13,38,34.21052631578947,False
2014-15,2015,202710,Jimmy Butler III,65,82,73,193,37.82383419689119,True
2014-15,2015,201149,Joakim Noah,67,82,0,2,0.0,False
2014-15,2015,2550,Kirk Hinrich,66,82,58,168,34.523809523809526,True
2014-15,2015,2399,Mike Dunleavy,63,82,107,263,40.68441064638783,True
2014-15,2015,1737,Nazr Mohammed,23,82,0,0,,False
2014-15,2015,202703,Nikola Mirotic,82,82,99,313,31.629392971246006,True
2014-15,2015,2200,Pau Gasol,78,82,12,26,46.15384615384615,False
2014-15,2015,201959,Taj Gibson,62,82,0,0,,False
