season,season_end_year,team_games,league_three_pm,league_three_pa,league_three_pct,league_three_pa_per_team_game,benchmark_three_pct,qualified_shooters,bulls_three_pct,bulls_three_pa_per_game,bulls_attempt_rank
2010-11,2011,82,15886,44313,35.84952497009907,18.01341463414634,41.68588142194361,132,36.113074204947,17.25609756097561,17
2011-12,2012,66,12693,36395,34.87566973485369,18.38131313131313,40.429700811013426,99,37.51119068934646,16.924242424242426,18
2012-13,2013,82,17603,49067,35.87543562883405,19.962164361269323,41.77275747508306,137,35.25691699604743,15.426829268292684,29
2013-14,2014,82,19054,52974,35.96858836410314,21.534146341463416,40.83836365119504,154,34.81836874571624,17.79268292682927,28
2014-15,2015,82,19300,55137,35.00371801149863,22.413414634146342,40.19317160826595,159,35.342465753424655,22.25609756097561,16
2015-16,2016,82,20953,59241,35.369085599500345,24.08170731707317,40.37267080745342,161,37.13633770678836,21.378048780487806,24
2016-17,2017,82,23748,66421,35.753752578250854,27.00040650406504,41.05960264900662,177,34.02512288367013,22.329268292682926,29
2017-18,2018,82,25807,71339,36.17516365522365,28.99959349593496,41.5317360235393,189,35.543350333464105,31.085365853658537,6
2018-19,2019,82,27955,78742,35.502019252749484,32.00894308943089,40.24691358024691,211,35.09185115402732,25.890243902439025,27
2019-20,2020,65,25862,72252,35.79416486740851,34.11331444759207,40.49604635638536,189,34.750219106047325,35.10769230769231,11
2020-21,2021,72,27427,74822,36.656331025634174,34.63981481481481,41.84671352817857,206,36.95829926410466,33.97222222222222,17
2021-22,2022,82,30598,86535,35.35910325301901,35.176829268292686,40.92736916795589,224,36.88663282571912,28.829268292682926,30
2022-23,2023,82,30359,84164,36.07124186112827,34.2130081300813,41.030831431007456,219,36.0794254330376,28.865853658536587,30
2023-24,2024,82,31579,86355,36.56881477621447,35.103658536585364,41.41390931372549,226,35.77946768060836,32.073170731707314,26
2024-25,2025,82,33304,92454,36.022238085967075,37.582926829268295,41.276780594603046,243,36.72758920800696,42.03658536585366,3
2025-26,2026,82,32717,90970,35.964603715510606,36.979674796747965,40.82076308784383,242,35.56434438697901,40.08536585365854,6
