PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1627936,Alex Caruso,Alex,1610612741,CHI,28.0,41,24,17,0.585,1146.8316666666667,102,256,0.398,42,126,0.333,58,73,0.795,33,115,148,165,57,71,15,18,106,93,304,110,930.1,1,0,831.0,10,10,12,6,8,10,9,19,8,8,10,6,7,7,9,10,11,7,7,1,9,13,16,4,8,1,8,5,2,8,1
1628035,Alfonzo McKinnie,Alfonzo,1610612741,CHI,29.0,17,8,9,0.471,206.31333333333333,24,61,0.393,9,27,0.333,2,8,0.25,13,20,33,5,7,2,3,4,26,7,59,-55,114.1,0,0,116.0,15,16,9,19,15,15,15,20,14,14,10,20,19,20,16,16,17,18,16,18,15,7,8,18,16,19,16,9,2,16,1
1628993,Alize Johnson,Alize,1610612740,NOP,26.0,16,10,6,0.625,120.53666666666666,12,23,0.522,0,2,0.0,4,7,0.571,16,20,36,8,8,3,0,3,15,8,28,-61,84.2,0,0,78.0,17,14,4,5,18,18,18,8,17,17,17,19,20,17,14,16,16,16,14,16,19,5,5,17,19,21,18,9,2,18,1
1630245,Ayo Dosunmu,Ayo,1610612741,CHI,22.0,77,42,35,0.545,2109.641666666667,278,535,0.52,70,186,0.376,53,78,0.679,27,187,214,256,108,60,29,35,182,70,679,-199,1478.8,4,0,1397.0,1,2,22,14,4,5,5,9,5,5,6,8,6,14,10,4,5,3,4,6,6,19,22,7,5,22,4,3,2,4,1
1629632,Coby White,Coby,1610612741,CHI,22.0,61,32,29,0.525,1674.9266666666667,279,644,0.433,136,353,0.385,78,91,0.857,17,165,182,176,70,29,11,27,137,84,772,-34,1304.4,1,0,1346.0,7,7,17,16,5,4,4,14,2,2,4,5,5,2,12,6,9,6,6,9,10,18,19,5,4,15,5,5,2,5,1
201942,DeMar DeRozan,DeMar,1610612741,CHI,32.0,76,43,33,0.566,2742.9483333333333,774,1535,0.504,50,142,0.352,520,593,0.877,56,336,392,374,181,68,24,84,178,430,2118,77,3244.4,6,0,3118.0,2,1,21,9,1,1,1,10,6,6,9,1,1,1,5,2,2,1,1,3,7,22,20,1,1,3,1,2,2,1,1
1627884,Derrick Jones Jr.,Derrick,1610612741,CHI,25.0,51,28,23,0.549,899.41,105,195,0.538,20,61,0.328,56,70,0.8,60,109,169,30,30,25,33,20,105,65,286,41,677.8,0,0,621.0,9,8,14,13,10,9,10,6,11,11,12,7,8,5,4,11,10,10,9,10,2,16,15,8,9,5,10,9,2,10,1
1629653,Devon Dotson,Devon,1610612741,CHI,22.0,11,5,6,0.455,85.17,11,23,0.478,2,9,0.222,5,9,0.556,1,8,9,15,5,1,0,2,11,7,29,-2,60.3,0,0,57.0,19,19,4,20,19,19,18,11,15,15,15,18,18,18,20,19,20,13,18,19,19,3,4,18,18,11,19,9,2,19,1
1629750,Javonte Green,Javonte,1610612741,CHI,28.0,65,38,27,0.585,1519.045,176,325,0.542,36,101,0.356,80,96,0.833,91,185,276,60,30,67,32,17,132,83,468,20,1156.2,0,0,1038.0,6,4,15,7,6,6,7,5,9,9,7,4,4,4,2,5,4,9,9,4,4,12,18,6,6,7,6,9,2,7,1
1628395,Jordan Bell,Jordan,1610612741,CHI,27.0,1,1,0,1.0,2.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,2,0,0,1,4.2,0,0,3.0,21,21,1,1,22,22,22,22,17,19,17,21,21,21,20,21,21,20,22,19,19,1,2,21,22,10,21,9,2,21,1
