PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,FP_HIGH_SCORE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,FP_HIGH_SCORE_RANK,TEAM_COUNT
1629014,Anfernee Simons,Anfernee,1610612741,CHI,27.0,6,0,6,0.0,170.135,35,80,0.438,16,50,0.32,5,5,1.0,5,12,17,18,13,0,2,3,12,8,91,-66,131.4,0,0,146.0,150.0,23,24,7,24,22,21,19,19,17,16,18,24,24,1,21,23,23,19,19,27,19,9,6,21,20,16,22,13,3,22,22,1
1630245,Ayo Dosunmu,Ayo,1610612750,MIN,26.0,45,21,24,0.467,1187.21,250,486,0.514,87,193,0.451,90,105,0.857,33,103,136,164,61,34,12,42,78,71,677,-96,1163.2,0,0,1156.0,1279.0,8,8,20,7,7,5,5,7,4,9,1,5,6,5,11,12,12,4,8,8,10,25,19,9,5,21,6,13,3,6,5,1
1629632,Coby White,Coby,1610612766,CHA,26.0,29,14,15,0.483,843.4266666666666,172,393,0.438,72,208,0.346,124,154,0.805,7,101,108,136,88,20,2,23,71,121,540,-2,851.6,1,0,900.0,986.0,14,10,10,5,10,10,10,18,8,8,14,4,4,10,19,13,14,6,4,13,19,19,18,4,8,4,10,9,3,10,10,1
1629012,Collin Sexton,Collin,1610612741,CHI,27.0,26,5,21,0.192,675.6766666666666,158,328,0.482,55,134,0.41,83,101,0.822,23,52,75,66,52,40,3,28,69,84,454,-84,720.0,0,0,736.0,790.0,16,20,16,23,11,11,11,10,10,10,4,7,7,8,13,16,16,11,10,6,17,22,17,8,11,19,11,13,3,11,11,1
1631207,Dalen Terry,Dalen,1610612755,PHI,23.0,34,14,20,0.412,377.35,45,102,0.441,19,46,0.413,9,17,0.529,19,45,64,43,21,22,11,5,33,22,118,-35,337.3,0,0,310.0,367.0,12,10,13,10,16,16,17,17,16,18,3,21,19,24,16,17,17,15,16,12,11,11,11,17,17,14,16,13,3,16,16,1
1641801,Emanuel Miller,Emanuel,1610612759,SAS,26.0,5,0,5,0.0,33.05,6,13,0.462,2,6,0.333,1,2,0.5,1,2,3,4,0,2,0,0,2,1,15,-19,30.6,0,0,28.0,32.0,24,24,6,24,26,25,25,13,24,25,15,26,26,25,26,26,26,26,27,23,25,1,3,26,26,13,26,13,3,26,26,1
1627824,Guerschon Yabusele,Guerschon,1610612741,CHI,30.0,26,6,20,0.231,641.3866666666667,83,205,0.405,49,128,0.383,46,60,0.767,32,115,147,45,26,20,11,8,45,41,261,-174,571.9,4,0,564.0,591.0,16,17,13,22,13,14,14,23,11,12,6,11,12,14,12,8,11,14,15,13,11,14,13,13,14,24,13,5,3,13,14,1
1630171,Isaac Okoro,Isaac,1610612741,CHI,25.0,63,26,37,0.413,1694.89,211,459,0.46,73,221,0.33,89,112,0.795,69,104,173,100,46,46,29,28,162,107,584,-335,1120.6,0,0,1080.0,1182.0,4,3,25,9,4,6,7,14,7,5,16,6,5,11,4,11,7,9,12,5,4,22,27,5,6,27,7,13,3,7,7,1
1631093,Jaden Ivey,Jaden,1610612741,CHI,24.0,4,0,4,0.0,115.45,15,36,0.417,8,21,0.381,8,9,0.889,5,14,19,16,6,8,2,2,9,7,46,-41,116.8,0,0,109.0,127.0,25,24,4,24,23,24,24,22,21,20,7,23,23,4,21,22,22,20,24,20,19,6,5,23,24,15,23,13,3,23,23,1
1630188,Jalen Smith,Jalen,1610612741,CHI,26.0,53,26,27,0.491,1095.3883333333333,195,404,0.483,82,220,0.373,69,93,0.742,98,257,355,65,53,24,42,19,111,97,541,86,1209.5,9,0,1175.0,1224.0,6,3,22,4,8,7,8,9,5,6,9,8,8,19,2,4,4,12,9,11,2,17,26,6,7,1,5,3,3,5,6,1
