season,season_end_year,player_id,player_name,last_name,three_pm,three_pa,three_pct,league_three_pct,benchmark_three_pct,qualified_shooters,beat_benchmark,edge,qualifiers,runner_up,runner_up_pct
2010-11,2011,2594,Kyle Korver,Korver,120,289,41.522491349480966,35.84952497009907,41.68588142194361,132,False,-0.16339007246264714,4,Keith Bogans,37.9746835443038
2011-12,2012,2594,Kyle Korver,Korver,118,271,43.542435424354245,34.87566973485369,40.429700811013426,99,True,3.1127346133408196,4,C.J. Watson,39.30635838150289
2012-13,2013,101126,Nate Robinson,Robinson,141,348,40.51724137931034,35.87543562883405,41.77275747508306,137,False,-1.2555160957727196,4,Kirk Hinrich,39.010989010989015
2013-14,2014,201571,D.J. Augustin,Augustin,132,321,41.1214953271028,35.96858836410314,40.83836365119504,154,True,0.2831316759077609,5,Mike Dunleavy,37.96296296296296
2014-15,2015,2399,Mike Dunleavy,Dunleavy,107,263,40.68441064638783,35.00371801149863,40.19317160826595,159,True,0.49123903812188274,7,Aaron Brooks,38.65814696485623
2015-16,2016,203926,Doug McDermott,McDermott,110,259,42.471042471042466,35.369085599500345,40.37267080745342,161,True,2.098371663589049,6,Nikola Mirotic,39.017341040462426
2016-17,2017,203926,Doug McDermott,McDermott,56,150,37.333333333333336,35.753752578250854,41.05960264900662,177,False,-3.726269315673285,4,Jimmy Butler III,36.693548387096776
2017-18,2018,202703,Nikola Mirotic,Mirotic,69,161,42.857142857142854,36.17516365522365,41.5317360235393,189,True,1.3254068336035516,6,Denzel Valentine,38.648648648648646
2018-19,2019,203897,Zach LaVine,LaVine,120,321,37.38317757009346,35.502019252749484,40.24691358024691,211,False,-2.8637360101534526,4,Ryan Arcidiacono,37.327188940092164
2019-20,2020,203897,Zach LaVine,LaVine,184,484,38.01652892561984,35.79416486740851,40.49604635638536,189,False,-2.479517430765519,5,Thaddeus Young,35.585585585585584
2020-21,2021,203897,Zach LaVine,LaVine,200,477,41.92872117400419,36.656331025634174,41.84671352817857,206,True,0.08200764582561959,6,Lauri Markkanen,40.2027027027027
2021-22,2022,1628366,Lonzo Ball,Ball,110,260,42.30769230769231,35.35910325301901,40.92736916795589,224,True,1.3803231397364186,5,Zach LaVine,38.94736842105263
2022-23,2023,1630172,Patrick Williams,Williams,115,277,41.51624548736462,36.07124186112827,41.030831431007456,219,True,0.4854140563571647,6,Zach LaVine,37.5
2023-24,2024,1627936,Alex Caruso,Caruso,136,333,40.84084084084084,36.56881477621447,41.41390931372549,226,False,-0.5730684728846498,8,Ayo Dosunmu,40.33898305084746
2024-25,2025,203897,Zach LaVine,LaVine,136,305,44.59016393442623,36.022238085967075,41.276780594603046,243,True,3.313383339823183,11,Nikola Vučević,40.18691588785047
2025-26,2026,1630245,Ayo Dosunmu,Dosunmu,87,193,45.07772020725388,35.964603715510606,40.82076308784383,242,True,4.256957119410053,9,Nikola Vučević,37.61467889908257
