PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
2430,Carlos Boozer,79,2546.24,1140,544
201161,Daequan Cook,33,275.66333333333336,108,30
202710,Jimmy Butler III,82,2133.5733333333333,512,239
201149,Joakim Noah,66,2426.2616666666668,630,303
2550,Kirk Hinrich,60,1764.375,422,159
200811,Lou Amundson,1,1.6833333333333333,1,0
2736,Luol Deng,75,2902.8733333333334,1093,466
202952,Malcolm Thomas,7,35.781666666666666,9,5
201158,Marco Belinelli,73,1881.545,610,241
203104,Marquis Teague,48,391.9216666666667,113,43
101126,Nate Robinson,82,2086.258333333333,921,399
1737,Nazr Mohammed,63,692.9283333333333,180,66
1888,Richard Hamilton,50,1087.9133333333334,475,204
201959,Taj Gibson,65,1459.3766666666668,441,214
2209,Vladimir Radmanovic,25,143.605,43,13
