PLAYER_ID,PLAYER_NAME,TEAM_ID,GAME_ID,ACTION_TYPE,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,SHOT_ZONE_BASIC
1628374,Lauri Markkanen,1610612741,0022000015,Jump Shot,1,1,Left Corner 3
203897,Zach LaVine,1610612741,0022000015,Step Back Jump shot,1,1,Mid-Range
1630172,Patrick Williams,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1630172,Patrick Williams,1610612741,0022000015,Driving Layup Shot,1,1,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Driving Layup Shot,1,0,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Putback Layup Shot,1,1,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1629632,Coby White,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1628976,Wendell Carter Jr.,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1628374,Lauri Markkanen,1610612741,0022000015,Driving Floating Jump Shot,1,0,In The Paint (Non-RA)
1629632,Coby White,1610612741,0022000015,Driving Layup Shot,1,1,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Jump Shot,1,0,Mid-Range
203490,Otto Porter Jr.,1610612741,0022000015,Tip Layup Shot,1,1,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Cutting Layup Shot,1,1,Restricted Area
1629632,Coby White,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1629632,Coby White,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
203490,Otto Porter Jr.,1610612741,0022000015,Jump Shot,1,0,In The Paint (Non-RA)
1628990,Chandler Hutchison,1610612741,0022000015,Driving Layup Shot,1,0,Restricted Area
1628990,Chandler Hutchison,1610612741,0022000015,Putback Layup Shot,1,0,Restricted Area
203490,Otto Porter Jr.,1610612741,0022000015,Driving Floating Jump Shot,1,1,In The Paint (Non-RA)
1628374,Lauri Markkanen,1610612741,0022000015,Hook Shot,1,1,In The Paint (Non-RA)
203490,Otto Porter Jr.,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1628374,Lauri Markkanen,1610612741,0022000015,Jump Shot,1,1,Right Corner 3
1629690,Adam Mokoka,1610612741,0022000015,Jump Shot,1,0,Right Corner 3
1627853,Ryan Arcidiacono,1610612741,0022000015,Pullup Jump shot,1,0,Above the Break 3
203490,Otto Porter Jr.,1610612741,0022000015,Jump Shot,1,0,Mid-Range
1629632,Coby White,1610612741,0022000015,Driving Layup Shot,1,0,Restricted Area
1628374,Lauri Markkanen,1610612741,0022000015,Tip Layup Shot,1,1,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Driving Floating Jump Shot,1,1,In The Paint (Non-RA)
203897,Zach LaVine,1610612741,0022000015,Jump Shot,1,1,Mid-Range
1628990,Chandler Hutchison,1610612741,0022000015,Reverse Layup Shot,1,0,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Jump Shot,1,1,Above the Break 3
203897,Zach LaVine,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
203897,Zach LaVine,1610612741,0022000015,Driving Floating Jump Shot,1,1,In The Paint (Non-RA)
203897,Zach LaVine,1610612741,0022000015,Pullup Jump shot,1,0,Above the Break 3
1630172,Patrick Williams,1610612741,0022000015,Jump Shot,1,1,Mid-Range
1628374,Lauri Markkanen,1610612741,0022000015,Jump Shot,1,0,Left Corner 3
1630172,Patrick Williams,1610612741,0022000015,Jump Shot,1,1,Mid-Range
1627853,Ryan Arcidiacono,1610612741,0022000015,Jump Shot,1,0,Right Corner 3
203897,Zach LaVine,1610612741,0022000015,Driving Layup Shot,1,0,Restricted Area
1630172,Patrick Williams,1610612741,0022000015,Pullup Jump shot,1,0,Mid-Range
1629632,Coby White,1610612741,0022000015,Pullup Jump shot,1,0,Mid-Range
203490,Otto Porter Jr.,1610612741,0022000015,Cutting Layup Shot,1,1,Restricted Area
1630172,Patrick Williams,1610612741,0022000015,Jump Shot,1,1,Above the Break 3
203490,Otto Porter Jr.,1610612741,0022000015,Driving Layup Shot,1,0,Restricted Area
1628374,Lauri Markkanen,1610612741,0022000015,Jump Shot,1,1,Above the Break 3
1628374,Lauri Markkanen,1610612741,0022000015,Jump Shot,1,1,Above the Break 3
1629632,Coby White,1610612741,0022000015,Pullup Jump shot,1,0,Above the Break 3
203897,Zach LaVine,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1628976,Wendell Carter Jr.,1610612741,0022000015,Turnaround Hook Shot,1,1,Restricted Area
203897,Zach LaVine,1610612741,0022000015,Jump Shot,1,0,Right Corner 3
1630172,Patrick Williams,1610612741,0022000015,Floating Jump shot,1,0,In The Paint (Non-RA)
1629690,Adam Mokoka,1610612741,0022000015,Driving Reverse Layup Shot,1,0,Restricted Area
1629690,Adam Mokoka,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1628976,Wendell Carter Jr.,1610612741,0022000015,Alley Oop Dunk Shot,1,1,Restricted Area
1629632,Coby White,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1630172,Patrick Williams,1610612741,0022000015,Jump Shot,1,0,Above the Break 3
1629632,Coby White,1610612741,0022000015,Jump Shot,1,0,Left Corner 3
1629632,Coby White,1610612741,0022000015,Driving Layup Shot,1,0,Restricted Area
1629655,Daniel Gafford,1610612741,0022000015,Alley Oop Dunk Shot,1,1,Restricted Area
1630172,Patrick Williams,1610612741,0022000015,Driving Floating Jump Shot,1,0,In The Paint (Non-RA)
