rank,season,PLAYER_ID,PLAYER_NAME,dunk_fgm,dunk_fga,GP,games_played,dunk_fg_pct,dunks_per_game,display_name,season_display,fg_pct_display,per_game_display,dunk_type
1,2013-14,201959,Taj Gibson,89,98,82,82,90.81632653061224,1.0853658536585367,Taj Gibson,2013–14,90.8,1.09,total
2,2019-20,203897,Zach LaVine,88,92,60,60,95.65217391304348,1.4666666666666666,Zach LaVine,2019–20,95.7,1.47,total
3,2025-26,1641824,Matas Buzelis,79,89,77,77,88.76404494382022,1.025974025974026,Matas Buzelis,2025–26,88.8,1.03,total
4,2019-20,1628976,Wendell Carter Jr.,73,81,43,43,90.12345679012346,1.697674418604651,Wendell Carter Jr.,2019–20,90.1,1.70,total
5,2015-16,201959,Taj Gibson,71,76,73,73,93.42105263157895,0.9726027397260274,Taj Gibson,2015–16,93.4,0.97,total
6,2015-16,202710,Jimmy Butler III,70,74,67,67,94.5945945945946,1.044776119402985,Jimmy Butler,2015–16,94.6,1.04,total
7,2018-19,203897,Zach LaVine,69,73,63,63,94.52054794520548,1.0952380952380953,Zach LaVine,2018–19,94.5,1.10,total
8,2014-15,201959,Taj Gibson,67,73,62,62,91.78082191780823,1.0806451612903225,Taj Gibson,2014–15,91.8,1.08,total
9,2022-23,203083,Andre Drummond,66,76,67,67,86.84210526315789,0.9850746268656716,Andre Drummond,2022–23,86.8,0.99,total
10,2012-13,201149,Joakim Noah,65,75,66,66,86.66666666666667,0.9848484848484849,Joakim Noah,2012–13,86.7,0.98,total
1,2018-19,203897,Zach LaVine,29,29,63,63,100.0,0.4603174603174603,Zach LaVine,2018–19,100.0,0.46,driving
2,2021-22,203897,Zach LaVine,24,26,67,67,92.3076923076923,0.3582089552238806,Zach LaVine,2021–22,92.3,0.36,driving
3,2019-20,203897,Zach LaVine,23,25,60,60,92.0,0.38333333333333336,Zach LaVine,2019–20,92.0,0.38,driving
4,2020-21,203897,Zach LaVine,21,22,58,58,95.45454545454545,0.3620689655172414,Zach LaVine,2020–21,95.5,0.36,driving
5,2022-23,203897,Zach LaVine,19,21,77,77,90.47619047619048,0.24675324675324675,Zach LaVine,2022–23,90.5,0.25,driving
6,2021-22,201942,DeMar DeRozan,17,21,76,76,80.95238095238095,0.2236842105263158,DeMar DeRozan,2021–22,81.0,0.22,driving
7,2017-18,1628374,Lauri Markkanen,14,17,68,68,82.3529411764706,0.20588235294117646,Lauri Markkanen,2017–18,82.4,0.21,driving
8,2022-23,201942,DeMar DeRozan,14,15,74,74,93.33333333333333,0.1891891891891892,DeMar DeRozan,2022–23,93.3,0.19,driving
9,2025-26,1641824,Matas Buzelis,14,16,77,77,87.5,0.18181818181818182,Matas Buzelis,2025–26,87.5,0.18,driving
10,2019-20,1628374,Lauri Markkanen,12,19,50,50,63.1578947368421,0.24,Lauri Markkanen,2019–20,63.2,0.24,driving
1,2019-20,203897,Zach LaVine,28,28,60,60,100.0,0.4666666666666667,Zach LaVine,2019–20,100.0,0.47,running
2,2024-25,1641824,Matas Buzelis,27,29,80,80,93.10344827586206,0.3375,Matas Buzelis,2024–25,93.1,0.34,running
3,2025-26,1641824,Matas Buzelis,26,30,77,77,86.66666666666667,0.33766233766233766,Matas Buzelis,2025–26,86.7,0.34,running
4,2024-25,203897,Zach LaVine,23,24,42,42,95.83333333333333,0.5476190476190477,Zach LaVine,2024–25,95.8,0.55,running
5,2022-23,203897,Zach LaVine,23,23,77,77,100.0,0.2987012987012987,Zach LaVine,2022–23,100.0,0.30,running
6,2018-19,203897,Zach LaVine,22,22,63,63,100.0,0.3492063492063492,Zach LaVine,2018–19,100.0,0.35,running
7,2021-22,203897,Zach LaVine,22,22,67,67,100.0,0.3283582089552239,Zach LaVine,2021–22,100.0,0.33,running
8,2021-22,1629750,Javonte Green,18,18,65,65,100.0,0.27692307692307694,Javonte Green,2021–22,100.0,0.28,running
9,2020-21,203897,Zach LaVine,17,18,58,58,94.44444444444444,0.29310344827586204,Zach LaVine,2020–21,94.4,0.29,running
10,2025-26,1631159,Leonard Miller,16,17,27,27,94.11764705882354,0.5925925925925926,Leonard Miller,2025–26,94.1,0.59,running
1,2015-16,202710,Jimmy Butler III,28,30,67,67,93.33333333333333,0.417910447761194,Jimmy Butler,2015–16,93.3,0.42,alley-oop
2,2016-17,1626245,Cristiano Felicio,18,19,66,66,94.73684210526316,0.2727272727272727,Cristiano Felicio,2016–17,94.7,0.27,alley-oop
3,2022-23,203083,Andre Drummond,17,18,67,67,94.44444444444444,0.2537313432835821,Andre Drummond,2022–23,94.4,0.25,alley-oop
4,2025-26,1630208,Nick Richards,16,18,20,20,88.88888888888889,0.8,Nick Richards,2025–26,88.9,0.80,alley-oop
5,2016-17,202710,Jimmy Butler III,16,18,76,76,88.88888888888889,0.21052631578947367,Jimmy Butler,2016–17,88.9,0.21,alley-oop
6,2019-20,1628976,Wendell Carter Jr.,15,19,43,43,78.94736842105263,0.3488372093023256,Wendell Carter Jr.,2019–20,78.9,0.35,alley-oop
7,2019-20,1629655,Daniel Gafford,15,21,43,43,71.42857142857143,0.3488372093023256,Daniel Gafford,2019–20,71.4,0.35,alley-oop
8,2025-26,1641824,Matas Buzelis,12,13,77,77,92.3076923076923,0.15584415584415584,Matas Buzelis,2025–26,92.3,0.16,alley-oop
9,2018-19,1628976,Wendell Carter Jr.,10,10,44,44,100.0,0.22727272727272727,Wendell Carter Jr.,2018–19,100.0,0.23,alley-oop
10,2012-13,202710,Jimmy Butler III,10,11,82,82,90.9090909090909,0.12195121951219512,Jimmy Butler,2012–13,90.9,0.12,alley-oop
1,2019-20,1628976,Wendell Carter Jr.,15,15,43,43,100.0,0.3488372093023256,Wendell Carter Jr.,2019–20,100.0,0.35,putback
2,2013-14,201959,Taj Gibson,14,14,82,82,100.0,0.17073170731707318,Taj Gibson,2013–14,100.0,0.17,putback
3,2019-20,1629655,Daniel Gafford,13,13,43,43,100.0,0.3023255813953488,Daniel Gafford,2019–20,100.0,0.30,putback
4,2023-24,203083,Andre Drummond,13,16,79,79,81.25,0.16455696202531644,Andre Drummond,2023–24,81.3,0.16,putback
5,2020-21,1629655,Daniel Gafford,11,12,31,31,91.66666666666667,0.3548387096774194,Daniel Gafford,2020–21,91.7,0.35,putback
6,2018-19,201577,Robin Lopez,11,13,74,74,84.61538461538461,0.14864864864864866,Robin Lopez,2018–19,84.6,0.15,putback
7,2022-23,203083,Andre Drummond,10,10,67,67,100.0,0.14925373134328357,Andre Drummond,2022–23,100.0,0.15,putback
8,2017-18,1628374,Lauri Markkanen,10,11,68,68,90.9090909090909,0.14705882352941177,Lauri Markkanen,2017–18,90.9,0.15,putback
9,2015-16,201959,Taj Gibson,10,11,73,73,90.9090909090909,0.136986301369863,Taj Gibson,2015–16,90.9,0.14,putback
10,2022-23,1630172,Patrick Williams,9,11,82,82,81.81818181818181,0.10975609756097561,Patrick Williams,2022–23,81.8,0.11,putback
