rank,season,PLAYER_ID,PLAYER_NAME,dunk_fgm,dunk_fga,GP,games_played,dunk_fg_pct,dunks_per_game,display_name,season_display,fg_pct_display,per_game_display,dunk_type
1,2018-19,203897,Zach LaVine,29,29,63,63,100.0,0.4603174603174603,Zach LaVine,2018–19,100.0,0.46,driving
2,2021-22,203897,Zach LaVine,24,26,67,67,92.3076923076923,0.3582089552238806,Zach LaVine,2021–22,92.3,0.36,driving
3,2019-20,203897,Zach LaVine,23,25,60,60,92.0,0.38333333333333336,Zach LaVine,2019–20,92.0,0.38,driving
4,2020-21,203897,Zach LaVine,21,22,58,58,95.45454545454545,0.3620689655172414,Zach LaVine,2020–21,95.5,0.36,driving
5,2022-23,203897,Zach LaVine,19,21,77,77,90.47619047619048,0.24675324675324675,Zach LaVine,2022–23,90.5,0.25,driving
6,2021-22,201942,DeMar DeRozan,17,21,76,76,80.95238095238095,0.2236842105263158,DeMar DeRozan,2021–22,81.0,0.22,driving
7,2017-18,1628374,Lauri Markkanen,14,17,68,68,82.3529411764706,0.20588235294117646,Lauri Markkanen,2017–18,82.4,0.21,driving
8,2022-23,201942,DeMar DeRozan,14,15,74,74,93.33333333333333,0.1891891891891892,DeMar DeRozan,2022–23,93.3,0.19,driving
9,2025-26,1641824,Matas Buzelis,14,16,77,77,87.5,0.18181818181818182,Matas Buzelis,2025–26,87.5,0.18,driving
10,2019-20,1628374,Lauri Markkanen,12,19,50,50,63.1578947368421,0.24,Lauri Markkanen,2019–20,63.2,0.24,driving
