rank,season,PLAYER_ID,PLAYER_NAME,dunk_fgm,dunk_fga,GP,games_played,dunk_fg_pct,dunks_per_game,display_name,season_display,fg_pct_display,per_game_display,dunk_type
1,2019-20,1628976,Wendell Carter Jr.,15,15,43,43,100.0,0.3488372093023256,Wendell Carter Jr.,2019–20,100.0,0.35,putback
2,2013-14,201959,Taj Gibson,14,14,82,82,100.0,0.17073170731707318,Taj Gibson,2013–14,100.0,0.17,putback
3,2019-20,1629655,Daniel Gafford,13,13,43,43,100.0,0.3023255813953488,Daniel Gafford,2019–20,100.0,0.30,putback
4,2023-24,203083,Andre Drummond,13,16,79,79,81.25,0.16455696202531644,Andre Drummond,2023–24,81.3,0.16,putback
5,2020-21,1629655,Daniel Gafford,11,12,31,31,91.66666666666667,0.3548387096774194,Daniel Gafford,2020–21,91.7,0.35,putback
6,2018-19,201577,Robin Lopez,11,13,74,74,84.61538461538461,0.14864864864864866,Robin Lopez,2018–19,84.6,0.15,putback
7,2022-23,203083,Andre Drummond,10,10,67,67,100.0,0.14925373134328357,Andre Drummond,2022–23,100.0,0.15,putback
8,2017-18,1628374,Lauri Markkanen,10,11,68,68,90.9090909090909,0.14705882352941177,Lauri Markkanen,2017–18,90.9,0.15,putback
9,2015-16,201959,Taj Gibson,10,11,73,73,90.9090909090909,0.136986301369863,Taj Gibson,2015–16,90.9,0.14,putback
10,2022-23,1630172,Patrick Williams,9,11,82,82,81.81818181818181,0.10975609756097561,Patrick Williams,2022–23,81.8,0.11,putback
