rank,season,PLAYER_ID,PLAYER_NAME,dunk_fgm,dunk_fga,GP,games_played,dunk_fg_pct,dunks_per_game,display_name,season_display,fg_pct_display,per_game_display,dunk_type
1,2019-20,203897,Zach LaVine,28,28,60,60,100.0,0.4666666666666667,Zach LaVine,2019–20,100.0,0.47,running
2,2024-25,1641824,Matas Buzelis,27,29,80,80,93.10344827586206,0.3375,Matas Buzelis,2024–25,93.1,0.34,running
3,2025-26,1641824,Matas Buzelis,26,30,77,77,86.66666666666667,0.33766233766233766,Matas Buzelis,2025–26,86.7,0.34,running
4,2024-25,203897,Zach LaVine,23,24,42,42,95.83333333333333,0.5476190476190477,Zach LaVine,2024–25,95.8,0.55,running
5,2022-23,203897,Zach LaVine,23,23,77,77,100.0,0.2987012987012987,Zach LaVine,2022–23,100.0,0.30,running
6,2018-19,203897,Zach LaVine,22,22,63,63,100.0,0.3492063492063492,Zach LaVine,2018–19,100.0,0.35,running
7,2021-22,203897,Zach LaVine,22,22,67,67,100.0,0.3283582089552239,Zach LaVine,2021–22,100.0,0.33,running
8,2021-22,1629750,Javonte Green,18,18,65,65,100.0,0.27692307692307694,Javonte Green,2021–22,100.0,0.28,running
9,2020-21,203897,Zach LaVine,17,18,58,58,94.44444444444444,0.29310344827586204,Zach LaVine,2020–21,94.4,0.29,running
10,2025-26,1631159,Leonard Miller,16,17,27,27,94.11764705882354,0.5925925925925926,Leonard Miller,2025–26,94.1,0.59,running
