rank,season,PLAYER_ID,PLAYER_NAME,dunk_fgm,dunk_fga,GP,games_played,dunk_fg_pct,dunks_per_game,display_name,season_display,fg_pct_display,per_game_display,dunk_type
1,2013-14,201959,Taj Gibson,89,98,82,82,90.81632653061224,1.0853658536585367,Taj Gibson,2013–14,90.8,1.09,total
2,2019-20,203897,Zach LaVine,88,92,60,60,95.65217391304348,1.4666666666666666,Zach LaVine,2019–20,95.7,1.47,total
3,2025-26,1641824,Matas Buzelis,79,89,77,77,88.76404494382022,1.025974025974026,Matas Buzelis,2025–26,88.8,1.03,total
4,2019-20,1628976,Wendell Carter Jr.,73,81,43,43,90.12345679012346,1.697674418604651,Wendell Carter Jr.,2019–20,90.1,1.70,total
5,2015-16,201959,Taj Gibson,71,76,73,73,93.42105263157895,0.9726027397260274,Taj Gibson,2015–16,93.4,0.97,total
6,2015-16,202710,Jimmy Butler III,70,74,67,67,94.5945945945946,1.044776119402985,Jimmy Butler,2015–16,94.6,1.04,total
7,2018-19,203897,Zach LaVine,69,73,63,63,94.52054794520548,1.0952380952380953,Zach LaVine,2018–19,94.5,1.10,total
8,2014-15,201959,Taj Gibson,67,73,62,62,91.78082191780823,1.0806451612903225,Taj Gibson,2014–15,91.8,1.08,total
9,2022-23,203083,Andre Drummond,66,76,67,67,86.84210526315789,0.9850746268656716,Andre Drummond,2022–23,86.8,0.99,total
10,2012-13,201149,Joakim Noah,65,75,66,66,86.66666666666667,0.9848484848484849,Joakim Noah,2012–13,86.7,0.98,total
