season,season_end_year,player_id,player_name,bench_games,total_games,bench_game_share,bench_minutes,bench_points,bench_points_per_game,bench_minutes_per_game,total_points,qualified,rank,display_name,last_name
2004-05,2005,2732,Ben Gordon,79,82,0.9634146341463414,1956.015,1209,15.30379746835443,24.759683544303797,1235,True,1,Ben Gordon,Gordon
2013-14,2014,201959,Taj Gibson,74,82,0.9024390243902439,2012.7066666666667,915,12.364864864864865,27.19873873873874,1069,True,2,Taj Gibson,Gibson
2017-18,2018,1626171,Bobby Portis Jr.,69,73,0.9452054794520548,1522.2483333333332,906,13.130434782608695,22.06157004830918,964,True,3,Bobby Portis Jr.,Portis
2019-20,2020,1629632,Coby White,64,65,0.9846153846153847,1636.04,839,13.109375,25.563125,859,True,4,Coby White,White
2014-15,2015,202703,Nikola Mirotic,79,82,0.9634146341463414,1561.5716666666667,807,10.215189873417721,19.766729957805907,833,True,5,Nikola Mirotić,Mirotić
2013-14,2014,201571,D.J. Augustin,52,61,0.8524590163934426,1513.2666666666669,749,14.403846153846153,29.101282051282055,909,True,6,D.J. Augustin,Augustin
2012-13,2013,101126,Nate Robinson,59,82,0.7195121951219512,1318.0816666666667,734,12.440677966101696,22.340367231638417,1074,True,7,Nate Robinson,Robinson
2015-16,2016,203926,Doug McDermott,77,81,0.9506172839506173,1771.935,718,9.324675324675324,23.012142857142855,764,True,8,Doug McDermott,McDermott
2022-23,2023,1629632,Coby White,72,74,0.972972972972973,1651.145,683,9.48611111111111,22.932569444444443,715,True,9,Coby White,White
2010-11,2011,2594,Kyle Korver,82,82,1.0,1649.1233333333332,681,8.304878048780488,20.111260162601624,681,True,10,Kyle Korver,Korver
2001-02,2002,2033,Marcus Fizer,56,76,0.7368421052631579,1338.8333333333333,673,12.017857142857142,23.907738095238095,938,True,11,Marcus Fizer,Fizer
1996-97,1997,70,Steve Kerr,82,82,1.0,1857.5483333333336,662,8.073170731707316,22.653028455284556,662,True,12,Steve Kerr,Kerr
2014-15,2015,201166,Aaron Brooks,61,82,0.7439024390243902,1236.1833333333334,658,10.78688524590164,20.26530054644809,954,True,13,Aaron Brooks,Brooks
2004-05,2005,2199,Tyson Chandler,70,80,0.875,1926.99,567,8.1,27.52842857142857,640,True,14,Tyson Chandler,Chandler
1996-97,1997,389,Toni Kukoc,42,57,0.7368421052631579,1083.1416666666669,550,13.095238095238095,25.78908730158731,754,True,15,Toni Kukoč,Kukoč
