season,season_end_year,player_id,player_name,bench_games,total_games,bench_game_share,bench_minutes,bench_points,bench_points_per_game,bench_minutes_per_game,total_points,qualified
1996-97,1997,82,Bill Wennington,42,61,0.6885245901639344,420.21666666666664,155,3.6904761904761907,10.00515873015873,280,False
1996-97,1997,183,Bison Dele,9,9,1.0,137.98,63,7.0,15.33111111111111,63,True
1996-97,1997,23,Dennis Rodman,1,55,0.01818181818181818,30.1,2,2.0,30.1,311,False
1996-97,1997,54,Dickey Simpkins,48,48,1.0,393.03333333333336,91,1.8958333333333333,8.188194444444445,91,True
1996-97,1997,679,Jason Caffey,56,75,0.7466666666666667,838.05,382,6.821428571428571,14.96517857142857,549,True
1996-97,1997,146,Jud Buechler,76,76,1.0,700.6666666666666,139,1.8289473684210527,9.219298245614034,139,True
1996-97,1997,1099,Matt Steigenga,2,2,1.0,11.728333333333332,3,1.5,5.864166666666666,3,True
1996-97,1997,753,Randy Brown,69,72,0.9583333333333334,990.87,328,4.753623188405797,14.360434782608696,341,True
1996-97,1997,305,Robert Parish,40,43,0.9302325581395349,350.5,141,3.525,8.7625,161,True
1996-97,1997,166,Ron Harper,2,76,0.02631578947368421,51.468333333333334,16,8.0,25.734166666666667,480,False
1996-97,1997,70,Steve Kerr,82,82,1.0,1857.5483333333336,662,8.073170731707316,22.653028455284556,662,True
1996-97,1997,389,Toni Kukoc,42,57,0.7368421052631579,1083.1416666666669,550,13.095238095238095,25.78908730158731,754,True
1997-98,1998,82,Bill Wennington,40,48,0.8333333333333334,320.6383333333333,119,2.975,8.015958333333334,167,True
1997-98,1998,710,David Vaughn,3,3,1.0,4.873333333333333,4,1.3333333333333333,1.6244444444444444,4,True
1997-98,1998,23,Dennis Rodman,14,80,0.175,385.3833333333333,48,3.4285714285714284,27.527380952380952,375,False
1997-98,1998,54,Dickey Simpkins,21,21,1.0,235.84333333333333,78,3.7142857142857144,11.230634920634921,78,True
1997-98,1998,679,Jason Caffey,43,51,0.8431372549019608,555.6316666666667,229,5.325581395348837,12.921666666666667,268,True
1997-98,1998,170,Joe Kleine,45,46,0.9782608695652174,376.015,91,2.022222222222222,8.355888888888888,93,True
1997-98,1998,146,Jud Buechler,74,74,1.0,605.4483333333334,198,2.675675675675676,8.181734234234234,198,True
1997-98,1998,1522,Keith Booth,6,6,1.0,17.096666666666668,10,1.6666666666666667,2.8494444444444444,10,True
1997-98,1998,753,Randy Brown,65,71,0.9154929577464789,1033.256666666667,261,4.015384615384615,15.896256410256413,288,True
1997-98,1998,1601,Rusty LaRue,14,14,1.0,138.66,49,3.5,9.904285714285715,49,True
1997-98,1998,197,Scott Burrell,77,80,0.9625,1017.3183333333334,382,4.961038961038961,13.211926406926407,416,True
1997-98,1998,70,Steve Kerr,50,50,1.0,1117.4383333333333,376,7.52,22.348766666666666,376,True
1997-98,1998,389,Toni Kukoc,22,74,0.2972972972972973,464.5316666666667,199,9.045454545454545,21.11507575757576,982,False
1998-99,1999,457,Andrew Lang,8,21,0.38095238095238093,93.72166666666666,12,1.5,11.715208333333333,80,False
1998-99,1999,82,Bill Wennington,35,38,0.9210526315789473,410.445,131,3.742857142857143,11.727,143,True
1998-99,1999,699,Brent Barry,7,37,0.1891891891891892,184.53666666666663,56,8.0,26.36238095238095,412,False
