PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,FP_HIGH_SCORE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,FP_HIGH_SCORE_RANK,TEAM_COUNT
1559,Adrian Griffin,Adrian,1610612741,CHI,30.0,1,0,1,0.0,23.418333333333333,1,9,0.111,0,0,0.0,0,0,0.0,3,1,4,2,0,4,0,0,2,0,2,-7,21.8,0,0,16.0,22.0,12,10,1,10,11,12,11,12,7,7,7,11,11,11,9,12,11,10,12,10,10,1,1,2,12,6,11,9,1,11,11,1
2804,Andres Nocioni,Andres,1610612741,CHI,25.0,38,19,19,0.5,1050.75,140,347,0.403,12,48,0.25,92,116,0.793,37,183,220,75,72,18,15,23,104,0,384,-136,787.5,2,0,757.0,853.0,6,6,8,7,6,6,6,7,4,4,5,5,5,2,5,4,5,4,6,6,5,8,8,2,6,12,6,4,1,6,6,1
213,Antonio Davis,Antonio,1610612741,CHI,36.0,62,39,23,0.629,1640.325,178,376,0.473,0,0,0.0,103,134,0.769,139,251,390,71,84,24,37,25,126,0,459,61,1132.5,4,0,1042.0,1174.0,3,3,9,4,4,4,5,4,7,7,7,3,3,5,1,2,1,5,5,4,2,9,9,2,4,4,4,3,1,4,4,1
2732,Ben Gordon,Ben,1610612741,CHI,22.0,3,0,3,0.0,57.07833333333333,9,29,0.31,2,7,0.286,6,7,0.857,1,3,4,2,6,3,0,1,7,0,26,-14,36.8,0,0,40.0,43.0,10,10,3,10,10,10,10,11,6,6,4,10,10,1,12,11,11,10,10,11,10,2,3,2,10,8,10,9,1,10,10,1
2768,Chris Duhon,Chris,1610612741,CHI,22.0,73,47,26,0.644,1975.3816666666667,161,444,0.363,89,243,0.366,44,60,0.733,22,181,203,361,109,72,3,22,189,0,455,160,1356.1,2,0,1258.0,1605.0,2,1,11,2,2,5,4,9,2,2,2,7,7,8,8,5,6,2,3,2,8,7,10,2,5,1,3,4,1,3,2,1
2201,Eddy Curry,Eddy,1610612741,CHI,22.0,60,35,25,0.583,1741.7816666666668,370,690,0.536,0,0,0.0,215,300,0.717,112,219,331,36,158,21,57,56,189,1,955,-91,1482.2,6,0,1478.0,1592.0,4,4,10,5,3,2,2,2,7,7,7,1,1,9,2,3,2,6,2,5,1,11,10,1,2,11,2,2,1,2,3,1
15,Eric Piatkowski,Eric,1610612741,CHI,34.0,11,5,6,0.455,192.86166666666668,23,53,0.434,12,27,0.444,12,16,0.75,3,11,14,15,7,7,1,2,17,0,70,-10,126.3,0,0,127.0,138.0,8,8,4,9,9,9,8,5,4,5,1,9,9,6,9,9,9,8,9,9,9,3,4,2,9,7,9,9,1,9,9,1
2876,Jared Reiner,Jared,1610612741,CHI,23.0,2,1,1,0.5,15.683333333333334,2,6,0.333,0,0,0.0,0,0,0.0,2,5,7,0,1,0,0,2,4,0,4,-6,11.4,0,0,11.0,11.0,11,9,1,7,12,11,12,10,7,7,7,11,11,11,11,10,10,12,11,12,10,3,2,2,11,5,12,9,1,12,12,1
2550,Kirk Hinrich,Kirk,1610612741,CHI,24.0,77,42,35,0.545,2797.4666666666667,445,1122,0.397,145,408,0.355,171,216,0.792,32,272,304,494,176,122,21,58,244,0,1206,-19,2564.8,9,0,2435.0,2927.0,1,2,12,6,1,1,1,8,1,1,3,2,2,3,6,1,3,1,1,1,3,12,12,2,1,9,1,1,1,1,1,1
2736,Luol Deng,Luol,1610612741,CHI,20.0,45,29,16,0.644,1252.7066666666667,200,462,0.433,20,80,0.25,98,124,0.79,63,177,240,108,94,35,19,37,73,0,518,126,1036.0,2,0,994.0,1136.0,5,5,7,1,5,3,3,6,3,3,5,4,4,4,3,6,4,3,4,3,4,10,6,2,3,2,5,4,1,5,5,1
970,Othella Harrington,Othella,1610612741,CHI,31.0,28,18,10,0.643,663.0633333333334,120,231,0.519,0,0,0.0,58,78,0.744,57,108,165,32,48,13,6,19,91,0,298,121,553.0,2,0,533.0,584.0,7,7,5,3,7,7,7,3,7,7,7,6,6,7,4,7,7,7,7,7,7,6,7,2,7,3,7,4,1,7,7,1
2199,Tyson Chandler,Tyson,1610612741,CHI,22.0,10,0,10,0.0,260.54333333333335,30,53,0.566,0,0,0.0,13,24,0.542,31,51,82,7,21,11,10,6,34,0,73,-55,223.9,2,0,204.0,232.0,9,10,5,10,8,8,8,1,7,7,7,8,8,10,7,8,8,9,8,8,6,5,5,2,8,10,8,4,1,8,8,1
