PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,FP_HIGH_SCORE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,FP_HIGH_SCORE_RANK,TEAM_COUNT
201189,Aaron Gray,Aaron,1610612741,CHI,24.0,56,26,30,0.464,715.1083333333333,81,167,0.485,0,1,0.0,34,59,0.576,84,136,220,46,40,14,18,23,135,51,196,-52,585.0,1,0,526.0,604.0,5,6,14,15,13,12,13,3,15,16,15,12,12,15,4,8,8,12,11,14,7,14,15,12,12,14,12,8,1,12,13,1
2804,Andres Nocioni,Andres,1610612758,SAC,29.0,53,23,30,0.434,1278.2733333333333,186,449,0.414,79,209,0.378,100,124,0.806,34,188,222,60,73,26,16,19,176,115,551,80,960.4,2,0,996.0,1019.0,6,7,14,16,7,6,5,13,2,2,8,6,6,7,9,6,7,9,6,9,9,10,16,6,5,4,7,7,1,7,7,1
101194,Anthony Roberson,Anthony,1610612741,CHI,26.0,6,3,3,0.5,22.536666666666665,5,17,0.294,2,10,0.2,0,0,0.0,2,5,7,1,1,0,0,1,0,0,12,2,20.9,0,0,22.0,21.0,18,18,2,6,18,17,17,18,13,12,14,17,17,17,17,17,18,18,17,18,16,3,1,17,17,9,18,9,1,17,18,1
2732,Ben Gordon,Ben,1610612741,CHI,26.0,82,41,41,0.5,2998.97,598,1315,0.455,173,422,0.41,330,382,0.864,52,231,283,279,200,71,22,69,184,286,1699,24,2536.1,0,0,2620.0,2819.0,1,1,17,6,2,1,1,8,1,1,4,1,1,2,8,3,5,2,2,2,4,18,17,1,1,6,2,9,1,1,2,1
1802,Brad Miller,Brad,1610612741,CHI,33.0,27,16,11,0.593,746.0283333333333,108,226,0.478,3,13,0.231,99,116,0.853,67,134,201,86,47,22,12,16,88,109,318,111,743.2,4,0,676.0,793.0,13,10,7,4,11,11,11,4,11,11,12,7,7,3,7,9,9,6,9,12,12,7,11,7,11,2,10,6,1,10,10,1
200759,Cedric Simmons,Cedric,1610612758,SAC,23.0,11,4,7,0.364,60.79833333333333,11,21,0.524,0,0,0.0,6,14,0.429,4,8,12,2,0,1,4,3,6,12,28,-3,60.4,0,0,52.0,59.0,16,17,4,19,16,16,16,2,15,19,15,15,15,16,15,16,15,16,18,16,14,5,3,15,16,10,16,9,1,16,16,1
201193,Demetris Nichols,Demetris,1610612752,NYK,24.0,2,1,1,0.5,5.466666666666667,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,2,13,3.5,0,0,3.0,4.0,19,19,1,6,19,19,19,19,15,16,15,17,17,17,19,19,19,18,18,18,16,1,2,17,19,7,19,9,1,19,19,1
201565,Derrick Rose,Derrick,1610612741,CHI,20.0,81,40,41,0.494,3000.048333333333,574,1208,0.475,16,72,0.222,197,250,0.788,96,221,317,512,202,66,18,89,125,226,1361,-121,2559.4,8,0,2374.0,2954.0,2,2,17,10,1,2,2,5,7,6,13,3,3,10,3,4,3,1,1,3,7,19,13,2,2,18,1,4,1,2,1,1
2400,Drew Gooden,Drew,1610612759,SAS,27.0,31,15,16,0.484,917.8366666666667,161,352,0.457,0,3,0.0,84,97,0.866,82,184,266,43,57,26,14,20,103,94,406,-104,852.7,10,0,795.0,878.0,10,12,9,13,9,9,8,7,15,14,15,9,9,1,5,7,6,13,8,9,11,13,12,8,9,17,8,2,1,8,8,1
201149,Joakim Noah,Joakim,1610612741,CHI,24.0,80,39,41,0.488,1938.27,207,372,0.556,0,1,0.0,123,182,0.676,244,362,606,106,82,49,110,51,238,174,537,66,1818.2,10,0,1567.0,1832.0,3,3,17,12,4,5,7,1,15,16,15,5,5,13,1,1,1,4,5,6,2,16,19,4,6,5,4,2,1,4,4,1
2422,John Salmons,John,1610612741,CHI,29.0,26,16,10,0.615,979.3,165,349,0.473,49,118,0.415,97,115,0.843,16,96,112,53,43,25,15,19,60,74,476,6,766.9,0,0,770.0,814.0,14,10,6,2,8,8,9,6,4,4,3,8,8,4,11,12,12,11,10,11,10,10,9,10,8,8,9,9,1,9,9,1
