loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-191,-10,True,2PT,Mid-Range,19,0021200007,20121031,Left Side(L)
206,-25,False,2PT,Mid-Range,20,0021200007,20121031,Right Side(R)
-157,195,False,3PT,Above the Break 3,25,0021200007,20121031,Left Side Center(LC)
42,214,False,2PT,Mid-Range,21,0021200007,20121031,Center(C)
-7,200,False,2PT,Mid-Range,20,0021200007,20121031,Center(C)
-73,183,False,2PT,Mid-Range,19,0021200007,20121031,Left Side Center(LC)
-51,105,False,2PT,In The Paint (Non-RA),11,0021200007,20121031,Center(C)
-158,55,True,2PT,Mid-Range,16,0021200019,20121102,Left Side(L)
2,3,True,2PT,Restricted Area,0,0021200019,20121102,Center(C)
0,3,True,2PT,Restricted Area,0,0021200019,20121102,Center(C)
-133,145,False,2PT,Mid-Range,19,0021200019,20121102,Left Side Center(LC)
73,208,False,2PT,Mid-Range,22,0021200031,20121103,Right Side Center(RC)
-139,132,False,2PT,Mid-Range,19,0021200031,20121103,Left Side Center(LC)
50,22,False,2PT,In The Paint (Non-RA),5,0021200031,20121103,Center(C)
136,209,False,3PT,Above the Break 3,24,0021200031,20121103,Right Side Center(RC)
163,184,False,3PT,Above the Break 3,24,0021200031,20121103,Right Side Center(RC)
-7,4,True,2PT,Restricted Area,0,0021200031,20121103,Center(C)
34,20,False,2PT,Restricted Area,3,0021200031,20121103,Center(C)
15,7,False,2PT,Restricted Area,1,0021200031,20121103,Center(C)
143,206,True,3PT,Above the Break 3,25,0021200050,20121106,Right Side Center(RC)
7,9,False,2PT,Restricted Area,1,0021200050,20121106,Center(C)
-11,258,True,3PT,Above the Break 3,25,0021200050,20121106,Center(C)
-116,107,True,2PT,Mid-Range,15,0021200050,20121106,Left Side(L)
99,153,False,2PT,Mid-Range,18,0021200050,20121106,Right Side Center(RC)
-11,36,False,2PT,Restricted Area,3,0021200066,20121108,Center(C)
102,198,True,2PT,Mid-Range,22,0021200066,20121108,Right Side Center(RC)
163,195,True,3PT,Above the Break 3,25,0021200066,20121108,Right Side Center(RC)
-97,157,False,2PT,Mid-Range,18,0021200066,20121108,Left Side Center(LC)
237,-28,False,3PT,Right Corner 3,23,0021200066,20121108,Right Side(R)
151,198,True,3PT,Above the Break 3,24,0021200066,20121108,Right Side Center(RC)
77,239,False,3PT,Above the Break 3,25,0021200066,20121108,Center(C)
-147,112,True,2PT,Mid-Range,18,0021200066,20121108,Left Side Center(LC)
-149,53,True,2PT,Mid-Range,15,0021200066,20121108,Left Side(L)
103,222,False,3PT,Above the Break 3,24,0021200066,20121108,Right Side Center(RC)
-174,124,False,2PT,Mid-Range,21,0021200066,20121108,Left Side(L)
-18,230,False,2PT,Mid-Range,23,0021200066,20121108,Center(C)
9,197,False,2PT,Mid-Range,19,0021200084,20121110,Center(C)
88,195,False,2PT,Mid-Range,21,0021200084,20121110,Right Side Center(RC)
17,-3,False,2PT,Restricted Area,1,0021200084,20121110,Center(C)
-65,83,False,2PT,In The Paint (Non-RA),10,0021200084,20121110,Left Side(L)
13,9,False,2PT,Restricted Area,1,0021200116,20121114,Center(C)
6,0,True,2PT,Restricted Area,0,0021200116,20121114,Center(C)
-109,236,False,3PT,Above the Break 3,25,0021200116,20121114,Left Side Center(LC)
-175,213,False,3PT,Above the Break 3,27,0021200132,20121117,Left Side Center(LC)
9,25,False,2PT,Restricted Area,2,0021200132,20121117,Center(C)
36,198,False,2PT,Mid-Range,20,0021200132,20121117,Center(C)
15,28,False,2PT,Restricted Area,3,0021200132,20121117,Center(C)
0,260,False,3PT,Above the Break 3,26,0021200132,20121117,Center(C)
4,-5,True,2PT,Restricted Area,0,0021200145,20121118,Center(C)
15,7,True,2PT,Restricted Area,1,0021200145,20121118,Center(C)
226,89,False,3PT,Above the Break 3,24,0021200145,20121118,Right Side Center(RC)
-164,468,False,3PT,Backcourt,49,0021200145,20121118,Back Court(BC)
80,233,False,3PT,Above the Break 3,24,0021200145,20121118,Right Side Center(RC)
23,228,False,2PT,Mid-Range,22,0021200145,20121118,Center(C)
170,143,True,2PT,Mid-Range,22,0021200165,20121121,Right Side Center(RC)
141,138,True,2PT,Mid-Range,19,0021200165,20121121,Right Side Center(RC)
17,203,False,2PT,Mid-Range,20,0021200165,20121121,Center(C)
106,224,False,3PT,Above the Break 3,24,0021200165,20121121,Right Side Center(RC)
9,195,False,2PT,Mid-Range,19,0021200165,20121121,Center(C)
-236,72,True,3PT,Left Corner 3,24,0021200188,20121124,Left Side(L)
-142,236,False,3PT,Above the Break 3,27,0021200188,20121124,Left Side Center(LC)
-128,236,False,3PT,Above the Break 3,26,0021200188,20121124,Left Side Center(LC)
-223,12,True,3PT,Left Corner 3,22,0021200188,20121124,Left Side(L)
-106,119,False,2PT,Mid-Range,15,0021200188,20121124,Left Side(L)
-160,93,False,2PT,Mid-Range,18,0021200188,20121124,Left Side(L)
234,6,False,3PT,Right Corner 3,23,0021200188,20121124,Right Side(R)
9,3,True,2PT,Restricted Area,0,0021200188,20121124,Center(C)
-179,197,False,3PT,Above the Break 3,26,0021200188,20121124,Left Side Center(LC)
124,222,False,3PT,Above the Break 3,25,0021200188,20121124,Right Side Center(RC)
118,227,False,3PT,Above the Break 3,25,0021200199,20121126,Right Side Center(RC)
157,164,False,2PT,Mid-Range,22,0021200199,20121126,Right Side Center(RC)
24,9,True,2PT,Restricted Area,2,0021200199,20121126,Center(C)
171,67,False,2PT,Mid-Range,18,0021200199,20121126,Right Side(R)
-194,0,True,2PT,Mid-Range,19,0021200199,20121126,Left Side(L)
-21,7,False,2PT,Restricted Area,2,0021200199,20121126,Center(C)
75,230,False,3PT,Above the Break 3,24,0021200199,20121126,Right Side Center(RC)
58,244,True,3PT,Above the Break 3,25,0021200199,20121126,Center(C)
-155,116,False,2PT,Mid-Range,19,0021200199,20121126,Left Side Center(LC)
21,3,True,2PT,Restricted Area,2,0021200199,20121126,Center(C)
-228,28,False,3PT,Left Corner 3,22,0021200199,20121126,Left Side(L)
13,197,False,2PT,Mid-Range,19,0021200214,20121128,Center(C)
-174,183,True,3PT,Above the Break 3,25,0021200214,20121128,Left Side Center(LC)
116,219,False,3PT,Above the Break 3,24,0021200214,20121128,Right Side Center(RC)
-163,67,True,2PT,Mid-Range,17,0021200214,20121128,Left Side(L)
-13,14,False,2PT,Restricted Area,1,0021200235,20121201,Center(C)
73,206,False,2PT,Mid-Range,21,0021200235,20121201,Right Side Center(RC)
147,198,True,3PT,Above the Break 3,24,0021200235,20121201,Right Side Center(RC)
-185,121,False,2PT,Mid-Range,22,0021200235,20121201,Left Side(L)
56,6,False,2PT,In The Paint (Non-RA),5,0021200235,20121201,Center(C)
4,213,True,2PT,Mid-Range,21,0021200235,20121201,Center(C)
-209,135,True,3PT,Above the Break 3,24,0021200254,20121204,Left Side Center(LC)
-150,58,False,2PT,Mid-Range,16,0021200254,20121204,Left Side(L)
-139,205,False,3PT,Above the Break 3,24,0021200254,20121204,Left Side Center(LC)
-34,99,False,2PT,In The Paint (Non-RA),10,0021200254,20121204,Center(C)
-10,6,False,2PT,Restricted Area,1,0021200254,20121204,Center(C)
45,209,True,2PT,Mid-Range,21,0021200254,20121204,Center(C)
23,9,False,2PT,Restricted Area,2,0021200254,20121204,Center(C)
15,246,True,3PT,Above the Break 3,24,0021200262,20121205,Center(C)
143,216,False,3PT,Above the Break 3,25,0021200262,20121205,Right Side Center(RC)
1,1,False,2PT,Restricted Area,0,0021200262,20121205,Center(C)
-202,91,True,2PT,Mid-Range,22,0021200262,20121205,Left Side(L)
122,131,True,2PT,Mid-Range,17,0021200262,20121205,Right Side Center(RC)
111,148,True,2PT,Mid-Range,18,0021200262,20121205,Right Side Center(RC)
-169,91,False,2PT,Mid-Range,19,0021200262,20121205,Left Side(L)
-79,249,False,3PT,Above the Break 3,26,0021200274,20121207,Center(C)
-45,78,True,2PT,In The Paint (Non-RA),9,0021200274,20121207,Center(C)
-235,9,True,3PT,Left Corner 3,23,0021200274,20121207,Left Side(L)
3,-5,True,2PT,Restricted Area,0,0021200274,20121207,Center(C)
-139,235,True,3PT,Above the Break 3,27,0021200274,20121207,Left Side Center(LC)
-226,-10,False,3PT,Left Corner 3,22,0021200288,20121208,Left Side(L)
116,235,True,3PT,Above the Break 3,26,0021200288,20121208,Right Side Center(RC)
-198,-19,False,2PT,Mid-Range,19,0021200288,20121208,Left Side(L)
-76,209,True,2PT,Mid-Range,22,0021200308,20121211,Left Side Center(LC)
58,153,False,2PT,Mid-Range,16,0021200308,20121211,Right Side Center(RC)
-149,127,False,2PT,Mid-Range,19,0021200308,20121211,Left Side Center(LC)
61,239,True,3PT,Above the Break 3,24,0021200308,20121211,Center(C)
-171,170,True,3PT,Above the Break 3,24,0021200308,20121211,Left Side Center(LC)
-160,118,False,2PT,Mid-Range,19,0021200308,20121211,Left Side Center(LC)
6,99,False,2PT,In The Paint (Non-RA),9,0021200308,20121211,Center(C)
-157,201,False,3PT,Above the Break 3,25,0021200353,20121217,Left Side Center(LC)
-155,211,False,3PT,Above the Break 3,26,0021200353,20121217,Left Side Center(LC)
61,28,False,2PT,In The Paint (Non-RA),6,0021200353,20121217,Center(C)
89,192,True,2PT,Mid-Range,21,0021200353,20121217,Right Side Center(RC)
-27,209,False,2PT,Mid-Range,21,0021200353,20121217,Center(C)
-86,235,False,3PT,Above the Break 3,25,0021200353,20121217,Left Side Center(LC)
-57,116,True,2PT,In The Paint (Non-RA),12,0021200353,20121217,Center(C)
89,244,False,3PT,Above the Break 3,25,0021200353,20121217,Right Side Center(RC)
-2,252,False,3PT,Above the Break 3,25,0021200360,20121218,Center(C)
36,37,False,2PT,In The Paint (Non-RA),5,0021200360,20121218,Center(C)
211,124,True,3PT,Above the Break 3,24,0021200383,20121221,Right Side Center(RC)
-194,140,True,3PT,Above the Break 3,23,0021200383,20121221,Left Side Center(LC)
-18,-2,True,2PT,Restricted Area,1,0021200383,20121221,Center(C)
18,1,True,2PT,Restricted Area,1,0021200383,20121221,Center(C)
62,9,False,2PT,In The Paint (Non-RA),6,0021200383,20121221,Center(C)
23,246,True,3PT,Above the Break 3,24,0021200383,20121221,Center(C)
-229,37,False,3PT,Left Corner 3,23,0021200383,20121221,Left Side(L)
-234,0,True,3PT,Left Corner 3,23,0021200383,20121221,Left Side(L)
-147,195,False,3PT,Above the Break 3,24,0021200391,20121222,Left Side Center(LC)
124,220,True,3PT,Above the Break 3,25,0021200391,20121222,Right Side Center(RC)
-138,211,False,3PT,Above the Break 3,25,0021200391,20121222,Left Side Center(LC)
-163,99,True,2PT,Mid-Range,19,0021200391,20121222,Left Side(L)
-158,113,False,2PT,Mid-Range,19,0021200391,20121222,Left Side(L)
17,6,False,2PT,Restricted Area,1,0021200391,20121222,Center(C)
-171,17,False,2PT,Mid-Range,17,0021200391,20121222,Left Side(L)
23,1,True,2PT,Restricted Area,2,0021200391,20121222,Center(C)
173,105,False,2PT,Mid-Range,20,0021200391,20121222,Right Side(R)
13,12,False,2PT,Restricted Area,1,0021200391,20121222,Center(C)
236,25,False,3PT,Right Corner 3,23,0021200391,20121222,Right Side(R)
-27,0,False,2PT,Restricted Area,2,0021200408,20121225,Center(C)
-231,-10,False,3PT,Left Corner 3,23,0021200408,20121225,Left Side(L)
151,208,False,3PT,Above the Break 3,25,0021200408,20121225,Right Side Center(RC)
32,69,False,2PT,In The Paint (Non-RA),7,0021200408,20121225,Center(C)
-185,160,False,3PT,Above the Break 3,24,0021200408,20121225,Left Side Center(LC)
-116,74,True,2PT,Mid-Range,13,0021200408,20121225,Left Side(L)
94,192,True,2PT,Mid-Range,21,0021200408,20121225,Right Side Center(RC)
-191,151,False,3PT,Above the Break 3,24,0021200408,20121225,Left Side Center(LC)
-155,190,True,3PT,Above the Break 3,24,0021200441,20121229,Left Side Center(LC)
80,238,False,3PT,Above the Break 3,25,0021200441,20121229,Right Side Center(RC)
-142,124,False,2PT,Mid-Range,18,0021200441,20121229,Left Side Center(LC)
-131,105,True,2PT,Mid-Range,16,0021200441,20121229,Left Side Center(LC)
-138,211,False,3PT,Above the Break 3,25,0021200441,20121229,Left Side Center(LC)
