window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2003-04,Restricted Area,176,73,0.4148,0.5819,-16.7154,21.3852,31.2735,1,336,1,70,0.8295,1.1639,2,True
2003-04,In The Paint (Non-RA),77,36,0.4675,0.3860,8.1507,9.3560,14.4018,1,336,1,70,0.9351,0.7721,2,True
2003-04,Left Baseline,24,9,0.3750,0.3834,-0.8438,2.9162,8.1564,1,336,1,70,0.7500,0.7669,2,True
2003-04,Left Mid-Range,51,18,0.3529,0.3877,-3.4752,6.1968,7.6890,1,336,1,70,0.7059,0.7759,2,True
2003-04,Center Mid-Range,30,12,0.4000,0.3847,1.5328,3.6452,4.9841,1,336,1,70,0.8000,0.7697,2,True
2003-04,Right Mid-Range,77,20,0.2597,0.3851,-12.5382,9.3560,7.7486,1,336,1,70,0.5195,0.7704,2,True
2003-04,Right Baseline,20,6,0.3000,0.3691,-6.9139,2.4301,7.0679,1,336,1,70,0.6000,0.7383,2,True
2003-04,Left Corner 3,47,18,0.3830,0.3786,0.4403,5.7108,2.6707,1,336,1,70,1.1489,1.1355,3,True
2003-04,Left Wing 3,130,50,0.3846,0.3451,3.9482,15.7959,4.9857,1,336,1,70,1.1538,1.0354,3,True
2003-04,Top of Key 3,70,26,0.3714,0.3275,4.3930,8.5055,3.6116,1,336,1,70,1.1143,0.9825,3,True
2003-04,Right Wing 3,96,38,0.3958,0.3448,5.1017,11.6646,4.8635,1,336,1,70,1.1875,1.0343,3,True
2003-04,Right Corner 3,24,12,0.5000,0.3759,12.4139,2.9162,2.3704,1,336,1,70,1.5000,1.1269,3,True
2004-05,Restricted Area,177,86,0.4859,0.5854,-9.9499,15.7754,31.9609,1,363,3,113,0.9718,1.1708,2,True
2004-05,In The Paint (Non-RA),114,34,0.2982,0.3978,-9.9573,10.1604,13.0337,1,363,3,113,0.5965,0.7956,2,True
2004-05,Left Baseline,67,29,0.4328,0.3805,5.2295,5.9715,7.5567,1,363,3,113,0.8657,0.7612,2,True
2004-05,Left Mid-Range,120,58,0.4833,0.3999,8.3397,10.6952,7.9645,1,363,3,113,0.9667,0.8005,2,True
2004-05,Center Mid-Range,107,46,0.4299,0.4025,2.7392,9.5365,5.2321,1,363,3,113,0.8598,0.8051,2,True
2004-05,Right Mid-Range,83,28,0.3373,0.3968,-5.9491,7.3975,7.9119,1,363,3,113,0.6747,0.7950,2,True
2004-05,Right Baseline,49,19,0.3878,0.3828,0.4910,4.3672,6.7724,1,363,3,113,0.7755,0.7657,2,True
2004-05,Left Corner 3,41,13,0.3171,0.3772,-6.0115,3.6542,2.8038,1,363,3,113,0.9512,1.1314,3,True
2004-05,Left Wing 3,134,44,0.3284,0.3503,-2.1972,11.9430,5.1405,1,363,3,113,0.9851,1.0509,3,True
2004-05,Top of Key 3,105,41,0.3905,0.3400,5.0428,9.3583,3.8183,1,363,3,113,1.1714,1.0200,3,True
2004-05,Right Wing 3,103,36,0.3495,0.3548,-0.5278,9.1800,4.9361,1,363,3,113,1.0485,1.0644,3,True
2004-05,Right Corner 3,21,11,0.5238,0.3893,13.4512,1.8717,2.6854,1,363,3,113,1.5714,1.1673,3,True
2005-06,Restricted Area,245,127,0.5184,0.5920,-7.3600,22.7273,32.4305,2,371,3,111,1.0367,1.1840,2,True
2005-06,In The Paint (Non-RA),69,29,0.4203,0.4049,1.5343,6.4007,12.9208,2,371,3,111,0.8406,0.8099,2,True
