SEASON,ACTION_TYPE,FGA,FGM,included
2000-01,Alley Oop Dunk Shot,14,13,False
2000-01,Alley Oop Layup shot,7,6,False
2000-01,Driving Dunk Shot,43,41,False
2000-01,Driving Finger Roll Shot,5,4,False
2000-01,Driving Layup Shot,214,163,False
2000-01,Dunk Shot,146,111,False
2000-01,Finger Roll Shot,5,2,False
2000-01,Hook Shot,127,81,False
2000-01,Jump Shot,4348,1526,False
2000-01,Layup Shot,1108,503,False
2000-01,Reverse Dunk Shot,5,5,False
2000-01,Reverse Layup Shot,46,33,False
2000-01,Running Dunk Shot,10,10,False
2000-01,Running Hook Shot,7,4,False
2000-01,Running Jump Shot,111,67,False
2000-01,Running Layup Shot,13,10,False
2000-01,Slam Dunk Shot,66,66,False
2000-01,Tip Shot,92,42,False
2000-01,Turnaround Hook Shot,4,4,False
2000-01,Turnaround Jump Shot,40,30,False
2001-02,Alley Oop Dunk Shot,26,24,False
2001-02,Alley Oop Layup shot,7,5,False
2001-02,Driving Dunk Shot,23,22,False
2001-02,Driving Finger Roll Shot,3,3,False
2001-02,Driving Hook Shot,1,1,False
2001-02,Driving Layup Shot,207,169,False
2001-02,Dunk Shot,181,153,False
2001-02,Fadeaway Jump Shot,34,25,False
2001-02,Finger Roll Shot,3,3,False
2001-02,Follow Up Dunk Shot,24,24,False
2001-02,Hook Shot,73,35,False
2001-02,Jump Hook Shot,8,5,False
2001-02,Jump Shot,4302,1572,False
2001-02,Layup Shot,1208,511,False
2001-02,Reverse Dunk Shot,1,1,False
2001-02,Reverse Layup Shot,49,36,False
2001-02,Running Dunk Shot,9,9,False
2001-02,Running Hook Shot,4,1,False
2001-02,Running Jump Shot,82,52,False
2001-02,Running Layup Shot,15,12,False
2001-02,Slam Dunk Shot,60,60,False
2001-02,Tip Shot,103,45,False
2001-02,Turnaround Hook Shot,5,4,False
2001-02,Turnaround Jump Shot,63,39,False
2002-03,Alley Oop Dunk Shot,28,27,False
2002-03,Alley Oop Layup shot,10,9,False
2002-03,Driving Dunk Shot,29,29,False
2002-03,Driving Finger Roll Shot,12,9,False
2002-03,Driving Hook Shot,8,7,False
2002-03,Driving Layup Shot,221,182,False
2002-03,Dunk Shot,214,189,False
2002-03,Fadeaway Jump Shot,37,20,False
2002-03,Finger Roll Shot,10,8,False
2002-03,Follow Up Dunk Shot,28,26,False
2002-03,Hook Shot,160,90,False
2002-03,Jump Hook Shot,40,21,False
2002-03,Jump Shot,3991,1378,False
2002-03,Layup Shot,1337,592,False
2002-03,Reverse Dunk Shot,4,4,False
2002-03,Reverse Layup Shot,40,29,False
2002-03,Running Dunk Shot,7,7,False
2002-03,Running Finger Roll Shot,3,2,False
2002-03,Running Hook Shot,9,5,False
2002-03,Running Jump Shot,180,125,False
2002-03,Running Layup Shot,23,17,False
2002-03,Running Tip Shot,2,2,False
2002-03,Slam Dunk Shot,89,88,False
2002-03,Tip Shot,142,76,False
2002-03,Turnaround Hook Shot,5,3,False
2002-03,Turnaround Jump Shot,85,46,False
2003-04,Alley Oop Dunk Shot,18,16,False
2003-04,Alley Oop Layup shot,15,15,False
2003-04,Driving Dunk Shot,19,19,False
2003-04,Driving Finger Roll Shot,17,10,False
2003-04,Driving Hook Shot,2,1,False
2003-04,Driving Layup Shot,183,147,False
2003-04,Dunk Shot,168,151,False
2003-04,Fadeaway Jump Shot,37,26,False
2003-04,Finger Roll Shot,17,15,False
2003-04,Follow Up Dunk Shot,21,21,False
2003-04,Hook Bank Shot,1,1,False
2003-04,Hook Shot,157,91,False
2003-04,Jump Bank Shot,26,19,False
2003-04,Jump Hook Shot,30,18,False
2003-04,Jump Shot,4364,1476,False
2003-04,Layup Shot,1196,448,False
2003-04,Reverse Dunk Shot,3,3,False
2003-04,Reverse Layup Shot,50,38,False
2003-04,Running Dunk Shot,9,9,False
2003-04,Running Hook Shot,10,8,False
2003-04,Running Jump Shot,124,77,False
2003-04,Running Layup Shot,21,17,False
2003-04,Slam Dunk Shot,67,64,False
2003-04,Tip Shot,117,58,False
2003-04,Turnaround Hook Shot,10,8,False
2003-04,Turnaround Jump Shot,71,42,False
2004-05,Alley Oop Dunk Shot,46,46,False
2004-05,Alley Oop Layup shot,14,11,False
2004-05,Driving Dunk Shot,15,15,False
2004-05,Driving Finger Roll Shot,16,16,False
2004-05,Driving Hook Shot,3,2,False
2004-05,Driving Layup Shot,205,177,False
2004-05,Dunk Shot,151,132,False
2004-05,Fadeaway Jump Shot,33,24,False
2004-05,Finger Roll Shot,17,11,False
2004-05,Follow Up Dunk Shot,28,26,False
2004-05,Hook Bank Shot,1,1,False
2004-05,Hook Shot,133,74,False
2004-05,Jump Bank Shot,39,31,False
2004-05,Jump Hook Shot,27,12,False
2004-05,Jump Shot,4115,1419,False
2004-05,Layup Shot,1210,491,False
2004-05,Reverse Dunk Shot,3,3,False
2004-05,Reverse Layup Shot,40,30,False
2004-05,Running Dunk Shot,3,3,False
2004-05,Running Finger Roll Shot,14,12,False
2004-05,Running Hook Shot,25,15,False
2004-05,Running Jump Shot,156,93,False
2004-05,Running Layup Shot,39,34,False
2004-05,Slam Dunk Shot,47,47,False
2004-05,Tip Shot,139,75,False
2004-05,Turnaround Hook Shot,3,1,False
2004-05,Turnaround Jump Shot,70,48,False
2005-06,Alley Oop Dunk Shot,11,11,False
2005-06,Alley Oop Layup shot,7,7,False
2005-06,Driving Dunk Shot,13,13,False
2005-06,Driving Finger Roll Shot,10,9,False
2005-06,Driving Hook Shot,8,6,False
2005-06,Driving Layup Shot,295,251,False
2005-06,Dunk Shot,96,86,False
2005-06,Fadeaway Jump Shot,35,23,False
2005-06,Finger Roll Shot,7,5,False
2005-06,Follow Up Dunk Shot,16,15,False
2005-06,Hook Shot,119,56,False
2005-06,Jump Bank Shot,52,44,False
2005-06,Jump Hook Shot,14,12,False
2005-06,Jump Shot,4313,1624,False
2005-06,Layup Shot,1224,489,False
2005-06,Reverse Dunk Shot,1,1,False
2005-06,Reverse Layup Shot,98,85,False
2005-06,Running Dunk Shot,7,7,False
2005-06,Running Finger Roll Shot,8,7,False
2005-06,Running Hook Shot,17,13,False
2005-06,Running Jump Shot,123,83,False
2005-06,Running Layup Shot,43,36,False
2005-06,Slam Dunk Shot,26,25,False
2005-06,Tip Shot,132,55,False
2005-06,Turnaround Finger Roll Shot,1,1,False
2005-06,Turnaround Hook Shot,9,7,False
2005-06,Turnaround Jump Shot,52,33,False
2006-07,Alley Oop Dunk Shot,23,22,False
2006-07,Alley Oop Layup shot,8,4,False
2006-07,Driving Dunk Shot,21,21,False
2006-07,Driving Finger Roll Shot,13,11,False
2006-07,Driving Hook Shot,3,1,False
2006-07,Driving Layup Shot,299,226,False
2006-07,Dunk Shot,163,148,False
2006-07,Fadeaway Jump Shot,72,47,False
2006-07,Finger Roll Shot,6,4,False
2006-07,Follow Up Dunk Shot,18,18,False
2006-07,Hook Bank Shot,2,2,False
2006-07,Hook Shot,104,46,False
2006-07,Jump Bank Shot,42,31,False
2006-07,Jump Hook Shot,20,6,False
2006-07,Jump Shot,4188,1636,False
2006-07,Layup Shot,1159,466,False
2006-07,Reverse Dunk Shot,2,2,False
2006-07,Reverse Layup Shot,100,83,False
2006-07,Running Dunk Shot,10,10,False
2006-07,Running Finger Roll Shot,5,5,False
