SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK
2024-25,202696,Nikola Vučević,73,1038,148,103,890,0.14258188824662812,2.0273972602739727,0.6959459459459459,1.3918918918918919,0,1
2024-25,1630581,Josh Giddey,70,798,186,88,612,0.23308270676691728,2.657142857142857,0.4731182795698925,0.946236559139785,1,2
2023-24,202696,Nikola Vučević,76,1211,133,79,1078,0.10982658959537572,1.75,0.5939849624060151,1.1879699248120301,0,3
2025-26,1630581,Josh Giddey,54,717,156,67,561,0.2175732217573222,2.888888888888889,0.42948717948717946,0.8589743589743589,1,4
2025-26,202696,Nikola Vučević,48,660,107,62,553,0.1621212121212121,2.2291666666666665,0.5794392523364486,1.158878504672897,0,5
2015-16,201565,Derrick Rose,66,1048,108,60,940,0.10305343511450382,1.6363636363636365,0.5555555555555556,1.1111111111111112,0,6
2025-26,1630200,Tre Jones,65,617,113,56,504,0.18314424635332252,1.7384615384615385,0.49557522123893805,0.9911504424778761,1,7
2022-23,202696,Nikola Vučević,82,1148,77,52,1071,0.06707317073170732,0.9390243902439024,0.6753246753246753,1.3506493506493507,0,8
2023-24,201942,DeMar DeRozan,79,1355,83,50,1272,0.061254612546125464,1.0506329113924051,0.6024096385542169,1.2048192771084338,0,9
2019-20,203107,Tomas Satoransky,65,551,104,48,447,0.18874773139745918,1.6,0.46153846153846156,0.9230769230769231,0,10
2020-21,201152,Thaddeus Young,68,662,84,45,578,0.1268882175226586,1.2352941176470589,0.5357142857142857,1.0714285714285714,0,11
2023-24,1629632,Coby White,79,1209,121,44,1088,0.1000827129859388,1.5316455696202531,0.36363636363636365,0.7272727272727273,1,12
2021-22,201942,DeMar DeRozan,76,1535,92,43,1443,0.05993485342019544,1.2105263157894737,0.4673913043478261,0.9347826086956522,0,13
2021-22,202696,Nikola Vučević,73,1154,72,41,1082,0.06239168110918544,0.9863013698630136,0.5694444444444444,1.1388888888888888,0,14
2016-17,2548,Dwyane Wade,60,955,77,38,878,0.0806282722513089,1.2833333333333334,0.4935064935064935,0.987012987012987,0,15
2017-18,1627756,Denzel Valentine,77,721,80,37,641,0.11095700416088766,1.0389610389610389,0.4625,0.925,1,16
2023-24,1630245,Ayo Dosunmu,76,719,85,37,634,0.11821974965229486,1.118421052631579,0.43529411764705883,0.8705882352941177,0,16
2015-16,202734,E'Twaun Moore,59,389,51,35,338,0.13110539845758354,0.864406779661017,0.6862745098039216,1.3725490196078431,0,18
2019-20,1627756,Denzel Valentine,36,237,56,30,181,0.23628691983122363,1.5555555555555556,0.5357142857142857,1.0714285714285714,0,19
2024-25,1629632,Coby White,74,1121,70,30,1051,0.06244424620874219,0.9459459459459459,0.42857142857142855,0.8571428571428571,2,19
2020-21,1627756,Denzel Valentine,62,416,76,30,340,0.18269230769230768,1.2258064516129032,0.39473684210526316,0.7894736842105263,0,19
2017-18,1626171,Bobby Portis Jr.,73,811,41,29,770,0.05055487053020962,0.5616438356164384,0.7073170731707317,1.4146341463414633,0,22
2015-16,201166,Aaron Brooks,69,469,51,29,418,0.10874200426439233,0.7391304347826086,0.5686274509803921,1.1372549019607843,1,22
2018-19,1627853,Ryan Arcidiacono,81,418,53,29,365,0.12679425837320574,0.654320987654321,0.5471698113207547,1.0943396226415094,0,22
2015-16,203926,Doug McDermott,81,644,55,29,589,0.08540372670807453,0.6790123456790124,0.5272727272727272,1.0545454545454545,0,22
2020-21,1629632,Coby White,69,902,65,29,837,0.07206208425720621,0.9420289855072463,0.4461538461538462,0.8923076923076924,1,22
2018-19,1627739,Kris Dunn,46,506,68,29,438,0.13438735177865613,1.4782608695652173,0.4264705882352941,0.8529411764705882,0,22
2025-26,1628989,Kevin Huerter,44,404,48,28,356,0.1188118811881188,1.0909090909090908,0.5833333333333334,1.1666666666666667,0,28
2018-19,1628374,Lauri Markkanen,52,795,54,28,741,0.06792452830188679,1.0384615384615385,0.5185185185185185,1.037037037037037,0,28
2017-18,1627739,Kris Dunn,52,666,58,28,608,0.08708708708708708,1.1153846153846154,0.4827586206896552,0.9655172413793104,0,28
2021-22,1629632,Coby White,61,644,59,25,585,0.09161490683229814,0.9672131147540983,0.423728813559322,0.847457627118644,0,31
2022-23,201942,DeMar DeRozan,74,1303,50,23,1253,0.03837298541826554,0.6756756756756757,0.46,0.92,0,32
2016-17,202710,Jimmy Butler III,76,1252,33,22,1219,0.026357827476038338,0.4342105263157895,0.6666666666666666,1.3333333333333333,1,33
2021-22,1630245,Ayo Dosunmu,77,535,41,22,494,0.07663551401869159,0.5324675324675324,0.5365853658536586,1.0731707317073171,0,33
2020-21,203107,Tomas Satoransky,58,329,47,22,282,0.14285714285714285,0.8103448275862069,0.46808510638297873,0.9361702127659575,0,33
2025-26,1641824,Matas Buzelis,77,963,48,22,915,0.04984423676012461,0.6233766233766234,0.4583333333333333,0.9166666666666666,0,33
2022-23,1630245,Ayo Dosunmu,80,570,49,22,521,0.08596491228070176,0.6125,0.4489795918367347,0.8979591836734694,0,33
2022-23,203897,Zach LaVine,77,1388,45,21,1343,0.032420749279538905,0.5844155844155844,0.4666666666666667,0.9333333333333333,0,38
2018-19,1628469,Antonio Blakeney,57,396,55,21,341,0.1388888888888889,0.9649122807017544,0.38181818181818183,0.7636363636363637,0,38
2023-24,1628975,Jevon Carter,72,365,42,20,323,0.11506849315068493,0.5833333333333334,0.47619047619047616,0.9523809523809523,0,40
2020-21,1630172,Patrick Williams,71,528,42,20,486,0.07954545454545454,0.5915492957746479,0.47619047619047616,0.9523809523809523,0,40
2022-23,1629632,Coby White,74,594,46,20,548,0.07744107744107744,0.6216216216216216,0.43478260869565216,0.8695652173913043,0,40
2025-26,1630245,Ayo Dosunmu,45,486,51,20,435,0.10493827160493827,1.1333333333333333,0.39215686274509803,0.7843137254901961,0,40
2025-26,1629012,Collin Sexton,26,328,28,19,300,0.08536585365853659,1.0769230769230769,0.6785714285714286,1.3571428571428572,0,44
2024-25,1630245,Ayo Dosunmu,46,449,42,19,407,0.0935412026726058,0.9130434782608695,0.4523809523809524,0.9047619047619048,0,44
2018-19,1627782,Wayne Selden,43,322,42,19,280,0.13043478260869565,0.9767441860465116,0.4523809523809524,0.9047619047619048,0,44
2016-17,200765,Rajon Rondo,69,561,42,19,519,0.0748663101604278,0.6086956521739131,0.4523809523809524,0.9047619047619048,0,44
