SEASON,PLAYER_ID,PLAYER_NAME,FGA,OTHER_FGA,TOTAL_FGA,FGA_SHARE
2024-25,202696,Nikola Vučević,148,890,1038,0.14258188824662812
2024-25,1630581,Josh Giddey,186,612,798,0.23308270676691728
2023-24,202696,Nikola Vučević,133,1078,1211,0.10982658959537572
2025-26,1630581,Josh Giddey,156,561,717,0.2175732217573222
2025-26,202696,Nikola Vučević,107,553,660,0.1621212121212121
2015-16,201565,Derrick Rose,108,940,1048,0.10305343511450382
2025-26,1630200,Tre Jones,113,504,617,0.18314424635332252
2022-23,202696,Nikola Vučević,77,1071,1148,0.06707317073170732
2023-24,201942,DeMar DeRozan,83,1272,1355,0.061254612546125464
2019-20,203107,Tomas Satoransky,104,447,551,0.18874773139745918
2020-21,201152,Thaddeus Young,84,578,662,0.1268882175226586
2023-24,1629632,Coby White,121,1088,1209,0.1000827129859388
2021-22,201942,DeMar DeRozan,92,1443,1535,0.05993485342019544
2021-22,202696,Nikola Vučević,72,1082,1154,0.06239168110918544
2016-17,2548,Dwyane Wade,77,878,955,0.0806282722513089
2017-18,1627756,Denzel Valentine,80,641,721,0.11095700416088766
2023-24,1630245,Ayo Dosunmu,85,634,719,0.11821974965229486
2015-16,202734,E'Twaun Moore,51,338,389,0.13110539845758354
2019-20,1627756,Denzel Valentine,56,181,237,0.23628691983122363
2024-25,1629632,Coby White,70,1051,1121,0.06244424620874219
2020-21,1627756,Denzel Valentine,76,340,416,0.18269230769230768
2017-18,1626171,Bobby Portis Jr.,41,770,811,0.05055487053020962
2015-16,201166,Aaron Brooks,51,418,469,0.10874200426439233
2018-19,1627853,Ryan Arcidiacono,53,365,418,0.12679425837320574
2015-16,203926,Doug McDermott,55,589,644,0.08540372670807453
2020-21,1629632,Coby White,65,837,902,0.07206208425720621
2018-19,1627739,Kris Dunn,68,438,506,0.13438735177865613
2025-26,1628989,Kevin Huerter,48,356,404,0.1188118811881188
2018-19,1628374,Lauri Markkanen,54,741,795,0.06792452830188679
2017-18,1627739,Kris Dunn,58,608,666,0.08708708708708708
2021-22,1629632,Coby White,59,585,644,0.09161490683229814
2022-23,201942,DeMar DeRozan,50,1253,1303,0.03837298541826554
2016-17,202710,Jimmy Butler III,33,1219,1252,0.026357827476038338
2021-22,1630245,Ayo Dosunmu,41,494,535,0.07663551401869159
2020-21,203107,Tomas Satoransky,47,282,329,0.14285714285714285
2025-26,1641824,Matas Buzelis,48,915,963,0.04984423676012461
2022-23,1630245,Ayo Dosunmu,49,521,570,0.08596491228070176
2022-23,203897,Zach LaVine,45,1343,1388,0.032420749279538905
2018-19,1628469,Antonio Blakeney,55,341,396,0.1388888888888889
2023-24,1628975,Jevon Carter,42,323,365,0.11506849315068493
2020-21,1630172,Patrick Williams,42,486,528,0.07954545454545454
2022-23,1629632,Coby White,46,548,594,0.07744107744107744
2025-26,1630245,Ayo Dosunmu,51,435,486,0.10493827160493827
2025-26,1629012,Collin Sexton,28,300,328,0.08536585365853659
2024-25,1630245,Ayo Dosunmu,42,407,449,0.0935412026726058
2018-19,1627782,Wayne Selden,42,280,322,0.13043478260869565
2016-17,200765,Rajon Rondo,42,519,561,0.0748663101604278
2019-20,1629632,Coby White,48,744,792,0.06060606060606061
2017-18,1628021,David Nwaba,39,384,423,0.09219858156028368
2021-22,203897,Zach LaVine,29,1157,1186,0.024451939291736932
2019-20,1627739,Kris Dunn,41,301,342,0.11988304093567251
2019-20,201152,Thaddeus Young,52,549,601,0.08652246256239601
2019-20,203490,Otto Porter Jr.,22,118,140,0.15714285714285714
2018-19,1628976,Wendell Carter Jr.,28,343,371,0.07547169811320754
2024-25,1630200,Tre Jones,31,114,145,0.21379310344827587
2016-17,203487,Michael Carter-Williams,38,268,306,0.12418300653594772
2018-19,203897,Zach LaVine,43,1092,1135,0.03788546255506608
2023-24,1627936,Alex Caruso,24,517,541,0.04436229205175601
2017-18,201577,Robin Lopez,25,620,645,0.03875968992248062
2017-18,1626166,Cameron Payne,34,181,215,0.15813953488372093
2016-17,202703,Nikola Mirotic,17,608,625,0.0272
2018-19,1626171,Bobby Portis Jr.,19,252,271,0.07011070110701106
2023-24,203083,Andre Drummond,23,457,480,0.04791666666666667
2021-22,1629750,Javonte Green,25,300,325,0.07692307692307693
2016-17,203926,Doug McDermott,25,348,373,0.06702412868632708
2024-25,1641824,Matas Buzelis,34,521,555,0.06126126126126126
2020-21,203897,Zach LaVine,19,1104,1123,0.016918967052537846
2020-21,202696,Nikola Vučević,20,468,488,0.040983606557377046
2018-19,1626166,Cameron Payne,24,144,168,0.14285714285714285
2018-19,203953,Jabari Parker,11,453,464,0.023706896551724137
2016-17,1626171,Bobby Portis Jr.,17,358,375,0.04533333333333334
2020-21,1628374,Lauri Markkanen,19,502,521,0.036468330134357005
2024-25,1631207,Dalen Terry,22,246,268,0.08208955223880597
2017-18,203200,Justin Holiday,23,759,782,0.029411764705882353
2022-23,1630172,Patrick Williams,25,652,677,0.03692762186115214
2018-19,1627885,Shaquille Harrison,28,398,426,0.06572769953051644
2019-20,1628990,Chandler Hutchison,29,146,175,0.1657142857142857
2018-19,201577,Robin Lopez,11,524,535,0.020560747663551402
2016-17,201959,Taj Gibson,12,518,530,0.022641509433962263
2019-20,1627885,Shaquille Harrison,15,150,165,0.09090909090909091
2015-16,203503,Tony Snell,16,323,339,0.0471976401179941
2018-19,203490,Otto Porter Jr.,17,184,201,0.0845771144278607
2025-26,1629632,Coby White,18,375,393,0.04580152671755725
2020-21,202066,Garrett Temple,19,362,381,0.049868766404199474
2019-20,1628374,Lauri Markkanen,20,571,591,0.0338409475465313
2025-26,1642265,Rob Dillingham,22,249,271,0.08118081180811808
2015-16,202710,Jimmy Butler III,22,1013,1035,0.021256038647342997
2017-18,1628374,Lauri Markkanen,11,851,862,0.012761020881670533
2016-17,203477,Isaiah Canaan,12,161,173,0.06936416184971098
2024-25,203897,Zach LaVine,14,696,710,0.01971830985915493
2022-23,203083,Andre Drummond,14,260,274,0.051094890510948905
2016-17,1626170,Jerian Grant,17,284,301,0.05647840531561462
2020-21,203490,Otto Porter Jr.,18,184,202,0.0891089108910891
2018-19,1628990,Chandler Hutchison,18,191,209,0.0861244019138756
2024-25,1630172,Patrick Williams,19,497,516,0.03682170542635659
2019-20,1627853,Ryan Arcidiacono,22,198,220,0.1
2017-18,1626170,Jerian Grant,23,480,503,0.04572564612326044
2023-24,203897,Zach LaVine,11,365,376,0.02925531914893617
2015-16,2200,Pau Gasol,12,983,995,0.012060301507537688
2024-25,1628380,Zach Collins,14,156,170,0.08235294117647059
2023-24,1630172,Patrick Williams,17,342,359,0.04735376044568245
2019-20,1628976,Wendell Carter Jr.,17,326,343,0.04956268221574344
2025-26,1630171,Isaac Okoro,21,438,459,0.0457516339869281
2025-26,1642950,Lachlan Olbrich,5,72,77,0.06493506493506493
2023-24,1641931,Onuralp Bitim,8,76,84,0.09523809523809523
2021-22,1628396,Tony Bradley,8,115,123,0.06504065040650407
2025-26,1630188,Jalen Smith,9,395,404,0.022277227722772276
2023-24,1628470,Torrey Craig,10,241,251,0.0398406374501992
2023-24,1631207,Dalen Terry,10,147,157,0.06369426751592357
2019-20,1628436,Luke Kornet,13,174,187,0.06951871657754011
2021-22,1628972,Troy Brown Jr.,16,242,258,0.06201550387596899
2022-23,201609,Goran Dragic,18,281,299,0.06020066889632107
2019-20,203897,Zach LaVine,22,1177,1199,0.01834862385321101
2024-25,1628975,Jevon Carter,4,142,146,0.0273972602739726
2025-26,1629014,Anfernee Simons,6,74,80,0.075
2016-17,201577,Robin Lopez,6,769,775,0.007741935483870968
2016-17,1626166,Cameron Payne,6,57,63,0.09523809523809523
2025-26,1628380,Zach Collins,8,56,64,0.125
2020-21,1628464,Daniel Theis,8,170,178,0.0449438202247191
2021-22,202684,Tristan Thompson,9,83,92,0.09782608695652174
2020-21,1628976,Wendell Carter Jr.,12,240,252,0.047619047619047616
2024-25,1629659,Talen Horton-Tucker,14,277,291,0.048109965635738834
2016-17,1627756,Denzel Valentine,14,274,288,0.04861111111111111
2024-25,1628989,Kevin Huerter,18,276,294,0.061224489795918366
2025-26,1630172,Patrick Williams,23,455,478,0.04811715481171548
2018-19,1629102,Brandon Sampson,4,56,60,0.06666666666666667
2025-26,1631159,Leonard Miller,5,224,229,0.021834061135371178
2023-24,1629750,Javonte Green,5,70,75,0.06666666666666667
2022-23,1627884,Derrick Jones Jr.,5,225,230,0.021739130434782608
2018-19,203960,JaKarr Sampson,5,49,54,0.09259259259259259
2024-25,1628366,Lonzo Ball,6,237,243,0.024691358024691357
2022-23,1629750,Javonte Green,6,102,108,0.05555555555555555
2021-22,1630172,Patrick Williams,6,96,102,0.058823529411764705
2017-18,1627770,Kay Felder,6,60,66,0.09090909090909091
2016-17,1627835,Paul Zipser,8,213,221,0.03619909502262444
2022-23,201976,Patrick Beverley,9,110,119,0.07563025210084033
2021-22,1627884,Derrick Jones Jr.,9,186,195,0.046153846153846156
2020-21,1627853,Ryan Arcidiacono,10,107,117,0.08547008547008547
2017-18,203897,Zach LaVine,10,345,355,0.028169014084507043
2017-18,203930,Sean Kilpatrick,12,95,107,0.11214953271028037
2017-18,1627835,Paul Zipser,14,220,234,0.05982905982905983
2024-25,1630604,E.J. Liddell,2,13,15,0.13333333333333333
2019-20,1629655,Daniel Gafford,3,131,134,0.022388059701492536
2017-18,1627853,Ryan Arcidiacono,3,38,41,0.07317073170731707
2017-18,203943,Noah Vonleh,4,134,138,0.028985507246376812
2015-16,2550,Kirk Hinrich,5,113,118,0.0423728813559322
2015-16,201959,Taj Gibson,5,495,500,0.01
2024-25,1630188,Jalen Smith,6,402,408,0.014705882352941176
2018-19,1626245,Cristiano Felicio,6,173,179,0.0335195530726257
2025-26,1627824,Guerschon Yabusele,7,198,205,0.03414634146341464
2015-16,1626171,Bobby Portis Jr.,7,429,436,0.016055045871559634
2018-19,203200,Justin Holiday,8,386,394,0.02030456852791878
2015-16,202703,Nikola Mirotic,8,601,609,0.013136288998357963
2025-26,1630208,Nick Richards,9,121,130,0.06923076923076923
2021-22,1628366,Lonzo Ball,9,374,383,0.02349869451697128
2024-25,1641763,Julian Phillips,10,277,287,0.03484320557491289
2025-26,1631093,Jaden Ivey,1,35,36,0.027777777777777776
2024-25,1628470,Torrey Craig,1,44,45,0.022222222222222223
2024-25,1630537,Chris Duarte,1,25,26,0.038461538461538464
2024-25,1641766,Adama Sanogo,1,6,7,0.14285714285714285
2024-25,1642443,Jahmir Young,1,4,5,0.2
2022-23,1631207,Dalen Terry,1,71,72,0.013888888888888888
2020-21,202329,Al-Farouq Aminu,1,9,10,0.1
2020-21,1628972,Troy Brown Jr.,1,54,55,0.01818181818181818
2020-21,1628990,Chandler Hutchison,1,17,18,0.05555555555555555
2017-18,202347,Quincy Pondexter,1,48,49,0.02040816326530612
2016-17,1626245,Cristiano Felicio,1,220,221,0.004524886877828055
2025-26,1641763,Julian Phillips,2,86,88,0.022727272727272728
2025-26,1641801,Emanuel Miller,2,11,13,0.15384615384615385
2022-23,1630250,Marko Simonovic,2,5,7,0.2857142857142857
2022-23,1630637,Carlik Jones,2,13,15,0.13333333333333333
2021-22,1630792,Malcolm Hill,2,42,44,0.045454545454545456
2020-21,1629653,Devon Dotson,2,19,21,0.09523809523809523
2018-19,1628959,Rawle Alkins,2,37,39,0.05128205128205128
2023-24,1630678,Terry Taylor,3,36,39,0.07692307692307693
2023-24,1641766,Adama Sanogo,3,24,27,0.1111111111111111
2019-20,1626245,Cristiano Felicio,3,51,54,0.05555555555555555
2015-16,2399,Mike Dunleavy,3,185,188,0.015957446808510637
2023-24,1641763,Julian Phillips,4,73,77,0.05194805194805195
2021-22,1628035,Alfonzo McKinnie,4,57,61,0.06557377049180328
2017-18,1628469,Antonio Blakeney,4,139,143,0.027972027972027972
2021-22,1629744,Matt Thomas,5,129,134,0.03731343283582089
2018-19,1627215,Walt Lemon Jr.,5,82,87,0.05747126436781609
2016-17,203530,Joffrey Lauvergne,5,87,92,0.05434782608695652
2017-18,1626245,Cristiano Felicio,6,209,215,0.027906976744186046
2022-23,1627936,Alex Caruso,7,279,286,0.024475524475524476
2025-26,1631207,Dalen Terry,9,93,102,0.08823529411764706
2021-22,1627936,Alex Caruso,12,244,256,0.046875
2025-26,1631338,Mouhamadou Gueye,0,11,11,0.0
2025-26,1642280,Trentyn Flowers,0,3,3,0.0
2025-26,1642855,Noa Essengue,0,3,3,0.0
2024-25,1641801,Emanuel Miller,0,8,8,0.0
2023-24,1630929,Henri Drell,0,10,10,0.0
2022-23,1630792,Malcolm Hill,0,4,4,0.0
2021-22,1628395,Jordan Bell,0,0,0,
2021-22,1629076,Tyler Cook,0,38,38,0.0
2021-22,1630250,Marko Simonovic,0,15,15,0.0
2021-22,1630644,Mac McClung,0,1,1,0.0
2020-21,1626245,Cristiano Felicio,0,13,13,0.0
2020-21,1628436,Luke Kornet,0,27,27,0.0
2020-21,1629690,Adam Mokoka,0,19,19,0.0
2019-20,1629622,Max Strus,0,3,3,0.0
2019-20,1629690,Adam Mokoka,0,28,28,0.0
2018-19,1627755,Tyler Ulis,0,0,0,
2018-19,1627789,Timothe Luwawu-Cabarrot,0,175,175,0.0
2017-18,201600,Omer Asik,0,6,6,0.0
2017-18,204067,Jarell Eddie,0,1,1,0.0
2016-17,201627,Anthony Morrow,0,29,29,0.0
2016-17,1626154,RJ Hunter,0,1,1,0.0
2015-16,201149,Joakim Noah,0,133,133,0.0
2023-24,1641847,Andrew Funk,1,3,4,0.25
2022-23,1628396,Tony Bradley,1,11,12,0.08333333333333333
2022-23,1630678,Terry Taylor,1,9,10,0.1
2021-22,1629653,Devon Dotson,1,22,23,0.043478260869565216
2015-16,203200,Justin Holiday,1,154,155,0.0064516129032258064
2015-16,203946,Cameron Bairstow,1,39,40,0.025
2015-16,1626245,Cristiano Felicio,1,71,72,0.013888888888888888
2025-26,1630644,Mac McClung,2,39,41,0.04878048780487805
2021-22,1628993,Alize Johnson,2,21,23,0.08695652173913043
2020-21,1629655,Daniel Gafford,2,85,87,0.022988505747126436
2017-18,202703,Nikola Mirotic,2,300,302,0.006622516556291391
2025-26,1642530,Yuki Kawamura,3,49,52,0.057692307692307696
2020-21,1629750,Javonte Green,3,28,31,0.0967741935483871
