SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK
2024-25,202696,Nikola Vučević,73,1038,148,103,890,0.14258188824662812,2.0273972602739727,0.6959459459459459,1.3918918918918919,0,1
2024-25,1630581,Josh Giddey,70,798,186,88,612,0.23308270676691728,2.657142857142857,0.4731182795698925,0.946236559139785,1,2
2023-24,202696,Nikola Vučević,76,1211,133,79,1078,0.10982658959537572,1.75,0.5939849624060151,1.1879699248120301,0,3
2025-26,1630581,Josh Giddey,54,717,156,67,561,0.2175732217573222,2.888888888888889,0.42948717948717946,0.8589743589743589,1,4
2025-26,202696,Nikola Vučević,48,660,107,62,553,0.1621212121212121,2.2291666666666665,0.5794392523364486,1.158878504672897,0,5
2015-16,201565,Derrick Rose,66,1048,108,60,940,0.10305343511450382,1.6363636363636365,0.5555555555555556,1.1111111111111112,0,6
2025-26,1630200,Tre Jones,65,617,113,56,504,0.18314424635332252,1.7384615384615385,0.49557522123893805,0.9911504424778761,1,7
2022-23,202696,Nikola Vučević,82,1148,77,52,1071,0.06707317073170732,0.9390243902439024,0.6753246753246753,1.3506493506493507,0,8
2023-24,201942,DeMar DeRozan,79,1355,83,50,1272,0.061254612546125464,1.0506329113924051,0.6024096385542169,1.2048192771084338,0,9
2019-20,203107,Tomas Satoransky,65,551,104,48,447,0.18874773139745918,1.6,0.46153846153846156,0.9230769230769231,0,10
2020-21,201152,Thaddeus Young,68,662,84,45,578,0.1268882175226586,1.2352941176470589,0.5357142857142857,1.0714285714285714,0,11
2023-24,1629632,Coby White,79,1209,121,44,1088,0.1000827129859388,1.5316455696202531,0.36363636363636365,0.7272727272727273,1,12
2021-22,201942,DeMar DeRozan,76,1535,92,43,1443,0.05993485342019544,1.2105263157894737,0.4673913043478261,0.9347826086956522,0,13
2021-22,202696,Nikola Vučević,73,1154,72,41,1082,0.06239168110918544,0.9863013698630136,0.5694444444444444,1.1388888888888888,0,14
2016-17,2548,Dwyane Wade,60,955,77,38,878,0.0806282722513089,1.2833333333333334,0.4935064935064935,0.987012987012987,0,15
