SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK,excluded_non_two_point,league_floater_fga,league_floater_fgm,league_floater_fg_pct,rFG_PCT
2024-25,202696,Nikola Vučević,73,1038,148,103,890,0.1425818882466281,2.0273972602739727,0.6959459459459459,1.391891891891892,0,1,178,20620,9231,0.4476721629485936,24.827378299735237
2024-25,1630581,Josh Giddey,70,798,186,88,612,0.2330827067669172,2.657142857142857,0.4731182795698925,0.946236559139785,1,2,178,20620,9231,0.4476721629485936,2.544611662129892
2023-24,202696,Nikola Vučević,76,1211,133,79,1078,0.1098265895953757,1.75,0.5939849624060151,1.18796992481203,0,3,115,18233,8220,0.4508309109855756,14.315405142043947
2025-26,1630581,Josh Giddey,54,717,156,67,561,0.2175732217573222,2.888888888888889,0.4294871794871794,0.8589743589743589,1,4,45,19074,8601,0.4509279647687952,-2.1440785281615806
2025-26,202696,Nikola Vučević,48,660,107,62,553,0.1621212121212121,2.2291666666666665,0.5794392523364486,1.158878504672897,0,5,45,19074,8601,0.4509279647687952,12.851128756765334
2015-16,201565,Derrick Rose,66,1048,108,60,940,0.1030534351145038,1.6363636363636365,0.5555555555555556,1.1111111111111112,0,6,47,7927,3983,0.5024599470165257,5.309560853902983
2025-26,1630200,Tre Jones,65,617,113,56,504,0.1831442463533225,1.7384615384615385,0.495575221238938,0.991150442477876,1,7,45,19074,8601,0.4509279647687952,4.464725647014278
2022-23,202696,Nikola Vučević,82,1148,77,52,1071,0.0670731707317073,0.9390243902439024,0.6753246753246753,1.3506493506493509,0,8,55,18878,8658,0.4586290920648374,21.669558325983797
2023-24,201942,DeMar DeRozan,79,1355,83,50,1272,0.0612546125461254,1.0506329113924051,0.6024096385542169,1.2048192771084338,0,9,115,18233,8220,0.4508309109855756,15.157872756864133
2019-20,203107,Tomas Satoransky,65,551,104,48,447,0.1887477313974591,1.6,0.4615384615384615,0.9230769230769232,0,10,40,14427,6278,0.43515630415193735,2.6382157386524163
2020-21,201152,Thaddeus Young,68,662,84,45,578,0.1268882175226586,1.2352941176470589,0.5357142857142857,1.0714285714285714,0,11,27,15120,6761,0.44715608465608464,8.855820105820106
2023-24,1629632,Coby White,79,1209,121,44,1088,0.1000827129859388,1.5316455696202531,0.3636363636363636,0.7272727272727273,1,12,115,18233,8220,0.4508309109855756,-8.7194547349212
2021-22,201942,DeMar DeRozan,76,1535,92,43,1443,0.0599348534201954,1.2105263157894737,0.4673913043478261,0.9347826086956522,0,13,58,16960,7616,0.4490566037735849,1.8334700574241192
2021-22,202696,Nikola Vučević,73,1154,72,41,1082,0.0623916811091854,0.9863013698630136,0.5694444444444444,1.1388888888888888,0,14,58,16960,7616,0.4490566037735849,12.03878406708595
2016-17,2548,Dwyane Wade,60,955,77,38,878,0.0806282722513089,1.2833333333333334,0.4935064935064935,0.987012987012987,0,15,50,8582,4123,0.4804241435562806,1.3082349950212901
