SEASON,excluded_non_two_point,league_layup_fga,league_layup_fgm,league_layup_fg_pct
2010-11,1,44270,26501,0.5986220917099616
2008-09,1,49189,26951,0.5479070523897619
2022-23,0,54099,31409,0.5805837446163515
2018-19,0,56048,31075,0.5544354838709677
2025-26,0,53083,30766,0.5795829173181621
2012-13,0,46432,26736,0.5758097863542384
2009-10,0,50818,28818,0.5670825298122713
2020-21,0,48053,26837,0.5584875033816827
2024-25,0,52943,30251,0.5713880966322271
2023-24,0,55241,31776,0.575224923516953
2019-20,0,47863,26260,0.5486492697908614
2006-07,2,49290,27609,0.5601339013998783
2013-14,0,46717,27257,0.5834492797054606
