SEASON,TEAM_ID,TEAM_NAME,GP,FGA,FGM,shot_fga,shot_fgm,shot_gp,fga_delta,fgm_delta,gp_delta
2010-11,1610612737,Atlanta Hawks,82,6429,2971,6429,2971,82,0,0,0
2010-11,1610612738,Boston Celtics,82,6219,3023,6219,3023,82,0,0,0
2010-11,1610612739,Cleveland Cavaliers,82,6647,2886,6647,2886,82,0,0,0
2010-11,1610612740,New Orleans Hornets,82,6416,2944,6416,2944,82,0,0,0
2010-11,1610612741,Chicago Bulls,82,6587,3042,6587,3042,82,0,0,0
2010-11,1610612742,Dallas Mavericks,82,6463,3069,6463,3069,82,0,0,0
2010-11,1610612743,Denver Nuggets,82,6613,3145,6613,3145,82,0,0,0
2010-11,1610612744,Golden State Warriors,82,7047,3251,7047,3251,82,0,0,0
2010-11,1610612745,Houston Rockets,82,6975,3170,6975,3170,82,0,0,0
2010-11,1610612746,Los Angeles Clippers,82,6594,3015,6594,3015,82,0,0,0
2010-11,1610612747,Los Angeles Lakers,82,6757,3128,6757,3128,82,0,0,0
2010-11,1610612748,Miami Heat,82,6301,3031,6301,3031,82,0,0,0
2010-11,1610612749,Milwaukee Bucks,82,6544,2814,6544,2814,82,0,0,0
2010-11,1610612750,Minnesota Timberwolves,82,7014,3090,7014,3090,82,0,0,0
2010-11,1610612751,New Jersey Nets,82,6638,2918,6638,2918,82,0,0,0
2010-11,1610612752,New York Knicks,82,6867,3140,6867,3140,82,0,0,0
2010-11,1610612753,Orlando Magic,82,6411,2956,6411,2956,82,0,0,0
2010-11,1610612754,Indiana Pacers,82,6787,3003,6787,3003,82,0,0,0
2010-11,1610612755,Philadelphia 76ers,82,6776,3125,6776,3125,82,0,0,0
2010-11,1610612756,Phoenix Suns,82,6844,3219,6844,3219,82,0,0,0
2010-11,1610612757,Portland Trail Blazers,82,6599,2951,6599,2951,82,0,0,0
2010-11,1610612758,Sacramento Kings,82,6979,3134,6979,3134,82,0,0,0
2010-11,1610612759,San Antonio Spurs,82,6628,3148,6628,3148,82,0,0,0
2010-11,1610612760,Oklahoma City Thunder,82,6609,3066,6609,3066,82,0,0,0
2010-11,1610612761,Toronto Raptors,82,6755,3144,6755,3144,82,0,0,0
2010-11,1610612762,Utah Jazz,82,6590,3064,6590,3064,82,0,0,0
2010-11,1610612763,Memphis Grizzlies,82,6801,3200,6801,3200,82,0,0,0
2010-11,1610612764,Washington Wizards,82,6888,3048,6888,3048,82,0,0,0
2010-11,1610612765,Detroit Pistons,82,6647,3056,6647,3056,82,0,0,0
2010-11,1610612766,Charlotte Bobcats,82,6365,2873,6365,2873,82,0,0,0
2008-09,1610612737,Atlanta Hawks,82,6451,2956,6451,2956,82,0,0,0
2008-09,1610612738,Boston Celtics,82,6333,3075,6333,3075,82,0,0,0
2008-09,1610612739,Cleveland Cavaliers,82,6454,3022,6454,3022,82,0,0,0
2008-09,1610612740,New Orleans Hornets,82,6366,2911,6366,2911,82,0,0,0
2008-09,1610612741,Chicago Bulls,82,6846,3126,6846,3126,82,0,0,0
2008-09,1610612742,Dallas Mavericks,82,6770,3128,6770,3128,82,0,0,0
2008-09,1610612743,Denver Nuggets,82,6510,3058,6510,3058,82,0,0,0
2008-09,1610612744,Golden State Warriors,82,7055,3231,7055,3231,82,0,0,0
2008-09,1610612745,Houston Rockets,82,6526,2959,6526,2959,82,0,0,0
2008-09,1610612746,Los Angeles Clippers,82,6696,2955,6696,2955,82,0,0,0
2008-09,1610612747,Los Angeles Lakers,82,6981,3307,6981,3307,82,0,0,0
2008-09,1610612748,Miami Heat,82,6646,3034,6646,3034,82,0,0,0
2008-09,1610612749,Milwaukee Bucks,82,6755,3009,6755,3009,82,0,0,0
2008-09,1610612750,Minnesota Timberwolves,82,6766,2986,6766,2986,82,0,0,0
2008-09,1610612751,New Jersey Nets,82,6536,2925,6536,2925,82,0,0,0
2008-09,1610612752,New York Knicks,82,7091,3157,7091,3157,82,0,0,0
2008-09,1610612753,Orlando Magic,82,6416,2929,6416,2929,82,0,0,0
2008-09,1610612754,Indiana Pacers,82,7080,3220,7080,3220,82,0,0,0
2008-09,1610612755,Philadelphia 76ers,82,6532,2997,6532,2997,82,0,0,0
2008-09,1610612756,Phoenix Suns,82,6695,3373,6695,3373,82,0,0,0
2008-09,1610612757,Portland Trail Blazers,82,6494,3018,6494,3018,82,0,0,0
2008-09,1610612758,Sacramento Kings,82,6685,2990,6685,2990,82,0,0,0
2008-09,1610612759,San Antonio Spurs,82,6534,3042,6534,3042,82,0,0,0
2008-09,1610612760,Oklahoma City Thunder,82,6716,2999,6716,2999,82,0,0,0
2008-09,1610612761,Toronto Raptors,82,6673,3054,6673,3054,82,0,0,0
2008-09,1610612762,Utah Jazz,82,6623,3143,6623,3143,82,0,0,0
2008-09,1610612763,Memphis Grizzlies,82,6311,2865,6311,2865,82,0,0,0
2008-09,1610612764,Washington Wizards,82,6655,2994,6655,2994,82,0,0,0
2008-09,1610612765,Detroit Pistons,82,6559,2981,6559,2981,82,0,0,0
2008-09,1610612766,Charlotte Bobcats,82,6299,2866,6299,2866,82,0,0,0
2022-23,1610612737,Atlanta Hawks,82,7574,3658,7574,3658,82,0,0,0
2022-23,1610612738,Boston Celtics,82,7278,3460,7278,3460,82,0,0,0
2022-23,1610612739,Cleveland Cavaliers,82,6984,3408,6984,3408,82,0,0,0
2022-23,1610612740,New Orleans Pelicans,82,7180,3447,7180,3447,82,0,0,0
2022-23,1610612741,Chicago Bulls,82,7116,3488,7116,3488,82,0,0,0
2022-23,1610612742,Dallas Mavericks,82,6909,3283,6909,3283,82,0,0,0
2022-23,1610612743,Denver Nuggets,82,7088,3574,7088,3574,82,0,0,0
2022-23,1610612744,Golden State Warriors,82,7393,3538,7393,3538,82,0,0,0
2022-23,1610612745,Houston Rockets,82,7287,3329,7287,3329,82,0,0,0
2022-23,1610612746,LA Clippers,82,7060,3370,7060,3370,82,0,0,0
2022-23,1610612747,Los Angeles Lakers,82,7298,3516,7298,3516,82,0,0,0
2022-23,1610612748,Miami Heat,82,6991,3215,6991,3215,82,0,0,0
