SEASON,games,official_gp,shots,official_fga,makes,official_fgm
2000-01,82,82,6411,6411,2721,2721
2001-02,82,82,6491,6491,2811,2811
2002-03,82,82,6714,6714,2991,2991
2003-04,82,82,6753,6753,2798,2798
2004-05,82,82,6592,6592,2849,2849
2005-06,82,82,6737,6737,3004,3004
2006-07,82,82,6663,6663,3046,3046
2007-08,82,82,6861,6861,2987,2987
2008-09,82,82,6846,6846,3126,3126
2009-10,82,82,6825,6825,3081,3081
2010-11,82,82,6587,6587,3042,3042
2011-12,66,66,5462,5462,2467,2467
2012-13,82,82,6698,6698,2926,2926
2013-14,82,82,6577,6577,2843,2843
2014-15,82,82,6797,6797,3001,3001
2015-16,82,82,7170,7170,3165,3165
2016-17,82,82,7141,7141,3169,3169
2017-18,82,82,7285,7285,3170,3170
2018-19,82,82,7205,7205,3266,3266
2019-20,65,65,5762,5762,2573,2573
2020-21,72,72,6380,6380,3035,3035
2021-22,82,82,7127,7127,3422,3422
2022-23,82,82,7116,7116,3488,3488
2023-24,82,82,7339,7339,3448,3448
2024-25,82,82,7545,7545,3543,3543
2025-26,82,82,7417,7417,3476,3476
