SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,RANK
2010-11,201565,Derrick Rose,81,1597,479,276,1118,0.2999373825923607,5.91358024691358,0.5762004175365344,1.1524008350730688,1
2008-09,201565,Derrick Rose,81,1208,455,258,753,0.37665562913907286,5.617283950617284,0.567032967032967,1.134065934065934,2
2022-23,203897,Zach LaVine,77,1388,421,250,967,0.30331412103746397,5.467532467532467,0.5938242280285035,1.187648456057007,3
2018-19,203897,Zach LaVine,63,1135,439,238,696,0.38678414096916297,6.968253968253968,0.5421412300683371,1.0842824601366743,4
2025-26,1630200,Tre Jones,65,617,336,228,281,0.5445705024311183,5.1692307692307695,0.6785714285714286,1.3571428571428572,5
2012-13,2430,Carlos Boozer,79,1140,333,220,807,0.29210526315789476,4.215189873417722,0.6606606606606606,1.3213213213213213,6
2009-10,201565,Derrick Rose,78,1373,405,218,968,0.2949745083758194,5.1923076923076925,0.5382716049382716,1.0765432098765433,7
2020-21,203897,Zach LaVine,58,1123,362,209,761,0.3223508459483526,6.241379310344827,0.5773480662983426,1.1546961325966851,8
2024-25,1629632,Coby White,74,1121,338,204,783,0.3015165031222123,4.5675675675675675,0.6035502958579881,1.2071005917159763,9
2023-24,1629632,Coby White,79,1209,338,199,871,0.27956989247311825,4.2784810126582276,0.5887573964497042,1.1775147928994083,10
2019-20,203897,Zach LaVine,60,1199,408,198,791,0.3402835696413678,6.8,0.4852941176470588,0.9705882352941176,11
2010-11,2736,Luol Deng,82,1155,296,193,859,0.25627705627705627,3.6097560975609757,0.652027027027027,1.304054054054054,12
2010-11,2430,Carlos Boozer,59,845,294,192,551,0.3479289940828402,4.983050847457627,0.6530612244897959,1.3061224489795917,13
2006-07,2736,Luol Deng,82,1218,327,191,891,0.2684729064039409,3.9878048780487805,0.5840978593272171,1.1681957186544343,14
2013-14,2430,Carlos Boozer,76,980,317,189,663,0.32346938775510203,4.171052631578948,0.5962145110410094,1.1924290220820188,15
