SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,RANK,excluded_non_two_point,league_layup_fga,league_layup_fgm,league_layup_fg_pct,rFG_PCT
2010-11,201565,Derrick Rose,81,1597,479,276,1118,0.2999373825923607,5.91358024691358,0.5762004175365344,1.1524008350730688,1,1,44270,26501,0.5986220917099616,-2.242167417342722
2008-09,201565,Derrick Rose,81,1208,455,258,753,0.3766556291390728,5.617283950617284,0.567032967032967,1.134065934065934,2,1,49189,26951,0.5479070523897619,1.9125914643205122
2022-23,203897,Zach LaVine,77,1388,421,250,967,0.3033141210374639,5.467532467532467,0.5938242280285035,1.187648456057007,3,0,54099,31409,0.5805837446163515,1.3240483412152004
2018-19,203897,Zach LaVine,63,1135,439,238,696,0.3867841409691629,6.968253968253968,0.5421412300683371,1.0842824601366745,4,0,56048,31075,0.5544354838709677,-1.2294253802630606
2025-26,1630200,Tre Jones,65,617,336,228,281,0.5445705024311183,5.1692307692307695,0.6785714285714286,1.3571428571428572,5,0,53083,30766,0.5795829173181621,9.898851125326647
2012-13,2430,Carlos Boozer,79,1140,333,220,807,0.2921052631578947,4.215189873417722,0.6606606606606606,1.3213213213213213,6,0,46432,26736,0.5758097863542384,8.485087430642224
2009-10,201565,Derrick Rose,78,1373,405,218,968,0.2949745083758194,5.1923076923076925,0.5382716049382716,1.0765432098765433,7,0,50818,28818,0.5670825298122713,-2.881092487399961
2020-21,203897,Zach LaVine,58,1123,362,209,761,0.3223508459483526,6.241379310344827,0.5773480662983426,1.1546961325966851,8,0,48053,26837,0.5584875033816827,1.8860562916659829
2024-25,1629632,Coby White,74,1121,338,204,783,0.3015165031222123,4.5675675675675675,0.6035502958579881,1.2071005917159765,9,0,52943,30251,0.5713880966322271,3.2162199225761023
2023-24,1629632,Coby White,79,1209,338,199,871,0.2795698924731182,4.2784810126582276,0.5887573964497042,1.1775147928994083,10,0,55241,31776,0.575224923516953,1.3532472932751172
2019-20,203897,Zach LaVine,60,1199,408,198,791,0.3402835696413678,6.8,0.4852941176470588,0.9705882352941176,11,0,47863,26260,0.5486492697908614,-6.335515214380255
2010-11,2736,Luol Deng,82,1155,296,193,859,0.2562770562770562,3.609756097560976,0.652027027027027,1.304054054054054,12,1,44270,26501,0.5986220917099616,5.340493531706536
2010-11,2430,Carlos Boozer,59,845,294,192,551,0.3479289940828402,4.983050847457627,0.6530612244897959,1.3061224489795915,13,1,44270,26501,0.5986220917099616,5.443913277983425
2006-07,2736,Luol Deng,82,1218,327,191,891,0.2684729064039409,3.987804878048781,0.5840978593272171,1.1681957186544345,14,2,49290,27609,0.5601339013998783,2.3963957927338853
2013-14,2430,Carlos Boozer,76,980,317,189,663,0.323469387755102,4.171052631578948,0.5962145110410094,1.1924290220820188,15,0,46717,27257,0.5834492797054606,1.2765231335548854
