season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,rank
2026,2025–26,1630200,Tre Jones,0022500565,2026-01-13,CHI @ HOU,HOU,L,27.15,34,11,12,5,6,7,8,1,1,2,7,1,0,2,0,2,34.5,109.53608247422682,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-01-13,CHI @ HOU,L,113,-6,2020s,1
2026,2025–26,1641824,Matas Buzelis,0022500943,2026-03-10,CHI @ GSW,GSW,W,45.2,41,16,28,5,15,4,5,1,5,6,2,2,2,1,1,8,33.0,67.88079470198676,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-03-10,CHI @ GSW,W,130,6,2020s,2
2026,2025–26,202696,Nikola Vučević,0022500573,2026-01-14,CHI vs. UTA,UTA,W,30.916666666666668,35,14,22,2,6,5,6,4,3,7,5,0,2,1,1,0,32.0,71.02272727272727,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-01-14,CHI vs. UTA,W,128,2,2020s,3
2026,2025–26,1630581,Josh Giddey,0022500023,2025-10-31,CHI vs. NYK,NYK,W,38.483333333333334,32,12,21,4,8,4,6,0,10,10,9,1,0,0,1,5,31.2,67.68189509306261,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2025-10-31,CHI vs. NYK,W,135,10,2020s,4
2026,2025–26,1630581,Josh Giddey,0022500329,2025-12-03,CHI vs. BKN,BKN,L,36.016666666666666,28,10,14,0,2,8,11,2,9,11,11,0,0,3,0,3,29.799999999999997,74.3099787685775,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2025-12-03,CHI vs. BKN,L,103,-10,2020s,5
2026,2025–26,1630200,Tre Jones,0022501166,2026-04-09,CHI @ WAS,WAS,W,30.05,31,9,14,1,3,12,12,0,6,6,3,1,0,0,2,19,28.900000000000002,80.39419087136929,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-04-09,CHI @ WAS,W,119,11,2020s,6
2026,2025–26,1630581,Josh Giddey,0022500167,2025-11-04,CHI vs. PHI,PHI,W,37.4,29,10,19,2,4,7,8,3,12,15,12,1,0,5,3,8,28.200000000000003,64.38721136767317,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2025-11-04,CHI vs. PHI,W,113,2,2020s,7
2026,2025–26,1630581,Josh Giddey,0022500960,2026-03-12,CHI @ LAL,LAL,L,39.766666666666666,27,10,17,6,9,1,2,2,6,8,15,2,0,6,1,-8,28.000000000000007,75.503355704698,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-03-12,CHI @ LAL,L,130,-12,2020s,8
2026,2025–26,202696,Nikola Vučević,0022500489,2026-01-03,CHI vs. CHA,CHA,L,33.983333333333334,28,11,15,3,4,3,4,0,7,7,8,0,1,2,2,-9,27.1,83.53221957040572,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-01-03,CHI vs. CHA,L,99,-13,2020s,9
2026,2025–26,1630581,Josh Giddey,0022500071,2025-11-28,CHI @ CHA,CHA,L,33.25,25,8,16,3,7,6,7,0,11,11,9,1,0,0,1,6,26.800000000000004,65.51362683438155,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2025-11-28,CHI @ CHA,L,116,-7,2020s,10
