HTM,MEAN_VISITOR_DELTA
UTA,-4.209713926731939
WAS,-3.3187006190376223
BKN,-3.1333108462297394
MEM,-3.026199790637206
DET,-2.0202237293227383
SAC,-1.7937361477736053
CHI,-1.6825228817569329
NOP,-1.5040347677536379
LAC,-0.7464126593673449
MIL,-0.7195160586293471
DAL,-0.34570332103978774
PHX,-0.05499367989826053
GSW,0.18609303527600585
CHA,0.23661663553679832
DEN,0.49987010168238943
ATL,0.5197779030336221
CLE,0.6886849934454489
NYK,0.8659973842639603
PHI,0.9637474468321443
BOS,1.039167719998154
MIA,1.3255984595909989
LAL,1.4256760320494117
POR,1.9392227914887343
TOR,2.0165961646629063
IND,2.198990460435035
MIN,2.5342300685359413
OKC,3.06657973183815
SAS,3.247309557083065
ORL,3.3524145205253193
HOU,3.4004362821339518
