FAMILY,FGA,FGM,FG_PCT,SHARE,LEAGUE_SHARE,DIFF,RANK
Standard jumpers,2562,943,36.807181889149106,34.5422677632466,29.479375798503376,5.062891964743223,2
Layups,2278,1337,58.691834942932395,30.713226371848457,24.221116992151853,6.492109379696604,2
Floaters,709,329,46.403385049365305,9.559120938384792,8.72376346048549,0.8353574778993025,9
Pull-ups,581,217,37.34939759036144,7.833355804233517,13.535772951268479,-5.702417147034962,30
Dunks,305,265,86.88524590163934,4.112174733719833,6.148019711626209,-2.0358449779063763,28
Hooks,247,124,50.20242914979757,3.3301874073075366,2.5921701040335825,0.7380173032739541,7
Running jumpers,245,88,35.91836734693877,3.303222327086423,2.9590253695929913,0.3441969574934318,9
Step-backs,194,63,32.47422680412371,2.615612781448025,5.1861653586420875,-2.5705525771940625,29
Turnarounds/fades,158,51,32.278481012658226,2.130241337467979,5.010494615805804,-2.880253278337825,30
Tip-ins,138,59,42.7536231884058,1.8605905352568426,2.1440956378901257,-0.2835051026332831,21
