TEAM_ID,SHOT_FGA,SHOT_FGM,TEAM_NAME,FGA,FGM,FGA_DIFF,FGM_DIFF
1610612737,7541,3575,Atlanta Hawks,7541,3575,0,0
1610612738,7398,3456,Boston Celtics,7398,3456,0,0
1610612739,7381,3554,Cleveland Cavaliers,7381,3554,0,0
1610612740,7420,3455,New Orleans Pelicans,7420,3455,0,0
1610612741,7417,3476,Chicago Bulls,7417,3476,0,0
1610612742,7366,3432,Dallas Mavericks,7366,3432,0,0
1610612743,7196,3570,Denver Nuggets,7196,3570,0,0
1610612744,7280,3357,Golden State Warriors,7280,3357,0,0
1610612745,7362,3523,Houston Rockets,7362,3523,0,0
1610612746,6857,3322,LA Clippers,6857,3322,0,0
1610612747,6863,3448,Los Angeles Lakers,6863,3448,0,0
1610612748,7648,3582,Miami Heat,7648,3582,0,0
1610612749,7012,3345,Milwaukee Bucks,7012,3345,0,0
1610612750,7260,3495,Minnesota Timberwolves,7260,3495,0,0
1610612751,6933,3071,Brooklyn Nets,6933,3071,0,0
1610612752,7328,3500,New York Knicks,7328,3500,0,0
1610612753,7244,3363,Orlando Magic,7244,3363,0,0
1610612754,7304,3346,Indiana Pacers,7304,3346,0,0
1610612755,7404,3422,Philadelphia 76ers,7404,3422,0,0
1610612756,7389,3362,Phoenix Suns,7389,3362,0,0
1610612757,7389,3350,Portland Trail Blazers,7389,3350,0,0
1610612758,7299,3408,Sacramento Kings,7299,3408,0,0
1610612759,7371,3562,San Antonio Spurs,7371,3562,0,0
1610612760,7307,3534,Oklahoma City Thunder,7307,3534,0,0
1610612761,7250,3495,Toronto Raptors,7250,3495,0,0
1610612762,7469,3489,Utah Jazz,7469,3489,0,0
1610612763,7431,3390,Memphis Grizzlies,7431,3390,0,0
1610612764,7409,3428,Washington Wizards,7409,3428,0,0
1610612765,7340,3560,Detroit Pistons,7340,3560,0,0
1610612766,7292,3357,Charlotte Hornets,7292,3357,0,0
