loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-233,92,True,3PT,Above the Break 3,25,0022400013,20241115,Left Side Center(LC)
-230,10,True,3PT,Left Corner 3,23,0022400013,20241115,Left Side(L)
-228,-16,True,3PT,Left Corner 3,22,0022400013,20241115,Left Side(L)
4,0,True,2PT,Restricted Area,0,0022400030,20241122,Center(C)
-32,24,False,2PT,In The Paint (Non-RA),4,0022400030,20241122,Center(C)
-5,5,True,2PT,Restricted Area,0,0022400030,20241122,Center(C)
-15,3,False,2PT,Restricted Area,1,0022400030,20241122,Center(C)
-229,-8,True,3PT,Left Corner 3,22,0022400030,20241122,Left Side(L)
-135,228,False,3PT,Above the Break 3,26,0022400030,20241122,Left Side Center(LC)
-223,17,False,3PT,Left Corner 3,22,0022400030,20241122,Left Side(L)
-227,-5,False,3PT,Left Corner 3,22,0022400030,20241122,Left Side(L)
228,88,False,3PT,Above the Break 3,24,0022400035,20241126,Right Side Center(RC)
-237,44,False,3PT,Left Corner 3,24,0022400035,20241126,Left Side(L)
237,-8,False,3PT,Right Corner 3,23,0022400035,20241126,Right Side(R)
-2,64,True,2PT,In The Paint (Non-RA),6,0022400035,20241126,Center(C)
-21,13,True,2PT,Restricted Area,2,0022400035,20241126,Center(C)
-240,11,True,3PT,Left Corner 3,24,0022400035,20241126,Left Side(L)
9,53,True,2PT,In The Paint (Non-RA),5,0022400035,20241126,Center(C)
80,243,False,3PT,Above the Break 3,25,0022400047,20241129,Right Side Center(RC)
-2,0,True,2PT,Restricted Area,0,0022400047,20241129,Center(C)
-234,70,False,3PT,Left Corner 3,24,0022400069,20241023,Left Side(L)
233,0,False,3PT,Right Corner 3,23,0022400069,20241023,Right Side(R)
102,226,False,3PT,Above the Break 3,24,0022400069,20241023,Right Side Center(RC)
224,129,False,3PT,Above the Break 3,25,0022400083,20241025,Right Side Center(RC)
-145,34,True,2PT,Mid-Range,14,0022400083,20241025,Left Side(L)
-40,153,False,2PT,Mid-Range,15,0022400083,20241025,Center(C)
-107,73,False,2PT,Mid-Range,12,0022400091,20241026,Left Side(L)
2,17,False,2PT,Restricted Area,1,0022400091,20241026,Center(C)
0,0,True,2PT,Restricted Area,0,0022400091,20241026,Center(C)
233,-12,False,3PT,Right Corner 3,23,0022400108,20241028,Right Side(R)
-2,108,False,2PT,In The Paint (Non-RA),10,0022400123,20241030,Center(C)
-9,53,False,2PT,In The Paint (Non-RA),5,0022400160,20241104,Center(C)
-27,41,True,2PT,In The Paint (Non-RA),4,0022400176,20241106,Center(C)
-230,38,True,3PT,Left Corner 3,23,0022400176,20241106,Left Side(L)
16,66,False,2PT,In The Paint (Non-RA),6,0022400176,20241106,Center(C)
0,0,False,2PT,Restricted Area,0,0022400176,20241106,Center(C)
0,0,False,2PT,Restricted Area,0,0022400176,20241106,Center(C)
62,242,True,3PT,Above the Break 3,24,0022400176,20241106,Center(C)
230,3,True,3PT,Right Corner 3,23,0022400176,20241106,Right Side(R)
-224,6,False,3PT,Left Corner 3,22,0022400176,20241106,Left Side(L)
27,11,False,2PT,Restricted Area,2,0022400176,20241106,Center(C)
-138,220,False,3PT,Above the Break 3,25,0022400181,20241107,Left Side Center(LC)
