season,GAME_ID,GAME_DATE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,SHOT_MADE_FLAG,family
2025-26,0022500023,20251031,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2025-26,0022500023,20251031,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2025-26,0022500023,20251031,Jump Shot,3PT Field Goal,Above the Break 3,26,1,Standard jumpers
2025-26,0022500023,20251031,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2025-26,0022500023,20251031,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2025-26,0022500023,20251031,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2025-26,0022500023,20251031,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2025-26,0022500023,20251031,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,0,Turnarounds/fades
2025-26,0022500023,20251031,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2025-26,0022500023,20251031,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,1,1,Floaters
2025-26,0022500035,20251107,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500035,20251107,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500035,20251107,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500035,20251107,Driving Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2025-26,0022500035,20251107,Jump Shot,3PT Field Goal,Right Corner 3,24,1,Standard jumpers
2025-26,0022500035,20251107,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2025-26,0022500035,20251107,Running Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2025-26,0022500035,20251107,Pullup Jump shot,3PT Field Goal,Above the Break 3,30,0,Pull-ups
2025-26,0022500035,20251107,Step Back Jump shot,3PT Field Goal,Left Corner 3,24,1,Step-backs
2025-26,0022500035,20251107,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2025-26,0022500035,20251107,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2025-26,0022500035,20251107,Cutting Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),6,1,Layups
2025-26,0022500035,20251107,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2025-26,0022500051,20251121,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2025-26,0022500051,20251121,Running Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2025-26,0022500051,20251121,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2025-26,0022500051,20251121,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2025-26,0022500051,20251121,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,0,0,Layups
2025-26,0022500051,20251121,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2025-26,0022500051,20251121,Running Layup Shot,2PT Field Goal,Restricted Area,0,0,Layups
2025-26,0022500051,20251121,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2025-26,0022500071,20251128,Cutting Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2025-26,0022500071,20251128,Driving Layup Shot,2PT Field Goal,Restricted Area,2,1,Layups
2025-26,0022500071,20251128,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2025-26,0022500071,20251128,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2025-26,0022500071,20251128,Step Back Jump shot,3PT Field Goal,Above the Break 3,26,0,Step-backs
2025-26,0022500071,20251128,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2025-26,0022500071,20251128,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2025-26,0022500071,20251128,Driving Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500084,20251022,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500084,20251022,Cutting Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2025-26,0022500084,20251022,Running Jump Shot,2PT Field Goal,Mid-Range,21,1,Running jumpers
2025-26,0022500084,20251022,Driving Layup Shot,2PT Field Goal,Restricted Area,0,0,Layups
2025-26,0022500084,20251022,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2025-26,0022500084,20251022,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500084,20251022,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2025-26,0022500084,20251022,Cutting Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2025-26,0022500084,20251022,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2025-26,0022500084,20251022,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2025-26,0022500084,20251022,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,12,0,Turnarounds/fades
2025-26,0022500084,20251022,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2025-26,0022500100,20251025,Pullup Jump shot,3PT Field Goal,Above the Break 3,25,0,Pull-ups
2025-26,0022500100,20251025,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,0,Floaters
2025-26,0022500100,20251025,Running Dunk Shot,2PT Field Goal,Restricted Area,2,0,Dunks
2025-26,0022500100,20251025,Jump Shot,3PT Field Goal,Left Corner 3,23,0,Standard jumpers
2025-26,0022500100,20251025,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2025-26,0022500115,20251027,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500115,20251027,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2025-26,0022500115,20251027,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2025-26,0022500115,20251027,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,15,0,Turnarounds/fades
2025-26,0022500115,20251027,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2025-26,0022500115,20251027,Jump Shot,3PT Field Goal,Left Corner 3,22,0,Standard jumpers
2025-26,0022500115,20251027,Driving Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500115,20251027,Jump Shot,3PT Field Goal,Above the Break 3,26,0,Standard jumpers
2025-26,0022500115,20251027,Running Layup Shot,2PT Field Goal,Restricted Area,0,0,Layups
2025-26,0022500115,20251027,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2025-26,0022500115,20251027,Driving Reverse Dunk Shot,2PT Field Goal,Restricted Area,0,1,Dunks
2025-26,0022500115,20251027,Jump Shot,3PT Field Goal,Above the Break 3,24,0,Standard jumpers
2025-26,0022500115,20251027,Driving Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2025-26,0022500115,20251027,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2025-26,0022500132,20251029,Driving Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2025-26,0022500132,20251029,Jump Shot,3PT Field Goal,Above the Break 3,25,1,Standard jumpers
2025-26,0022500132,20251029,Driving Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500132,20251029,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500132,20251029,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,2,0,Floaters
2025-26,0022500132,20251029,Tip Layup Shot,2PT Field Goal,Restricted Area,0,0,Tip-ins
2025-26,0022500132,20251029,Jump Shot,3PT Field Goal,Above the Break 3,24,1,Standard jumpers
2025-26,0022500132,20251029,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),10,0,Floaters
2025-26,0022500132,20251029,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500132,20251029,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500132,20251029,Cutting Dunk Shot,2PT Field Goal,Restricted Area,1,1,Dunks
2025-26,0022500132,20251029,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2025-26,0022500132,20251029,Jump Shot,3PT Field Goal,Left Corner 3,22,1,Standard jumpers
2025-26,0022500132,20251029,Jump Shot,3PT Field Goal,Above the Break 3,25,0,Standard jumpers
2025-26,0022500132,20251029,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,1,1,Layups
2025-26,0022500132,20251029,Turnaround Jump Shot,2PT Field Goal,Mid-Range,14,0,Turnarounds/fades
2025-26,0022500132,20251029,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,0,1,Layups
2025-26,0022500132,20251029,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2025-26,0022500153,20251102,Running Jump Shot,3PT Field Goal,Left Corner 3,23,0,Running jumpers
2025-26,0022500153,20251102,Running Layup Shot,2PT Field Goal,Restricted Area,3,0,Layups
2025-26,0022500153,20251102,Running Layup Shot,2PT Field Goal,Restricted Area,2,0,Layups
2025-26,0022500153,20251102,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,0,Floaters
2025-26,0022500153,20251102,Running Layup Shot,2PT Field Goal,Restricted Area,3,1,Layups
2025-26,0022500153,20251102,Jump Shot,3PT Field Goal,Right Corner 3,22,1,Standard jumpers
2025-26,0022500153,20251102,Jump Shot,3PT Field Goal,Above the Break 3,26,1,Standard jumpers
2025-26,0022500153,20251102,Pullup Jump shot,3PT Field Goal,Above the Break 3,26,0,Pull-ups
2025-26,0022500153,20251102,Jump Shot,3PT Field Goal,Above the Break 3,27,1,Standard jumpers
2025-26,0022500153,20251102,Jump Shot,3PT Field Goal,Above the Break 3,24,1,Standard jumpers
2025-26,0022500153,20251102,Tip Layup Shot,2PT Field Goal,Restricted Area,0,0,Tip-ins
2025-26,0022500167,20251104,Jump Shot,3PT Field Goal,Right Corner 3,23,0,Standard jumpers
2025-26,0022500167,20251104,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,1,0,Layups
2025-26,0022500167,20251104,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,1,Floaters
2025-26,0022500167,20251104,Running Jump Shot,3PT Field Goal,Above the Break 3,25,1,Running jumpers
