window,zone,fga,fgm,fg_pct,fga_share_pct
2024-25,Backcourt,517,12,2.3211,0.2355
2024-25,Center Mid-Range,5141,2161,42.0346,2.3419
2024-25,In The Paint (Non-RA),44475,19734,44.3710,20.2595
2024-25,Left Baseline,3122,1341,42.9532,1.4221
2024-25,Left Corner 3,12188,4706,38.6117,5.5519
2024-25,Left Mid-Range,5016,2046,40.7895,2.2849
2024-25,Left Wing 3,24102,8603,35.6941,10.9791
2024-25,Restricted Area,61190,40603,66.3556,27.8736
2024-25,Right Baseline,3097,1292,41.7178,1.4108
2024-25,Right Corner 3,11397,4443,38.9839,5.1916
2024-25,Right Mid-Range,5026,2085,41.4843,2.2895
2024-25,Right Wing 3,21878,7732,35.3414,9.9660
2024-25,Top of Key 3,22378,7808,34.8914,10.1937
2025-26,Backcourt,29,15,51.7241,0.0132
2025-26,Center Mid-Range,5272,2243,42.5455,2.4055
2025-26,In The Paint (Non-RA),43908,19565,44.5591,20.0347
2025-26,Left Baseline,3222,1373,42.6133,1.4702
2025-26,Left Corner 3,12210,4729,38.7305,5.5713
2025-26,Left Mid-Range,5169,2038,39.4274,2.3586
2025-26,Left Wing 3,24030,8507,35.4016,10.9646
2025-26,Restricted Area,62253,41768,67.0940,28.4053
2025-26,Right Baseline,3099,1325,42.7557,1.4140
2025-26,Right Corner 3,11360,4386,38.6092,5.1834
2025-26,Right Mid-Range,5263,2200,41.8013,2.4014
2025-26,Right Wing 3,20922,7283,34.8102,9.5465
2025-26,Top of Key 3,22423,7795,34.7634,10.2313
Bulls tenure,Backcourt,546,27,4.9451,0.1245
Bulls tenure,Center Mid-Range,10413,4404,42.2933,2.3737
Bulls tenure,In The Paint (Non-RA),88383,39299,44.4644,20.1472
Bulls tenure,Left Baseline,6344,2714,42.7806,1.4461
Bulls tenure,Left Corner 3,24398,9435,38.6712,5.5616
Bulls tenure,Left Mid-Range,10185,4084,40.0982,2.3217
Bulls tenure,Left Wing 3,48132,17110,35.5481,10.9718
Bulls tenure,Restricted Area,123443,82371,66.7280,28.1392
Bulls tenure,Right Baseline,6196,2617,42.2369,1.4124
Bulls tenure,Right Corner 3,22757,8829,38.7969,5.1875
Bulls tenure,Right Mid-Range,10289,4285,41.6464,2.3454
Bulls tenure,Right Wing 3,42800,15015,35.0818,9.7564
Bulls tenure,Top of Key 3,44801,15603,34.8273,10.2125
