window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2024-25,Restricted Area,205,121,0.5902,0.6636,-7.3312,36.9369,27.8736,0,517,0,12,1.1805,1.3271,2,True
2024-25,In The Paint (Non-RA),67,30,0.4478,0.4437,0.4051,12.0721,20.2595,0,517,0,12,0.8955,0.8874,2,True
2024-25,Mid-Range,17,5,0.2941,0.4170,-12.2899,3.0631,9.7491,0,517,0,12,0.5882,0.8341,2,False
2024-25,Left Corner 3,81,35,0.4321,0.3861,4.5981,14.5946,5.5519,0,517,0,12,1.2963,1.1584,3,True
2024-25,Left Wing 3,56,22,0.3929,0.3569,3.5916,10.0901,10.9791,0,517,0,12,1.1786,1.0708,3,True
2024-25,Top of Key 3,32,14,0.4375,0.3489,8.8586,5.7658,10.1937,0,517,0,12,1.3125,1.0467,3,True
2024-25,Right Wing 3,43,11,0.2558,0.3534,-9.7600,7.7477,9.9660,0,517,0,12,0.7674,1.0602,3,True
2024-25,Right Corner 3,54,14,0.2593,0.3898,-13.0580,9.7297,5.1916,0,517,0,12,0.7778,1.1695,3,True
2025-26,Restricted Area,349,225,0.6447,0.6709,-2.6240,36.2409,28.4053,0,29,0,20,1.2894,1.3419,2,True
2025-26,In The Paint (Non-RA),100,40,0.4000,0.4456,-4.5591,10.3842,20.0347,0,29,0,20,0.8000,0.8912,2,True
2025-26,Mid-Range,19,8,0.4211,0.4168,0.4299,1.9730,10.0497,0,29,0,20,0.8421,0.8337,2,False
2025-26,Left Corner 3,79,30,0.3797,0.3873,-0.7559,8.2035,5.5713,0,29,0,20,1.1392,1.1619,3,True
2025-26,Left Wing 3,159,59,0.3711,0.3540,1.7053,16.5109,10.9646,0,29,0,20,1.1132,1.0620,3,True
2025-26,Top of Key 3,112,39,0.3482,0.3476,0.0580,11.6303,10.2313,0,29,0,20,1.0446,1.0428,3,True
2025-26,Right Wing 3,91,26,0.2857,0.3481,-6.2388,9.4496,9.5465,0,29,0,20,0.8571,1.0443,3,True
2025-26,Right Corner 3,54,19,0.3519,0.3861,-3.4240,5.6075,5.1834,0,29,0,20,1.0556,1.1583,3,True
Bulls tenure,Restricted Area,554,346,0.6245,0.6673,-4.2731,36.4954,28.1392,0,546,0,32,1.2491,1.3346,2,True
Bulls tenure,In The Paint (Non-RA),167,70,0.4192,0.4446,-2.5483,11.0013,20.1472,0,546,0,32,0.8383,0.8893,2,True
Bulls tenure,Mid-Range,36,13,0.3611,0.4169,-5.5772,2.3715,9.8993,0,546,0,32,0.7222,0.8339,2,False
Bulls tenure,Left Corner 3,160,65,0.4062,0.3867,1.9538,10.5402,5.5616,0,546,0,32,1.2188,1.1601,3,True
Bulls tenure,Left Wing 3,215,81,0.3767,0.3555,2.1263,14.1634,10.9718,0,546,0,32,1.1302,1.0664,3,True
Bulls tenure,Top of Key 3,144,53,0.3681,0.3483,1.9782,9.4862,10.2125,0,546,0,32,1.1042,1.0447,3,True
Bulls tenure,Right Wing 3,134,37,0.2761,0.3508,-7.4698,8.8274,9.7564,0,546,0,32,0.8284,1.0524,3,True
Bulls tenure,Right Corner 3,108,33,0.3056,0.3880,-8.2413,7.1146,5.1875,0,546,0,32,0.9167,1.1639,3,True
